พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,599
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,195
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,457
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1470
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,33363
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,246
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37957
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2770
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2594
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,333387
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,166
