พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,595
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,195
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,462
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1485
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,33935
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,270
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37518
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2710
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2632
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,335390
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,170
