พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,633
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,193
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,449
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1435
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,32210
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,206
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,38102
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2940
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2535
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,330503
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,164
