พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,578
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,193
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,454
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1453
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,33043
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,226
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,38392
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2874
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2564
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,331453
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,164
