พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,603
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,196
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,459
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1474
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,33505
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,250
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37849
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2755
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2603
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,333578
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,167
