พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,594
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,195
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,458
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1468
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,33307
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,244
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,38110
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2769
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2586
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,332409
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,166
