พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,532
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,189
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,436
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1382
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,26832
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,130
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,38077
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,3032
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2379
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,317060
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,160
