พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,537
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,192
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,441
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1403
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,27453
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,149
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37774
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2924
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2382
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,323050
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,153
