พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,629
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,192
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,448
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1435
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,31944
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,203
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,38022
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2938
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2515
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,329382
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,164
