พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,624
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,199
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,463
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1497
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,34539
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,281
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37088
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2653
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2631
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,336182
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,175
