จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการ,จังหวัด
3182,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,1,2569,ทุเรียน,ไร่,ครบุรี,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
7405.73,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,2,2569,ทุเรียน,ไร่,เสิงสาง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
10,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,3,2569,ทุเรียน,ไร่,โชคชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
22,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,4,2569,ทุเรียน,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
137.5,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,5,2569,ทุเรียน,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
18,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,6,2569,ทุเรียน,ไร่,ห้วยแถลง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
12,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,7,2569,ทุเรียน,ไร่,ชุมพวง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
121,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,8,2569,ทุเรียน,ไร่,สูงเนิน,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
3947.5,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,9,2569,ทุเรียน,ไร่,ปากช่อง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
1387.25,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,10,2569,ทุเรียน,ไร่,หนองบุญมาก,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
614,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,11,2569,ทุเรียน,ไร่,วังน้ำเขียว,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
1683,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,12,2568,ทุเรียน,ไร่,ครบุรี,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
2883,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,13,2568,ทุเรียน,ไร่,เสิงสาง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
10,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,14,2568,ทุเรียน,ไร่,โชคชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
32,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,15,2568,ทุเรียน,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
135.5,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,16,2568,ทุเรียน,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
18,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,17,2568,ทุเรียน,ไร่,ห้วยแถลง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
10,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,18,2568,ทุเรียน,ไร่,ชุมพวง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
71,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,19,2568,ทุเรียน,ไร่,สูงเนิน,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
3036,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,20,2568,ทุเรียน,ไร่,ปากช่อง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
781.5,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,21,2568,ทุเรียน,ไร่,หนองบุญมาก,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
160,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,22,2568,ทุเรียน,ไร่,วังน้ำเขียว,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
135,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,23,2567,ทุเรียน,ไร่,ครบุรี,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
2836,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,24,2567,ทุเรียน,ไร่,เสิงสาง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
10,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,25,2567,ทุเรียน,ไร่,โชคชัย,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
72,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,26,2567,ทุเรียน,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
20,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,27,2567,ทุเรียน,ไร่,ชุมพวง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
28.75,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,28,2567,ทุเรียน,ไร่,สูงเนิน,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
2707,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,29,2567,ทุเรียน,ไร่,ปากช่อง,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
771.5,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,30,2567,ทุเรียน,ไร่,หนองบุญมาก,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
10,พืชทางเลือก,สำนักงานเกษตรจังหวัดนครราชสีมา,31,2567,ทุเรียน,ไร่,วังน้ำเขียว,เนื้อที่เพาะปลูกทุเรียน,นครราชสีมา
