_id,ปริมาณการใช้รวมต่อปี,ลำดับหมวดอุตสาหกรรม,หมวดอุตสาหกรรม,จังหวัด
25,304156.2553,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,กรุงเทพมหานคร
26,6899.68119,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,กรุงเทพมหานคร
27,62746.81195,21,การผลิตอื่นๆ,กรุงเทพมหานคร
28,14,1,ผลิตภัณฑ์จากพืช,กาญจนบุรี
29,164636.0426,2,อุตสาหกรรมอาหาร,กาญจนบุรี
30,111382086.9,3,อุตสาหกรรมเครื่องดื่ม,กาญจนบุรี
31,1777195.051,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,กาญจนบุรี
32,3149.499,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,กาญจนบุรี
33,15.98,14,ผลิตภัณฑ์พลาสติก,กาญจนบุรี
34,47,15,ผลิตภัณฑ์อโลหะ,กาญจนบุรี
35,4486.3386,16,ผลิตโลหะขั้นมูลฐาน,กาญจนบุรี
36,16980541.53,21,การผลิตอื่นๆ,กาญจนบุรี
37,18592.219,1,ผลิตภัณฑ์จากพืช,กาฬสินธุ์
38,2311.135,2,อุตสาหกรรมอาหาร,กาฬสินธุ์
39,312.038,3,อุตสาหกรรมเครื่องดื่ม,กาฬสินธุ์
40,0,15,ผลิตภัณฑ์อโลหะ,กาฬสินธุ์
41,1,17,ผลิตภัณฑ์โลหะ,กาฬสินธุ์
42,7216.609,21,การผลิตอื่นๆ,กาฬสินธุ์
43,247.062,1,ผลิตภัณฑ์จากพืช,กำแพงเพชร
44,160.967,2,อุตสาหกรรมอาหาร,กำแพงเพชร
45,11410.16,3,อุตสาหกรรมเครื่องดื่ม,กำแพงเพชร
46,621.33872,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,กำแพงเพชร
47,34085.7682,21,การผลิตอื่นๆ,กำแพงเพชร
48,229.892,1,ผลิตภัณฑ์จากพืช,ขอนแก่น
49,317008.574,2,อุตสาหกรรมอาหาร,ขอนแก่น
50,2753.75841,3,อุตสาหกรรมเครื่องดื่ม,ขอนแก่น
51,891.6702,4,สิ่งทอ,ขอนแก่น
52,36.2,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ขอนแก่น
53,272416.4,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ขอนแก่น
54,0,12,ผลิตภัณฑ์จากปิโตรเลียม,ขอนแก่น
55,280.4297,15,ผลิตภัณฑ์อโลหะ,ขอนแก่น
56,59.243,17,ผลิตภัณฑ์โลหะ,ขอนแก่น
57,235.24,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ขอนแก่น
58,85.11558,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ขอนแก่น
59,1963.779,21,การผลิตอื่นๆ,ขอนแก่น
60,451.12,1,ผลิตภัณฑ์จากพืช,จันทบุรี
61,115.073,2,อุตสาหกรรมอาหาร,จันทบุรี
62,8,8,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,จันทบุรี
63,3027.46,12,ผลิตภัณฑ์จากปิโตรเลียม,จันทบุรี
64,262.149,13,ยางและผลิตภัณฑ์ยาง,จันทบุรี
65,8,15,ผลิตภัณฑ์อโลหะ,จันทบุรี
66,1,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,จันทบุรี
67,0.91924526,21,การผลิตอื่นๆ,จันทบุรี
68,120.353,1,ผลิตภัณฑ์จากพืช,ฉะเชิงเทรา
69,3594.417343,2,อุตสาหกรรมอาหาร,ฉะเชิงเทรา
70,58541.1358,3,อุตสาหกรรมเครื่องดื่ม,ฉะเชิงเทรา
71,1252.38703,4,สิ่งทอ,ฉะเชิงเทรา
72,3.857,5,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ฉะเชิงเทรา
73,373.93,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ฉะเชิงเทรา
74,3.2,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,ฉะเชิงเทรา
75,815.024,8,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ฉะเชิงเทรา
76,7018.070979,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ฉะเชิงเทรา
77,2381.92313,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ฉะเชิงเทรา
78,10601044.36,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ฉะเชิงเทรา
79,8359.80424,12,ผลิตภัณฑ์จากปิโตรเลียม,ฉะเชิงเทรา
80,5784.82,13,ยางและผลิตภัณฑ์ยาง,ฉะเชิงเทรา
81,701744.0196,14,ผลิตภัณฑ์พลาสติก,ฉะเชิงเทรา
82,80366.514,15,ผลิตภัณฑ์อโลหะ,ฉะเชิงเทรา
83,652393.2939,16,ผลิตโลหะขั้นมูลฐาน,ฉะเชิงเทรา
84,37456.44481,17,ผลิตภัณฑ์โลหะ,ฉะเชิงเทรา
85,15841.61394,18,ผลิตเครื่องจักรและเครื่องกล,ฉะเชิงเทรา
86,354133.3591,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ฉะเชิงเทรา
87,677018.2879,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ฉะเชิงเทรา
88,2985228.111,21,การผลิตอื่นๆ,ฉะเชิงเทรา
89,25070044.33,1,ผลิตภัณฑ์จากพืช,ชลบุรี
90,946405.0017,2,อุตสาหกรรมอาหาร,ชลบุรี
91,2842.649,3,อุตสาหกรรมเครื่องดื่ม,ชลบุรี
92,4333.084,4,สิ่งทอ,ชลบุรี
93,1807.84378,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ชลบุรี
94,10.1,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,ชลบุรี
95,827.9612,8,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ชลบุรี
96,4435.1622,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ชลบุรี
97,67813.0382,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ชลบุรี
98,2806924.86,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ชลบุรี
99,171019.2073,12,ผลิตภัณฑ์จากปิโตรเลียม,ชลบุรี
100,1314721.015,13,ยางและผลิตภัณฑ์ยาง,ชลบุรี
101,239529.9422,14,ผลิตภัณฑ์พลาสติก,ชลบุรี
102,140085.6019,15,ผลิตภัณฑ์อโลหะ,ชลบุรี
103,343455.403,16,ผลิตโลหะขั้นมูลฐาน,ชลบุรี
104,435763.564,17,ผลิตภัณฑ์โลหะ,ชลบุรี
105,686035.1018,18,ผลิตเครื่องจักรและเครื่องกล,ชลบุรี
106,586363.9097,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ชลบุรี
107,2035710.27,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ชลบุรี
108,134673.3552,21,การผลิตอื่นๆ,ชลบุรี
109,201.397,3,อุตสาหกรรมเครื่องดื่ม,ชัยนาท
110,152.6190345,4,สิ่งทอ,ชัยนาท
111,107750.2838,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ชัยนาท
112,320,21,การผลิตอื่นๆ,ชัยนาท
113,19089.06079,1,ผลิตภัณฑ์จากพืช,ชัยภูมิ
114,11500.9561,2,อุตสาหกรรมอาหาร,ชัยภูมิ
115,2000000,3,อุตสาหกรรมเครื่องดื่ม,ชัยภูมิ
116,2.299,5,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ชัยภูมิ
117,0,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ชัยภูมิ
118,84,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ชัยภูมิ
119,420.468,21,การผลิตอื่นๆ,ชัยภูมิ
120,5399.613,2,อุตสาหกรรมอาหาร,ชุมพร
121,28163.7567,13,ยางและผลิตภัณฑ์ยาง,ชุมพร
122,20181.383,15,ผลิตภัณฑ์อโลหะ,ชุมพร
123,111111155.2,21,การผลิตอื่นๆ,ชุมพร
124,35.31,2,อุตสาหกรรมอาหาร,เชียงราย
125,69.88735,13,ยางและผลิตภัณฑ์ยาง,เชียงราย
126,12,14,ผลิตภัณฑ์พลาสติก,เชียงราย
127,13.5,21,การผลิตอื่นๆ,เชียงราย
128,18.986,1,ผลิตภัณฑ์จากพืช,เชียงใหม่
129,586.0781,2,อุตสาหกรรมอาหาร,เชียงใหม่
130,65.782,3,อุตสาหกรรมเครื่องดื่ม,เชียงใหม่
131,0.1675,4,สิ่งทอ,เชียงใหม่
132,32.15939,5,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,เชียงใหม่
133,1.62292,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,เชียงใหม่
134,28.3,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,เชียงใหม่
135,2,14,ผลิตภัณฑ์พลาสติก,เชียงใหม่
136,86.1719,15,ผลิตภัณฑ์อโลหะ,เชียงใหม่
137,177.727,17,ผลิตภัณฑ์โลหะ,เชียงใหม่
138,420.82835,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,เชียงใหม่
139,102.251,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,เชียงใหม่
140,342.80808,21,การผลิตอื่นๆ,เชียงใหม่
141,27.95,2,อุตสาหกรรมอาหาร,ตรัง
142,53516.238,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,ตรัง
143,0,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ตรัง
144,2687.63,12,ผลิตภัณฑ์จากปิโตรเลียม,ตรัง
145,231657.1981,13,ยางและผลิตภัณฑ์ยาง,ตรัง
146,100,21,การผลิตอื่นๆ,ตรัง
147,1.98,2,อุตสาหกรรมอาหาร,ตราด
148,0,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ตราด
149,17990,13,ยางและผลิตภัณฑ์ยาง,ตราด
150,10,21,การผลิตอื่นๆ,ตราด
151,45,1,ผลิตภัณฑ์จากพืช,ตาก
152,505.503,4,สิ่งทอ,ตาก
153,8.715,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ตาก
154,2.4,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ตาก
155,81.63,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ตาก
156,100,12,ผลิตภัณฑ์จากปิโตรเลียม,ตาก
157,14.75,14,ผลิตภัณฑ์พลาสติก,ตาก
158,0.5,15,ผลิตภัณฑ์อโลหะ,ตาก
159,0.54,16,ผลิตโลหะขั้นมูลฐาน,ตาก
160,15,21,การผลิตอื่นๆ,ตาก
161,677.46836,2,อุตสาหกรรมอาหาร,นครนายก
162,1328.754,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นครนายก
163,88.8,13,ยางและผลิตภัณฑ์ยาง,นครนายก
164,32.68,18,ผลิตเครื่องจักรและเครื่องกล,นครนายก
165,4032.64653,1,ผลิตภัณฑ์จากพืช,นครปฐม
166,3863527.224,2,อุตสาหกรรมอาหาร,นครปฐม
167,19308.96772,3,อุตสาหกรรมเครื่องดื่ม,นครปฐม
168,9909.344845,4,สิ่งทอ,นครปฐม
169,13601.287,5,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,นครปฐม
170,0.2277,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,นครปฐม
171,6.4,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,นครปฐม
172,25.344,8,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,นครปฐม
173,322277.0044,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,นครปฐม
174,13061.01,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,นครปฐม
175,1180621.509,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นครปฐม
176,49214.58481,13,ยางและผลิตภัณฑ์ยาง,นครปฐม
177,2508606.488,14,ผลิตภัณฑ์พลาสติก,นครปฐม
178,3370.975,15,ผลิตภัณฑ์อโลหะ,นครปฐม
179,30397.424,16,ผลิตโลหะขั้นมูลฐาน,นครปฐม
180,109.607,17,ผลิตภัณฑ์โลหะ,นครปฐม
181,270,18,ผลิตเครื่องจักรและเครื่องกล,นครปฐม
182,26646.65988,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,นครปฐม
183,35.231,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,นครปฐม
184,18498.35287,21,การผลิตอื่นๆ,นครปฐม
185,1,2,อุตสาหกรรมอาหาร,นครพนม
186,123.636,13,ยางและผลิตภัณฑ์ยาง,นครพนม
187,32.6,14,ผลิตภัณฑ์พลาสติก,นครพนม
188,1000000,15,ผลิตภัณฑ์อโลหะ,นครพนม
189,46215.36671,1,ผลิตภัณฑ์จากพืช,นครราชสีมา
190,3616242.018,2,อุตสาหกรรมอาหาร,นครราชสีมา
191,130919.0821,3,อุตสาหกรรมเครื่องดื่ม,นครราชสีมา
192,14.60669,4,สิ่งทอ,นครราชสีมา
193,312.62,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,นครราชสีมา
194,8.05,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,นครราชสีมา
195,260.6,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,นครราชสีมา
196,18970.248,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นครราชสีมา
197,34037,12,ผลิตภัณฑ์จากปิโตรเลียม,นครราชสีมา
198,4921.829935,13,ยางและผลิตภัณฑ์ยาง,นครราชสีมา
199,14186.83585,14,ผลิตภัณฑ์พลาสติก,นครราชสีมา
200,9456.78,15,ผลิตภัณฑ์อโลหะ,นครราชสีมา
201,1524.47553,16,ผลิตโลหะขั้นมูลฐาน,นครราชสีมา
202,37984.82714,17,ผลิตภัณฑ์โลหะ,นครราชสีมา
203,4637.890658,18,ผลิตเครื่องจักรและเครื่องกล,นครราชสีมา
204,5438.98593,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,นครราชสีมา
205,1293.47468,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,นครราชสีมา
206,70945.90915,21,การผลิตอื่นๆ,นครราชสีมา
207,65.694,2,อุตสาหกรรมอาหาร,นครศรีธรรมราช
208,16.5,3,อุตสาหกรรมเครื่องดื่ม,นครศรีธรรมราช
209,300,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,นครศรีธรรมราช
210,125.84,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,นครศรีธรรมราช
211,21019.627,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นครศรีธรรมราช
212,4782,12,ผลิตภัณฑ์จากปิโตรเลียม,นครศรีธรรมราช
213,9009.434418,13,ยางและผลิตภัณฑ์ยาง,นครศรีธรรมราช
214,37681.3357,15,ผลิตภัณฑ์อโลหะ,นครศรีธรรมราช
215,3,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,นครศรีธรรมราช
216,620590.9622,21,การผลิตอื่นๆ,นครศรีธรรมราช
217,34.87,1,ผลิตภัณฑ์จากพืช,นครสวรรค์
218,360.6,2,อุตสาหกรรมอาหาร,นครสวรรค์
219,22314.2465,3,อุตสาหกรรมเครื่องดื่ม,นครสวรรค์
220,24,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,นครสวรรค์
221,1749.17,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,นครสวรรค์
222,410.5,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นครสวรรค์
223,95,15,ผลิตภัณฑ์อโลหะ,นครสวรรค์
224,230,16,ผลิตโลหะขั้นมูลฐาน,นครสวรรค์
225,51.6,17,ผลิตภัณฑ์โลหะ,นครสวรรค์
226,18.5,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,นครสวรรค์
227,666.8564,21,การผลิตอื่นๆ,นครสวรรค์
228,3.355,1,ผลิตภัณฑ์จากพืช,นนทบุรี
229,1704.787057,2,อุตสาหกรรมอาหาร,นนทบุรี
230,11293.4,3,อุตสาหกรรมเครื่องดื่ม,นนทบุรี
231,32.27,4,สิ่งทอ,นนทบุรี
232,75.405,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,นนทบุรี
233,154.309,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,นนทบุรี
234,17285.9,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,นนทบุรี
235,134103.213,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นนทบุรี
236,1681.832,13,ยางและผลิตภัณฑ์ยาง,นนทบุรี
237,44544.3,14,ผลิตภัณฑ์พลาสติก,นนทบุรี
238,35130820.9,15,ผลิตภัณฑ์อโลหะ,นนทบุรี
239,17.4,16,ผลิตโลหะขั้นมูลฐาน,นนทบุรี
240,552.897,17,ผลิตภัณฑ์โลหะ,นนทบุรี
241,10150.60249,18,ผลิตเครื่องจักรและเครื่องกล,นนทบุรี
242,2977.856035,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,นนทบุรี
243,66.4782,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,นนทบุรี
244,23551.01052,21,การผลิตอื่นๆ,นนทบุรี
245,0.36,2,อุตสาหกรรมอาหาร,นราธิวาส
246,137.6,3,อุตสาหกรรมเครื่องดื่ม,นราธิวาส
247,1421,12,ผลิตภัณฑ์จากปิโตรเลียม,นราธิวาส
248,1078.416,13,ยางและผลิตภัณฑ์ยาง,นราธิวาส
249,27.15,21,การผลิตอื่นๆ,นราธิวาส
250,1,1,ผลิตภัณฑ์จากพืช,น่าน
251,199.262454,13,ยางและผลิตภัณฑ์ยาง,บึงกาฬ
252,1210.1,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,บึงกาฬ
253,5839.536,1,ผลิตภัณฑ์จากพืช,บุรีรัมย์
254,1694.61,2,อุตสาหกรรมอาหาร,บุรีรัมย์
255,131.33,3,อุตสาหกรรมเครื่องดื่ม,บุรีรัมย์
256,26.659,5,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,บุรีรัมย์
257,2053.593,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,บุรีรัมย์
258,449.07951,13,ยางและผลิตภัณฑ์ยาง,บุรีรัมย์
259,574.327,21,การผลิตอื่นๆ,บุรีรัมย์
260,1989.40626,1,ผลิตภัณฑ์จากพืช,ปทุมธานี
261,472730.8208,2,อุตสาหกรรมอาหาร,ปทุมธานี
262,194068.767,3,อุตสาหกรรมเครื่องดื่ม,ปทุมธานี
263,272.21728,4,สิ่งทอ,ปทุมธานี
264,4244.9513,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ปทุมธานี
265,58.7,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,ปทุมธานี
266,229.566,8,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ปทุมธานี
267,5321.625,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ปทุมธานี
268,3431.250902,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ปทุมธานี
269,2731417.276,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ปทุมธานี
270,2397.166,12,ผลิตภัณฑ์จากปิโตรเลียม,ปทุมธานี
271,18885.671,13,ยางและผลิตภัณฑ์ยาง,ปทุมธานี
272,27071.1014,14,ผลิตภัณฑ์พลาสติก,ปทุมธานี
273,46733.81936,15,ผลิตภัณฑ์อโลหะ,ปทุมธานี
274,1740.7926,16,ผลิตโลหะขั้นมูลฐาน,ปทุมธานี
275,9210.337594,17,ผลิตภัณฑ์โลหะ,ปทุมธานี
276,257331.1774,18,ผลิตเครื่องจักรและเครื่องกล,ปทุมธานี
277,42754.19228,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ปทุมธานี
278,52234.97076,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ปทุมธานี
279,151418.0834,21,การผลิตอื่นๆ,ปทุมธานี
280,774085.9689,2,อุตสาหกรรมอาหาร,ประจวบคีรีขันธ์
281,15000,4,สิ่งทอ,ประจวบคีรีขันธ์
282,65992.035,16,ผลิตโลหะขั้นมูลฐาน,ประจวบคีรีขันธ์
283,4286.283,17,ผลิตภัณฑ์โลหะ,ประจวบคีรีขันธ์
284,81,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ประจวบคีรีขันธ์
285,59.53761,21,การผลิตอื่นๆ,ประจวบคีรีขันธ์
286,4014.406,1,ผลิตภัณฑ์จากพืช,ปราจีนบุรี
287,100408.6434,2,อุตสาหกรรมอาหาร,ปราจีนบุรี
288,3730.954865,3,อุตสาหกรรมเครื่องดื่ม,ปราจีนบุรี
289,1923.38201,4,สิ่งทอ,ปราจีนบุรี
290,8.795,5,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ปราจีนบุรี
291,1043.844,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,ปราจีนบุรี
292,1164834.843,8,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ปราจีนบุรี
293,4488688.335,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ปราจีนบุรี
294,620.65,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ปราจีนบุรี
295,111314.2368,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ปราจีนบุรี
296,150.995,13,ยางและผลิตภัณฑ์ยาง,ปราจีนบุรี
297,102327.841,14,ผลิตภัณฑ์พลาสติก,ปราจีนบุรี
298,43603.26967,15,ผลิตภัณฑ์อโลหะ,ปราจีนบุรี
299,41322.39,16,ผลิตโลหะขั้นมูลฐาน,ปราจีนบุรี
300,6256.72574,17,ผลิตภัณฑ์โลหะ,ปราจีนบุรี
301,2132.5765,18,ผลิตเครื่องจักรและเครื่องกล,ปราจีนบุรี
302,287211.5665,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ปราจีนบุรี
303,146683.3043,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ปราจีนบุรี
304,30899.78419,21,การผลิตอื่นๆ,ปราจีนบุรี
305,27.377,2,อุตสาหกรรมอาหาร,ปัตตานี
306,5000,12,ผลิตภัณฑ์จากปิโตรเลียม,ปัตตานี
307,62.325,13,ยางและผลิตภัณฑ์ยาง,ปัตตานี
308,5000,15,ผลิตภัณฑ์อโลหะ,ปัตตานี
309,15,20,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ปัตตานี
310,110.56,21,การผลิตอื่นๆ,ปัตตานี
311,4944.2121,1,ผลิตภัณฑ์จากพืช,พระนครศรีอยุธยา
312,436968.2315,2,อุตสาหกรรมอาหาร,พระนครศรีอยุธยา
313,21079.62315,3,อุตสาหกรรมเครื่องดื่ม,พระนครศรีอยุธยา
314,1904.562008,4,สิ่งทอ,พระนครศรีอยุธยา
315,9608.697,6,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,พระนครศรีอยุธยา
316,14.09,7,แปรรูปไม้และผลิตภัณฑ์จากไม้,พระนครศรีอยุธยา
317,362.21,9,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,พระนครศรีอยุธยา
318,888.804,10,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,พระนครศรีอยุธยา
319,401025.1344,11,เคมีภัณฑ์และผลิตภัณฑ์เคมี,พระนครศรีอยุธยา
320,2571.66801,12,ผลิตภัณฑ์จากปิโตรเลียม,พระนครศรีอยุธยา
321,3665.394,13,ยางและผลิตภัณฑ์ยาง,พระนครศรีอยุธยา
322,53995.13032,14,ผลิตภัณฑ์พลาสติก,พระนครศรีอยุธยา
323,221202.226,15,ผลิตภัณฑ์อโลหะ,พระนครศรีอยุธยา
324,1978.07354,16,ผลิตโลหะขั้นมูลฐาน,พระนครศรีอยุธยา
325,98387.0871,17,ผลิตภัณฑ์โลหะ,พระนครศรีอยุธยา
326,252217.6629,18,ผลิตเครื่องจักรและเครื่องกล,พระนครศรีอยุธยา
327,465971.0204,19,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,พระนครศรีอยุธยา
