แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
72,โคกสำโรง,อบเมล็ดพืช,จ2-2(1)-10/64ลบ,,238/2,201,ลพบุรี,085-5569865,10000000,9,20160436425647,นางสวณัฐพร รักไทย,,รักไทย,15120,1630,1,โคกสำโรง,5
137.5,โคกสำโรง,อบเมล็ดธัญพืช,จ3-2(1)-53/56ลบ,-,268/1,201,ลพบุรี,,16500000,9,20160005325566,นายจิรศักดิ์ จงพรชัย,-,ไซฮั้วพาณิช,15120,1630,2,โคกสำโรง,5
52.5,โคกสำโรง,คัดแยกเมล็ดพันธุ์พืช,จ2-2(9)-13/64ลบ,,238/2,209,ลพบุรี,,15000000,9,20160233325644,นางสาวณัฐพร รักไทย,,-,10300,28240,3,โคกสำโรง,5
1055.81,โคกสำโรง,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 60 เกวียน/วัน),จ3-9(1)-2/33ลบ,,239/2,901,ลพบุรี,441735,21050000,5,20160000225332,นายประเสริฐ คำพานิช,,,15120,10611,4,โคกสำโรง,15
200,โคกสำโรง,ทำมันสำปะหลังเส้น,จ3-9(6)-30/57ลบ,สุรนารายณ์,27/15,906,ลพบุรี,036-441391,3750000,5,20160003025572,นายจิรศักดิ์ จงพรชัย,,ลานมันไซฮั้วพาณิช,15120,10621,5,โคกสำโรง,4
140,โคกสำโรง,ทำลานมัน และคัดแยกเมล็ดพืช,จ3-9(6)-65/55ลบ,,238/2,906,ลพบุรี,,10200000,9,20160006525552,นายสำเริง รักไทย,,,15120,10621,6,โคกสำโรง,4
879,โคกสำโรง,ทำน้ำแข็งก้อนเล็ก ได้วันละ 42.11 ตัน,ศ3-14-1/33ลบ,พหลโยธิน,119/2,1400,ลพบุรี,441878,9850000,7,00160000125338,นางปรียา กังสวัสดิ์,,โคกสำโรงน้ำแข็งหลอด,15120,10795,7,โคกสำโรง,12
61.54,โคกสำโรง,"ไสไม้และซอยไม้, ทำวงกบประตู-หน้าต่าง",3-34(1)-2/22ลบ,พหลโยธิน,16/2,3401,ลพบุรี,441219,4600000,4,10160000225227,นายไล้ เทพอารักษ์,,,15120,16101,8,โคกสำโรง,11
102.42,โคกสำโรง,ล้าง บด ย่อยพลาสติก,จ3-53(9)-1/36ลบ,,348,5309,ลพบุรี,,3770000,9,20160500125362,บริษัท สำรวยการค้าลพบุรี จำกัด,,บริษัท สำรวยการค้าลพบุรี จำกัด,15120,22299,9,โคกสำโรง,9
90.42,โคกสำโรง,ล้าง บด ย่อยพลาสติก,จ3-53(9)-31/50ลบ,,348,5309,ลพบุรี,036-441756,5970000,9,20160003125505,นางมาลัย บารมี,,มาลัยบารมี,15120,22299,10,โคกสำโรง,35
