ถนน,ซอย,เลขที่,ประเภท,เงินทุนรวม,_id,ชื่อโรงงาน,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,TSIC,หมู่
,บ้านช่องน้อย,เลขที่ 82,-10100-,145512020,1,บริษัท เจริญ อินเตอร์ สตาร์ช จำกัด,,44130,กำพี้,บรบือ,มหาสารคาม,37000,7
,,เลขที่ 113,-10600-,9000000,2,ห้างหุ้นส่วนจำกัด ตวงสุข เอ็นจิเนียริ่ง กรุ๊ป,082-2939445,44130,หนองคูขาด,บรบือ,มหาสารคาม,38300,7
สารคาม-โกสุมพิสัย,,เลขที่ 222,-01103-,2952000000,3,โรงงานน้ำตาลวังขนาย,043-981449-50,44140,แก้งแก,โกสุมพิสัย,มหาสารคาม,10721,9
นิวซีแลนด์,,เลขที่ 336,-01400-,17000000,4,ห้างหุ้นส่วนจำกัด วิสิทธิ์ก่อสร้างพยัคฆ์,043-791125-6,44110,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,10795,14
เลี่ยงเมือง,,เลขที่ 107,-01400-,18200000,5,ห้างหุ้นส่วนจำกัด มหาสารคามน้ำแข็งหลอด,0 81380 7084,44000,เกิ้ง,เมืองมหาสารคาม,มหาสารคาม,10795,8
,,เลขที่ 82,-01400-,62000000,6,บริษัท ปีมงคลไอซ์ มหาสารคาม จำกัด,093-3232999,44000,ดอนหว่าน,เมืองมหาสารคาม,มหาสารคาม,10795,5
,,เลขที่ โฉนดที่ดินเลขที่ 81897,-01400-,65000000,7,บริษัท 09 น้ำแข็งหลอด จำกัด,043-711089,44000,ดอนหว่าน,เมืองมหาสารคาม,มหาสารคาม,10795,8
,,เลขที่ 235,-01400-,24400000,8,บริษัท กิมชุนไอซ์ กุดรัง จำกัด,097-9614563,44130,นาโพธิ์,กุดรัง,มหาสารคาม,10795,5
สายเลี่ยงเมือง,,เลขที่ 202,-00201-,82200000,9,บริษัท ขวัญข้าว อินเตอร์เทรด จำกัด,043-777668,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,1630,13
,,เลขที่ 111,-02001-,1480000000,10,บริษัท มหาสารคาม เบเวอเรช จำกัด,043-748900-999,44130,นาโพธิ์,กุดรัง,มหาสารคาม,11041,18
เชียงยืน - คำใหญ่,,เลขที่ 99 บ้านผักแว่น,-02601-,122000000,11,บริษัท ขอนแก่นแหอวน จำกัด,043-986584-6,44160,เหล่าดอกไม้,ชื่นชม,มหาสารคาม,13940,4
มหาสารคาม-วาปีปทุม,,เลขที่ 85,-02602-,140000000,12,บริษัท ขอนแก่นแหอวน จำกัด (สาขามหาสารคาม),043-723664,44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,13940,5
แม่น้ำชี,,,-00304-,240000,13,ห้างหุ้นส่วนจำกัด ร.พาณิชย์มหาสารคาม,"043-711540, 084-7898558",44000,เกิ้ง,เมืองมหาสารคาม,มหาสารคาม,8103,
,,"เลขที่ โฉนดที่ดินเลขที่ 48786,48787,48788และ48789",-00304-,19800000,14,บ่อทรายออโต้มิว,091-5495666,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,8103,7
,,"เลขที่ โฉนดที่ดินเลขที่ 10271, 10731, 10732, 10735, 10736, 10737",-00304-,14700000,15,ห้างหุ้นส่วนจำกัด 3888 เอ็นจิเนียริ่ง,061-0396324,44120,คันธารราษฎร์,กันทรวิชัย,มหาสารคาม,8103,"3, 4, 5"
แจ้งสนิท,,เลขที่ 158,-03404-,30000000,16,โรงงานผลิตชิ้นไม้สับ พิพัฒน์เจริญกิจ,081-4991993,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,16299,6
ประทาย-ยโสธร (202),,,-03404-,11500000,17,พยัคฯวู้ดชิพ,800082177,44110,เมืองเสือ,พยัคฆภูมิพิสัย,มหาสารคาม,16299,3
,,เลขที่ 88,-03404-,18000000,18,บริษัท เจ เอ็ม ไบโอแม๊ส จำกัด,095-5368055,70160,กุดปลาดุก,ชื่นชม,มหาสารคาม,16299,3
,,เลขที่ 260,-00401-,84100000,19,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด โรงงานแปรรูปไก่มหาสารคาม,,40000,นาโพธิ์,กุดรัง,มหาสารคาม,10111,7
,,เลขที่ 99,-00401-,67900000,20,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),087-8612353,44000,นาโพธิ์,กุดรัง,มหาสารคาม,10111,11
