ถนน,เลขที่,ซอย,FID,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
รามคำแหง,เลขที่ 348,,10102300125384,270.68,20000000,1,3-101-1/38,1,บริษัท โอสถสภา จำกัด (มหาชน),3511123-24,"บำบัดน้ำทิ้งรวม ได้ 4,800 ลูกบาศก์เมตร/วัน",5,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 48,-,10103300125408,356,43100000,2,3-101-1/40,2,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),989-4050-62,"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",10,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,9.0
เชื่อมสัมพันธ์,เลขที่ 67/16,-,10103100125459,109.4,0,3,3-101-1/45,3,บริษัท มหาจักรออโตพาร์ท จำกัด,02-543-1212,ปรับคุณภาพน้ำเสียรวม,6,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5.0
พระรามที่ 2,เลขที่ 68/39,แสมดำ 17,10101100125479,862.2,127500000,4,3-101-1/47,4,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),,ปรับคุณภาพของเสียรวม,23,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3.0
พระรามที่ 2,เลขที่ 68/39,วัดแสมดำ,10103300225380,439,5000000,5,3-101-2/38,5,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,4153728.0,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),82,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3.0
นิมิตใหม่,เลขที่ 9,,10101100425416,83.05,8035000,6,3-101-4/41,6,บริษัท อาหารยอดคุณ จำกัด,02-181-0036-45,บำบัดน้ำเสียจากกระบวนการผลิต รวมทั้งกำจัดของเสียอื่นๆ ของบริษัท อาหารยอดคุณ จำกัด และบริษัท ยูนิแชมป์ จำกัด,1,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
,เลขที่ 11,เอกชัย 114 (อมรพฤกษ์),10100010725592,191,5500000,7,3-105-107/59,7,บริษัท เจดีย์ไทย เปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 286,,10100101125595,167.25,6000000,8,3-105-11/59,8,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,818031474.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,25,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,
-,เลขที่ 51,แสนสบาย,10100211925488,130,13200000,9,3-105-119/48,9,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,20,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 98,,10100201325491,349.22,53000000,10,3-105-13/49,10,นายสิทธิธรรม เรืองจรุงพงศ์ ,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,20,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ โฉนดที่ดินเลขที่ 101,,10100201325608,371,120000000,11,3-105-13/60,11,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,40,10120,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
พระราม2,เลขที่ 547,,10100101425599,1053,78000000,12,3-105-14/59,12,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,0 2452 2824,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,8,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 1/24,,10100059425625,170,18500000,13,3-105-15/62,13,กิจถาวร,818078803.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,3.0
,เลขที่ โฉนดที่ดินเลขที่ 20100,,10100064925627,180,20890000,14,3-105-17/62,14,นายสหสีห์ ชิตานนท์,063-895-4641,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10240,ทับช้าง,สะพานสูง,กรุงเทพมหานคร,
พรหมราษฎร์,เลขที่ 12,,10100071225623,435,3600000,15,3-105-19/62,15,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,30,10150,บางบอนใต้,บางบอน,กรุงเทพมหานคร,
,เลขที่ 518/29,รามคำแหง 39(เทพลีลา1),10100102025596,815,16500000,16,3-105-20/59,16,บริษัท จ.ทวีโชค จำกัด,29348025.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
,เลขที่ 117,,10100102025604,375,31600000,17,3-105-20/60,17,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10270,สายไหม,สายไหม ,กรุงเทพมหานคร,7.0
,เลขที่ โฉนดที่ดินเลขที่ 137798,,10100081925626,760,41000000,18,3-105-20/62,18,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,852154299.0,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เอกชัย,เลขที่ 88/71-72,กำนันแม้น,10100102225592,585,5000000,19,3-105-22/59,19,บริษัท กวงเซ่งหลี จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3.0
,เลขที่ 7,เอกชัย 114 (อมรพฤกษ์),10100098525625,204,11000000,20,3-105-28/62,20,หม่าหลง เทรดดิ้ง แอนด์ รีไซเคิล,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,10,10150,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,
เสรีไทย,เลขที่ 60/50,,10100500325606,89,1900000,21,3-105-3/60,21,บริษัท คูซุ่นฮวด จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,3.0
,เลขที่ 6/3,,10100006925628,138,2300000,22,3-105-3/62,22,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,085-3215626,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5.0
เฉลิมพระเกียรติ ,เลขที่ 30/12,เฉลิมพระเกียรติ 30,10100103025603,52.5,7000000,23,3-105-30/60,23,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,11.0
บางขุนเทียน-ชายทะเล,เลขที่ 12/239,เทียนทะเล 24,10100003225543,129,8500000,24,3-105-32/54,24,ศรีนคร,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7.0
