คนงานชาย,แรงม้า,เจ้าของข้อมูล,คนงานรวม,เงินทุนรวม,_id,ชื่อชุดข้อมูล,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,แรงม้าตรวจพบ,ไปรษณีย์,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ
5,1305.4,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,7,3900000,1,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงงานก๋วยเตี๋ยวอนามัยสุพรรณบุรี,597490.0,ผลิตเส้นก๋วยเตี๋ยว,1305.4,72230,สนามคลี,เมืองสุพรรณบุรี,2,สุพรรณบุรี,นายสุนทร ธนะประเสริฐกุล
2,2117.9,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,11,670000,2,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท โรงงานสโนว์เฮาส์โปรดักส์ จำกัด,581099.0,ทำน้ำหวาน ทำกาแฟปรุงสำเร็จรูป อาหารกระป๋อง,2117.9,72140,ศรีประจันต์,ศรีประจันต์,9,สุพรรณบุรี,บริษัท โรงงานสโนว์เฮาส์โปรดักส์ จำกัด
312,180953.2,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,347,480500000,3,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท อุตสาหกรรมน้ำตาลสุพรรณบุรี จำกัด,571030.0,ทำน้ำตาลทราย,178648.58,72130,ย่านยาว,สามชุก,35,สุพรรณบุรี,บริษัท อุตสาหกรรมน้ำตาลสุพรรณบุรี จำกัด
243,273801.7,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,269,1770000000,4,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงงานน้ำตาลอุตสาหกรรมอู่ทอง,551377.0,ทำน้ำตาลทรายดิบ น้ำตาลทรายขาวและน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 17731 ตันอ้อยต่อวัน,273801.7,72160,หนองโอ่ง,อู่ทอง,26,สุพรรณบุรี,บริษัท น้ำตาลรีไฟน์ชัยมงคล จำกัด
66,435131.96,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,66,2545000000,5,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท น้ำตาลมิตรผล จำกัด,035-418103-6,"ทำน้ำตาลทรายขาว น้ำตาลทรายดิบ และน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 35,000 ตันอ้อยต่อวัน ทำน้ำเชื่อมชนิดต่าง ๆ",435131.96,72180,หนองมะค่าโมง,ด่านช้าง,0,สุพรรณบุรี,บริษัท น้ำตาลมิตรผล จำกัด
67,1322,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,145,25508680,6,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท แฟนซีเวิลด์ จำกัด,035-450550,ผลิตเครื่องดื่มสำหรับชง เช่น เกลือแร่ผง ขิงผงฯ,1322,72000,พิหารแดง,เมืองสุพรรณบุรี,78,สุพรรณบุรี,บริษัท แฟนซีเวิลด์ จำกัด
21,6509.26,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,97,141512195,7,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท โกลโบ ฟู้ดส์ จำกัด (สาขาสุพรรณบุรี),02-3840036,ทำเครื่องแกง เครื่องเทศอบแห้ง และเกล็ดขนมปังอบแห้ง,6509.26,72130,กระเสียว,สามชุก,76,สุพรรณบุรี,บริษัท โกลโบ ฟู้ดส์ จำกัด
26,1727.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,26,4200000,8,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท พรเจริญ ไอซ์ จำกัด,035-531086,ทำน้ำแข็งซองได้วันละ 792 ซอง และน้ำแข็งก้อนเล็กได้วันละ 25 ตัน ขยายโดยเพิ่มการทำน้ำแข็งซองอีกวันละ 382 ซอง และน้ำแข็งก้อนเล็กอีกวันละ 13 ตัน,1727.5,72110,สองพี่น้อง,สองพี่น้อง,0,สุพรรณบุรี,บริษัท พรเจริญไอซ์ จำกัด
6,538.68,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,7,12100000,9,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท บุญวรรณ ด่านช้าง 2024 จำกัด,0 3559 5209,ผลิตน้ำแข็งวันละ 234 ซอง และน้ำแข็งก้อนเล็กวันละ 8 ตัน,538.68,72180,ด่านช้าง,ด่านช้าง,1,สุพรรณบุรี,บริษัท บุญวรรณ ด่านช้าง 2024 จำกัด
6,1148,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,10,23000000,10,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท น้ำแข็งมหาราช จำกัด,087-1709292,ผลิตน้ำแข็งซอง 1408 ซองน้ำแข็งหลอดขนาด 90 ตัน/วัน,1148,72110,เนินพระปรางค์,สองพี่น้อง,4,สุพรรณบุรี,บริษัท น้ำแข็งมหาราช จำกัด
