พื้นที่โรงงาน,ประกอบกิจการ,พื้นที่อาคาร,คนงานหญิง,หมู่,ถนน,TSIC,ที่มา,โทรศัพท์,GPS_lng,_id,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,จังหวัด,รายการข้อมูล,ไปรษณีย์
94400,"น้ำตาลทรายแดง กำลังการผลิต 1,378 ตันอ้อยต่อวัน",40000,2,2,,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,034-693333,99.76265,1,บริษัท น้ำตาลทรายแดงไทยท่าเรือ จำกัด,อุโลกสี่หมื่น,14.05341,,ท่ามะกา,เลขที่ 1,39,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
208000,"ทำน้ำตาลทราย (กำลังผลิต 11,890 ต้นอ้อย/วัน)",128000,0,9,แสงชูโต,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,99.809142,2,บริษัท อุตสาหกรรมมิตรเกษตร จำกัด,ดอนขมิ้น,13.872553,,ท่ามะกา,เลขที่ 93/1,676,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71120
66080,ทำน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังการผลิต 9635 ตัน,12783,34,3,แสงชูโต,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,561178.0,99.72417,3,บริษัท ไทยเพิ่มพูนอุตสาหกรรม จำกัด,วังศาลา,13.95229,,ท่าม่วง,เลขที่ 84,295,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71130
918300,ทำน้ำตาลทราย,16500,10,9,พระแท่นดงรัง,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี, ,99.76521,4,บริษัท ไทยอุตสาหกรรมน้ำตาล จำกัด,ตะคร้ำเอน,14.00262, ,ท่ามะกา,เลขที่ 99,410,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,
1031232,"ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว และน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 20,400 ตันอ้อย/วัน",123409,188,6,หลุมรัง-หนองกร่าง,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,02-6426169-9,99.497363,5,บริษัท โรงงานน้ำตาลนิวกรุงไทย จำกัด,หลุมรัง,14.43597,-,บ่อพลอย,เลขที่ 99,550,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71160
160000,"น้ำตาลทรายดิบ และน้ำตาลทรายขาว กำลังผลิต 11,764 ตันอ้อย/วัน",40560,8,8,แสงชูโต,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,541085.0,99.8075777292252,6,บริษัท น้ำตาลไทยกาญจนบุรี จำกัด,ท่าไม้,13.8756734265913,,ท่ามะกา,เลขที่ 1,262,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71120
416000,"ทำน้ำตาลทรายดิบ, น้ำตาลทรายขาว และน้ำตาลทรายขาวบริสุทธิ์",25000,25,10,แสงชูโต,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,541050.0,99.75597,7,บริษัท ประจวบอุตสาหกรรม จำกัด,ท่ามะกา,13.93817, ,ท่ามะกา,เลขที่ 14/2,230,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71120
288000,"ทำการผลิตน้ำตาลทราย โดยมีกำลังการหีบอ้อยได้วันละ 10,113 ตัน ผลิต ส่ง หรือจำห่ายพลังงานไฟฟ้า กำลังการผลิต 23 เมกกะวัตต์",80000,190,10,แสงชูโต,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,542536-8,99.75636,8,บริษัท น้ำตาลท่ามะกา จำกัด,ท่ามะกา,13.9368,-,ท่ามะกา,เลขที่ 14/1,701,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71120
6782176,ผลิตน้ำตาลทรายดิบหรือน้ำตาลทรายขาวและทำน้ำตาลทรายดิบหรือน้ำตาลทรายขาวให้บริสุทธิ์,38920,90,1,,10721,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,,,9,บริษัท น้ำตาลราชบุรี จำกัด,บ้านเก่า,,,เมืองกาญจนบุรี,เลขที่ 98,200,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,10500
7272,บดใบกระถิน,1925,0,3,เกาะกร่าง-ทุ่งมะสัง,10294,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,511028.0,99.491,10,โรงงานโม่กระถินยินดีการเกษตร,แก่งเสี้ยน,14.06196,-,เมืองกาญจนบุรี,เลขที่ -,5,กาญจนบุรี,โรงงานแปรรูปทางการเกษตร,71190
