เงินทุนรวม,ประกอบกิจการ,อำเภอ,ถนน,ซอย,FID,คนงาน,ลำดับ,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,ตำบล,ผู้ประกอบการ,_id,เลขทะเบียนเดิม,ชื่อโรงงาน
20000000,"บำบัดน้ำทิ้งรวมได้4,800ลูกบาศก์เมตร/วัน",บางกะปิ,รามคำแหง,,10102300125384,5,1,10240,กรุงเทพมหานคร,,เลขที่ 348,270.68,3511123-24,หัวหมาก,บริษัท โอสถสภา จำกัด (มหาชน),1,3-101-1/38,บริษัท โอสถสภา จำกัด (มหาชน)
43100000,"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",มีนบุรี,สุวินทวงศ์,-,10103300125408,10,2,10510,กรุงเทพมหานคร,9,เลขที่ 48,356,989-4050-62,แสนแสบ,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),2,3-101-1/40,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
0,ปรับคุณภาพน้ำเสียรวม,หนองจอก,เชื่อมสัมพันธ์,-,10103100125459,6,3,10530,กรุงเทพมหานคร,5,เลขที่ 67/16,109.4,02-543-1212,โคกแฝด,บริษัท มหาจักรออโตพาร์ท จำกัด,3,3-101-1/45,บริษัท มหาจักรออโตพาร์ท จำกัด
127500000,ปรับคุณภาพของเสียรวม,บางขุนเทียน,พระรามที่ 2,แสมดำ 17,10101100125479,23,4,10150,กรุงเทพมหานคร,3,เลขที่ 68/39,862.2,,แสมดำ,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),4,3-101-1/47,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน)
5000000,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),บางขุนเทียน,พระรามที่ 2,วัดแสมดำ,10103300225380,82,5,10150,กรุงเทพมหานคร,3,เลขที่ 68/39,439,4153728,แสมดำ,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,5,3-101-2/38,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด
8035000,บำบัดน้ำเสียจากกระบวนการผลิตรวมทั้งกำจัดของเสียอื่นๆ ของบริษัทอาหารยอดคุณจำกัด และบริษัทยูนิแชมป์จำกัด,มีนบุรี,นิมิตใหม่,,10101100425416,1,6,10510,กรุงเทพมหานคร,,เลขที่ 9,83.05,02-181-0036-45,มีนบุรี,บริษัท อาหารยอดคุณ จำกัด,6,3-101-4/41,บริษัท อาหารยอดคุณ จำกัด
5500000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบอน,,เอกชัย 114 (อมรพฤกษ์),10100010725592,13,7,10150,กรุงเทพมหานคร,,เลขที่ 11,191,,บางบอน,บริษัท เจดีย์ไทย เปเปอร์ จำกัด,7,3-105-107/59,บริษัท เจดีย์ไทย เปเปอร์ จำกัด
6000000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองแขม,มาเจริญ,,10100101125595,25,8,10160,กรุงเทพมหานคร,,เลขที่ 286,167.25,818031474,หนองแขม,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,8,3-105-11/59,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล
13200000,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,คลองเตย,-,แสนสบาย,10100211925488,20,9,10110,กรุงเทพมหานคร,,เลขที่ 51,130,,คลองตัน,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,9,3-105-119/48,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด
53000000,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,ลาดกระบัง,เลียบคลองมอญ,,10100201325491,20,10,10520,กรุงเทพมหานคร,,เลขที่ 98,349.22,,ทับยาว,นายสิทธิธรรม เรืองจรุงพงศ์,10,3-105-13/49,นายสิทธิธรรม เรืองจรุงพงศ์ 
