ตำบล,ประกอบกิจการ,คนงานรวม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,GPSlat,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPSlong,เงินทุนรวม
สนามจันทร์,ถักเสื้อไหมพรมด้วยแรงคน,50,ราชวิถี,เลขที่ 183,25,นครปฐม,,1,ห้างหุ้นส่วน กรีนนิตติ้ง จำกัด,,,ห้างหุ้นส่วน กรีนนิตติ้ง จำกัด,73000,25,1,เมืองนครปฐม,,1000000
ท่าข้าม,ผลิตอาหารสำเร็จรูป,210,เพชรเกษม,เลขที่ 13/8,28,นครปฐม,034-321455,4,บริษัท สามมิตรอุตสาหกรรมอาหาร จำกัด,13.72238333,,บริษัท สามมิตรอุตสาหกรรมอาหาร จำกัด,73110,182,2,สามพราน,100.2469833,23100000
ไร่ขิง,ผลิตขนมเวเฟอร์ ขนมปังกรอบ คุ๊กกี้ ข้าวเกรียบและช็อกโกเลต,64,เพชรเกษม,เลขที่ 23,11,นครปฐม,4200716,14,บริษัท สยามโภคภัณฑ์ จำกัด,13.71366667,,บริษัท สยามโภคภัณฑ์ จำกัด,73210,53,3,สามพราน,100.2759333,12000000
อ้อมใหญ่,ทำขนมปังและขนมปังกรอบ,63,เพชรเกษม,เลขที่ 42/2,0,นครปฐม,4201348,2,บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,13.70761667,,บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,73160,63,4,สามพราน,100.2718667,2000000
สัมปทวน,ข้าวโพดอบกรอบ ขนมอบกรอบ เวเฟอร์,90,นครชัยศรี-ห้วยพลู,เลขที่ 68/1,35,นครปฐม,02-8110040-1,5,บริษัท เคพีฟู้ดส์ จำกัด,13.84030975,,บริษัท เคพีฟู้ดส์ จำกัด,73120,55,5,นครชัยศรี,100.1973616,105000000
ยายชา,ผลิตและจำหน่ายแป้งข้าวเจ้า แป้งข้าวเหนียว เส้นหมี่ และเส้นก๋วยเตี๋ยว ทำขนมจีน อูด้ง แป้งแปรสภาพจากข้าวจ้าวและข้าวเหนียว,5404,เพชรเกษม,เลขที่ 19,4828,นครปฐม,0-3432-1661-3,1,บริษัท โรงเส้นหมี่ชอเฮง จำกัด,13.72791667,,บริษัท โรงเส้นหมี่ชอเฮง จำกัด,73110,576,6,สามพราน,100.25065,76000000
อ้อมใหญ่,ทำบะหมี่กึ่งสำเร็จรูป เส้นหมี่กึ่งสำเร็จรูป เกี๊ยวสำเร็จรูป โจ๊กกึ่งสำเร็จรูป อาหารกึ่งสำเร็จรูป วัตถุปรุงแต่งรสและเครื่องปรุงรส อาหารพร้อมปรุง และอาหารสำเร็จรูปที่พร้อมบริโภคทันที,678,เพชรเกษม,เลขที่ 42/1,94,นครปฐม,4201072,2,บริษัท โรงงานผลิตภัณฑ์อาหารไทย จำกัด,13.70865,-,บริษัท โรงงานผลิตภัณฑ์อาหารไทย จำกัด,73160,584,7,สามพราน,100.27275,94079256
ยายชา,ทำเส้นก๋วยเตี๋ยวแห้ง,70,เพชรเกษม,เลขที่ 45,35,นครปฐม,311245,1,บริษัท ไทยวัฒนาไรซ์โพรดัคท์จำกัด,13.72775,-,บริษัท ไทยวัฒนาไรซ์โพรดัคท์ จำกัด,73110,35,8,สามพราน,100.2494667,90000000
โพรงมะเดื่อ,"ผลิตอาหารเจจากแป้ง เช่น อาหารโปรตีน, ไส้กรอกเจ,ลูกชิ้นเจ,และอาหารเจอื่น ๆ",34,,เลขที่ 162/3,12,นครปฐม,,10,บริษัท เมตตาอาหารเจ จำกัด,13.83653333,,บริษัท เมตตาอาหารเจ จำกัด,73000,22,9,เมืองนครปฐม,99.981,9100000
แหลมบัว,ผลิตขนมไทยหลากหลายชนิด,140,,เลขที่ 89,55,นครปฐม,,2,บริษัท เก้าใหม่ ไทยดิเซิร์ท จำกัด,13.8569331,,บริษัท เก้าใหม่ ไทยดิเซิร์ท จำกัด,73120,85,10,นครชัยศรี,100.1482667,281000000
บางเลน,ทำวุ้นเส้น แป้งสลิ่ม ก๋วยเตี๋ยว เซี่ยงไฮ้,1015,บางเลน-ดอนตูม,เลขที่ 2,206,นครปฐม,034-391011,1,บริษัท ไทยวา จำกัด (มหาชน),13.99965,-,บริษัท ไทยวา จำกัด (มหาชน),73130,809,11,บางเลน,100.1723833,614500000
ตลาดจินดา,ผลิตภัณฑ์จากแป้งข้าวจ้าว-ข้าวสาลี อาหารกึ่งสำเร็จรูป ผงเครื่องปรุงอาหาร เครื่องแกง-น้ำพริกและน้ำมะนาวปรุงแต่ง หัวเชื้อน้ำซุป ซอสในภาชนะบรรุที่ปิดสนิท วัตถุเจือปนอาหาร,97,พระประโทน-บ้านแพ้ว,"เลขที่ 58/3,99/8",46,นครปฐม,,6,บริษัท เอฟ-พลัส จำกัด,13.67006667,-,บริษัท เอฟ-พลัส จำกัด,73110,51,12,สามพราน,100.0886333,90000000
ลำลูกบัว,ผลิตวุ้นเส้น,462,พลดำริห์,เลขที่ 4,204,นครปฐม,,3,บริษัท อุตสาหกรรมวุ้นเส้นไทย จำกัด,14.03451667,,บริษัท อุตสาหกรรมวุ้นเส้นไทย จำกัด,73150,258,13,ดอนตูม,100.1113167,13000000
อ้อมใหญ่,ทำเส้นหมี แป้งข้าวจ้าว และแป้งข้าวเหนียว,28,เพชรเกษม,เลขที่ 38,15,นครปฐม,4203307-8,6,บริษัท เส้นหมี่เหรียญไทย จำกัด,13.69445,วัดอ้อมใหญ่,บริษัท เส้นหมี่เหรียญไทย จำกัด,73160,13,14,สามพราน,100.26785,10000000
คลองใหม่,ผลิตอาหารประเภทข้าวเกรียบจากแป้งสาลี แป้งมันสำปะหลัง แป้งข้าวโพด บะหมี่กึ่ง สำเร็จรูป ขนมปังอบกรอบและเครื่องปรุงรส,130,เพชรเกษม,เลขที่ 105/5,35,นครปฐม,(034) 324473-6,6,บริษัท แฟชั่นฟู้ด จำกัด,13.74938333,,บริษัท แฟชั่นฟู้ด จำกัด,73110,95,15,สามพราน,100.2010333,32000000
ดอนข่อย,ผลิตเส้นก๋วยเตี๋ยว,25,พลดำริห์,เลขที่ 81,15,นครปฐม,034-352448,6,นางสาวรัชมน พงษ์เกษมวัฒน์,14.01755,-,โรงงานก๋วยเตี๋ยว ธนพล,73140,10,16,กำแพงแสน,100.02305,34000000
อ้อมใหญ่,ผลิตเส้นหมี่,0,เพชรเกษม,เลขที่ 42/1,0,นครปฐม,,1,บริษัท เส้นหมี่เหรียญทอง จำกัด,13.6945,วัดอ้อมใหญ่,บริษัท เส้นหมี่เหรียญทอง จำกัด,73160,0,17,สามพราน,100.26515,0
วังตะกู,"ทำเส้นหมี่, ก๋วยเตี๋ยว, บะหมี่ และลูกชิ้น",35,วังตะกู,เลขที่ 105,20,นครปฐม,034-261300,6,นายคงศักดิ์ บุตรพันธ์,13.85229,,ธีรกานต์,73000,15,18,เมืองนครปฐม,100.018761,52000000
ไร่ขิง,โรงงานผลิตเส้นหมี่จากข้าวจ้าว-ข้าวเหนียว,90,,เลขที่ 67/9,60,นครปฐม,,12,บริษัท อาร์.เอส.แอกริเทค จำกัด,,,บริษัท อาร์.เอส.แอกริเทค จำกัด,73210,30,19,สามพราน,,250000000
นราภิรมย์,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,79,,เลขที่ 99/1,44,นครปฐม,094-4834315,4,บริษัท ไทยเซ็นเตอร์ฟู้ด โปรดักส์ จำกัด,13.94065771,,บริษัท ไทยเซ็นเตอร์ฟู้ด โปรดักส์ จำกัด,73130,35,20,บางเลน,100.2662625,95010770
กระทุ่มล้ม,ผลิตบรรจุภัณฑ์โลหะและบรรจุภัณฑ์พลาสติก,152,พุทธมณฑลสาย 4,เลขที่ 111,69,นครปฐม,2803402-3,5,บริษัท เบญจมิตรบรรจุภัณฑ์ จำกัด,13.72463333,,บริษัท เบญจมิตรบรรจุภัณฑ์ จำกัด,73220,83,21,สามพราน,100.3304667,203000000
ไร่ขิง,ปรับคุณภาพของเสียรวม,11,พุทธมณฑลสายที่ 5,เลขที่ 87,11,นครปฐม,0-2420-4717,9,บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด,13.72036667,,บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด,73210,0,22,สามพราน,100.29875,381110000
บ้านใหม่,ระบบบำบัดน้ำเสียรวม,2,เพชรเกษม,เลขที่ 12,2,นครปฐม,"42,903,394,290,647",,บริษัท บางกอกอินเตอร์ฟูด จำกัด,13.69745,วัดเทียนดัด,บริษัท บางกอกอินเตอร์ฟูด จำกัด,73110,0,23,สามพราน,100.2452333,500000
ไทยาวาส,ระบบบำบัดน้ำเสียรวม,3, -,เลขที่ 81/7,3,นครปฐม,0 2477 9020,1,บริษัท น้ำมันพืชไทย จำกัด (มหาชน),13.79788333, -,บริษัท น้ำมันพืชไทย จำกัด (มหาชน),73120,0,24,นครชัยศรี,100.1994,16050000
บ้านใหม่,บำบัดน้ำเสียรวม,5,เพชรเกษม,เลขที่ 67,3,นครปฐม,4290020,1,บริษัท นครหลวงกลูโคส จำกัด,13.70343333,วัดเทียนดัด,บริษัท นครหลวงกลูโคส จำกัด,73110,2,25,สามพราน,100.2470333,69500000
นครชัยศรี,"บำบัดน้ำเสียรวม ปริมาณบำบัดสูงสุด 4,800 ลูกบาศก์เมตรต่อวัน",17,สุขาภิบาล,เลขที่ 33/3,17,นครปฐม,034 331788-90,3,บริษัท ไทยโทเรเท็กซ์ไทล์มิลลส์ จำกัด (มหาชน),13.79158,-,บริษัท ไทยโทเรเท็กซ์ไทล์มิลลส์ จำกัด (มหาชน),73120,0,26,นครชัยศรี,100.19501,0
ไร่ขิง,ผลิตและจำหน่ายไอน้ำ,4,เพชรเกษม,เลขที่ 41/3,4,นครปฐม,,5,บริษัท อัลโลคอร์ท จำกัด,13.75099998,เทศบาล 10,บริษัท อัลโลคอร์ท จำกัด,73210,0,27,สามพราน,100.3031162,40000000
สระพัฒนา,ผลิตและจำหน่ายไอน้ำ,5,,เลขที่ 96,5,นครปฐม,,9,บริษัท บลูฟาโล่ จำกัด,14.09983864,,บริษัท บลูฟาโล่ จำกัด,73180,0,28,กำแพงแสน,99.98556645,19600000
