_id,มูลค่า (บาท),พื้นที่เสียหาย (ไร่),อำเภอ
1,-   ,-   ,เมืองอุทัยธานี
2,-   ,-   ,ทัพทัน
3,-   ,-   ,สว่างอารมณ์
4,-   ,-   ,หนองฉาง
5,-   ,-   ,หนองขาหย่าง
6,-   ,-   ,บ้านไร่
7,-   ,-   ,ลานสัก
8,-   ,-   ,ห้วยคต
