_id,พ.ศ.,รายการข้อมูล,ที่มา,จำนวน,หน่วยนับ,จังหวัด,ระดับ
1,2563,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,2,แห่ง,กาญจนบุรี,ระดับ 1
2,2563,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,2,แห่ง,กาญจนบุรี,ระดับ 2
3,2563,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,3,แห่ง,กาญจนบุรี,ระดับ 3
4,2563,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,0,แห่ง,กาญจนบุรี,ระดับ 4
5,2563,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,0,แห่ง,กาญจนบุรี,ระดับ 5
6,2564,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,1,แห่ง,กาญจนบุรี,ระดับ 1
7,2564,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,2,แห่ง,กาญจนบุรี,ระดับ 2
8,2564,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,10,แห่ง,กาญจนบุรี,ระดับ 3
9,2564,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,3,แห่ง,กาญจนบุรี,ระดับ 4
10,2564,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,3,แห่ง,กาญจนบุรี,ระดับ 5
11,2565,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,464,แห่ง,กาญจนบุรี,ระดับ 1
12,2565,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,19,แห่ง,กาญจนบุรี,ระดับ 2
13,2565,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,7,แห่ง,กาญจนบุรี,ระดับ 3
14,2565,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,4,แห่ง,กาญจนบุรี,ระดับ 4
15,2565,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,2,แห่ง,กาญจนบุรี,ระดับ 5
16,2566,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,196,แห่ง,กาญจนบุรี,ระดับ 1
17,2566,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,6,แห่ง,กาญจนบุรี,ระดับ 2
18,2566,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,6,แห่ง,กาญจนบุรี,ระดับ 3
19,2566,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,0,แห่ง,กาญจนบุรี,ระดับ 4
20,2566,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,0,แห่ง,กาญจนบุรี,ระดับ 5
