จำนวน,_id,ปี,เพศ,ไตรมาส,ชั่วโมงทำงาน/สัปดาห์
 712 ,25,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
" 1,326 ",26,2561,หญิง                        ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 1,326 ",27,2561,หญิง                        ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
,28,2561,หญิง                        ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
 797 ,29,2561,หญิง                        ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
 862 ,30,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
,31,2561,รวม,ไตรมาส 1,1-9 ชั่วโมง
 298 ,32,2561,รวม,ไตรมาส 2,1-9 ชั่วโมง
 409 ,33,2561,รวม,ไตรมาส 3,1-9 ชั่วโมง
,34,2561,รวม,ไตรมาส 4,1-9 ชั่วโมง
 177 ,35,2561,รวม,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
,36,2561,ชาย                         ,ไตรมาส 1,1-9 ชั่วโมง
,37,2561,ชาย                         ,ไตรมาส 2,1-9 ชั่วโมง
,38,2561,ชาย                         ,ไตรมาส 3,1-9 ชั่วโมง
,39,2561,ชาย                         ,ไตรมาส 4,1-9 ชั่วโมง
,40,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
,41,2561,หญิง                        ,ไตรมาส 1,1-9 ชั่วโมง
 298 ,42,2561,หญิง                        ,ไตรมาส 2,1-9 ชั่วโมง
 409 ,43,2561,หญิง                        ,ไตรมาส 3,1-9 ชั่วโมง
,44,2561,หญิง                        ,ไตรมาส 4,1-9 ชั่วโมง
 177 ,45,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
" 5,201 ",46,2561,รวม,ไตรมาส 1,10-19 ชั่วโมง
 801 ,47,2561,รวม,ไตรมาส 2,10-19 ชั่วโมง
" 2,270 ",48,2561,รวม,ไตรมาส 3,10-19 ชั่วโมง
" 1,643 ",49,2561,รวม,ไตรมาส 4,10-19 ชั่วโมง
" 2,479 ",50,2561,รวม,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
" 2,994 ",51,2561,ชาย                         ,ไตรมาส 1,10-19 ชั่วโมง
 509 ,52,2561,ชาย                         ,ไตรมาส 2,10-19 ชั่วโมง
 450 ,53,2561,ชาย                         ,ไตรมาส 3,10-19 ชั่วโมง
 795 ,54,2561,ชาย                         ,ไตรมาส 4,10-19 ชั่วโมง
" 1,187 ",55,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
" 2,207 ",56,2561,หญิง                        ,ไตรมาส 1,10-19 ชั่วโมง
 292 ,57,2561,หญิง                        ,ไตรมาส 2,10-19 ชั่วโมง
" 1,820 ",58,2561,หญิง                        ,ไตรมาส 3,10-19 ชั่วโมง
 848 ,59,2561,หญิง                        ,ไตรมาส 4,10-19 ชั่วโมง
" 1,292 ",60,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
" 21,655 ",61,2561,รวม,ไตรมาส 1,20-29 ชั่วโมง
" 6,507 ",62,2561,รวม,ไตรมาส 2,20-29 ชั่วโมง
" 9,806 ",63,2561,รวม,ไตรมาส 3,20-29 ชั่วโมง
" 5,721 ",64,2561,รวม,ไตรมาส 4,20-29 ชั่วโมง
" 10,922 ",65,2561,รวม,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
" 11,113 ",66,2561,ชาย                         ,ไตรมาส 1,20-29 ชั่วโมง
" 2,609 ",67,2561,ชาย                         ,ไตรมาส 2,20-29 ชั่วโมง
" 4,128 ",68,2561,ชาย                         ,ไตรมาส 3,20-29 ชั่วโมง
" 3,506 ",69,2561,ชาย                         ,ไตรมาส 4,20-29 ชั่วโมง
" 5,339 ",70,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
" 10,542 ",71,2561,หญิง                        ,ไตรมาส 1,20-29 ชั่วโมง
" 3,897 ",72,2561,หญิง                        ,ไตรมาส 2,20-29 ชั่วโมง
" 5,678 ",73,2561,หญิง                        ,ไตรมาส 3,20-29 ชั่วโมง
" 2,215 ",74,2561,หญิง                        ,ไตรมาส 4,20-29 ชั่วโมง
" 5,583 ",75,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
" 20,453 ",76,2561,รวม,ไตรมาส 1,30-34 ชั่วโมง
" 6,123 ",77,2561,รวม,ไตรมาส 2,30-34 ชั่วโมง
" 14,499 ",78,2561,รวม,ไตรมาส 3,30-34 ชั่วโมง
" 10,345 ",79,2561,รวม,ไตรมาส 4,30-34 ชั่วโมง
" 12,855 ",80,2561,รวม,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
" 9,895 ",81,2561,ชาย                         ,ไตรมาส 1,30-34 ชั่วโมง
" 4,256 ",82,2561,ชาย                         ,ไตรมาส 2,30-34 ชั่วโมง
" 7,081 ",83,2561,ชาย                         ,ไตรมาส 3,30-34 ชั่วโมง
" 6,187 ",84,2561,ชาย                         ,ไตรมาส 4,30-34 ชั่วโมง
" 6,855 ",85,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
" 10,558 ",86,2561,หญิง                        ,ไตรมาส 1,30-34 ชั่วโมง
" 1,867 ",87,2561,หญิง                        ,ไตรมาส 2,30-34 ชั่วโมง
" 7,419 ",88,2561,หญิง                        ,ไตรมาส 3,30-34 ชั่วโมง
" 4,158 ",89,2561,หญิง                        ,ไตรมาส 4,30-34 ชั่วโมง
" 6,000 ",90,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
" 38,819 ",91,2561,รวม,ไตรมาส 1,35-39 ชั่วโมง
" 26,542 ",92,2561,รวม,ไตรมาส 2,35-39 ชั่วโมง
" 30,391 ",93,2561,รวม,ไตรมาส 3,35-39 ชั่วโมง
" 33,554 ",94,2561,รวม,ไตรมาส 4,35-39 ชั่วโมง
" 32,327 ",95,2561,รวม,เฉลี่ย 4 ไตรมาส,35-39 ชั่วโมง
" 17,856 ",96,2561,ชาย                         ,ไตรมาส 1,35-39 ชั่วโมง
" 13,484 ",97,2561,ชาย                         ,ไตรมาส 2,35-39 ชั่วโมง
" 15,012 ",98,2561,ชาย                         ,ไตรมาส 3,35-39 ชั่วโมง
" 15,352 ",99,2561,ชาย                         ,ไตรมาส 4,35-39 ชั่วโมง
" 15,426 ",100,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,35-39 ชั่วโมง
" 20,963 ",101,2561,หญิง                        ,ไตรมาส 1,35-39 ชั่วโมง
" 13,058 ",102,2561,หญิง                        ,ไตรมาส 2,35-39 ชั่วโมง
" 15,380 ",103,2561,หญิง                        ,ไตรมาส 3,35-39 ชั่วโมง
" 18,203 ",104,2561,หญิง                        ,ไตรมาส 4,35-39 ชั่วโมง
" 16,901 ",105,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,35-39 ชั่วโมง
" 201,450 ",106,2561,รวม,ไตรมาส 1,40-49 ชั่วโมง
" 230,871 ",107,2561,รวม,ไตรมาส 2,40-49 ชั่วโมง
" 226,374 ",108,2561,รวม,ไตรมาส 3,40-49 ชั่วโมง
" 225,530 ",109,2561,รวม,ไตรมาส 4,40-49 ชั่วโมง
" 221,056 ",110,2561,รวม,เฉลี่ย 4 ไตรมาส,40-49 ชั่วโมง
" 116,390 ",111,2561,ชาย                         ,ไตรมาส 1,40-49 ชั่วโมง
" 124,868 ",112,2561,ชาย                         ,ไตรมาส 2,40-49 ชั่วโมง
" 131,307 ",113,2561,ชาย                         ,ไตรมาส 3,40-49 ชั่วโมง
" 124,439 ",114,2561,ชาย                         ,ไตรมาส 4,40-49 ชั่วโมง
" 124,251 ",115,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,40-49 ชั่วโมง
" 85,060 ",116,2561,หญิง                        ,ไตรมาส 1,40-49 ชั่วโมง
" 106,003 ",117,2561,หญิง                        ,ไตรมาส 2,40-49 ชั่วโมง
" 95,067 ",118,2561,หญิง                        ,ไตรมาส 3,40-49 ชั่วโมง
" 101,091 ",119,2561,หญิง                        ,ไตรมาส 4,40-49 ชั่วโมง
" 96,805 ",120,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,40-49 ชั่วโมง
" 102,444 ",121,2561,รวม,ไตรมาส 1,50 ชั่วโมงขึ้นไป
" 108,833 ",122,2561,รวม,ไตรมาส 2,50 ชั่วโมงขึ้นไป
" 109,505 ",123,2561,รวม,ไตรมาส 3,50 ชั่วโมงขึ้นไป
" 115,069 ",124,2561,รวม,ไตรมาส 4,50 ชั่วโมงขึ้นไป
" 108,963 ",125,2561,รวม,เฉลี่ย 4 ไตรมาส,50 ชั่วโมงขึ้นไป
" 56,763 ",126,2561,ชาย                         ,ไตรมาส 1,50 ชั่วโมงขึ้นไป
" 66,380 ",127,2561,ชาย                         ,ไตรมาส 2,50 ชั่วโมงขึ้นไป
" 59,812 ",128,2561,ชาย                         ,ไตรมาส 3,50 ชั่วโมงขึ้นไป
" 64,834 ",129,2561,ชาย                         ,ไตรมาส 4,50 ชั่วโมงขึ้นไป
" 61,947 ",130,2561,ชาย                         ,เฉลี่ย 4 ไตรมาส,50 ชั่วโมงขึ้นไป
" 45,681 ",131,2561,หญิง                        ,ไตรมาส 1,50 ชั่วโมงขึ้นไป
" 42,453 ",132,2561,หญิง                        ,ไตรมาส 2,50 ชั่วโมงขึ้นไป
" 49,693 ",133,2561,หญิง                        ,ไตรมาส 3,50 ชั่วโมงขึ้นไป
" 50,235 ",134,2561,หญิง                        ,ไตรมาส 4,50 ชั่วโมงขึ้นไป
" 47,015 ",135,2561,หญิง                        ,เฉลี่ย 4 ไตรมาส,50 ชั่วโมงขึ้นไป
" 393,578 ",136,2562,รวม,ไตรมาส 1,ยอดรวม
" 384,788 ",137,2562,รวม,ไตรมาส 2,ยอดรวม
" 381,671 ",138,2562,รวม,ไตรมาส 3,ยอดรวม
" 390,716 ",139,2562,รวม,ไตรมาส 4,ยอดรวม
" 387,688 ",140,2562,รวม,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 220,254 ",141,2562,ชาย                         ,ไตรมาส 1,ยอดรวม
" 216,856 ",142,2562,ชาย                         ,ไตรมาส 2,ยอดรวม
" 215,688 ",143,2562,ชาย                         ,ไตรมาส 3,ยอดรวม
" 212,887 ",144,2562,ชาย                         ,ไตรมาส 4,ยอดรวม
" 216,421 ",145,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 173,324 ",146,2562,หญิง                        ,ไตรมาส 1,ยอดรวม
" 167,932 ",147,2562,หญิง                        ,ไตรมาส 2,ยอดรวม
" 165,983 ",148,2562,หญิง                        ,ไตรมาส 3,ยอดรวม
" 177,829 ",149,2562,หญิง                        ,ไตรมาส 4,ยอดรวม
" 171,267 ",150,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 1,918 ",151,2562,รวม,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 3,876 ",152,2562,รวม,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
 682 ,153,2562,รวม,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
" 1,692 ",154,2562,รวม,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
" 2,042 ",155,2562,รวม,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
 806 ,156,2562,ชาย                         ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 2,598 ",157,2562,ชาย                         ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
 355 ,158,2562,ชาย                         ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
 506 ,159,2562,ชาย                         ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
" 1,066 ",160,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
" 1,112 ",161,2562,หญิง                        ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 1,278 ",162,2562,หญิง                        ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
 326 ,163,2562,หญิง                        ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
" 1,186 ",164,2562,หญิง                        ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
 976 ,165,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
" 3,054 ",166,2562,รวม,ไตรมาส 1,1-9 ชั่วโมง
,167,2562,รวม,ไตรมาส 2,1-9 ชั่วโมง
 950 ,168,2562,รวม,ไตรมาส 3,1-9 ชั่วโมง
 452 ,169,2562,รวม,ไตรมาส 4,1-9 ชั่วโมง
" 1,114 ",170,2562,รวม,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
" 1,838 ",171,2562,ชาย                         ,ไตรมาส 1,1-9 ชั่วโมง
,172,2562,ชาย                         ,ไตรมาส 2,1-9 ชั่วโมง
,173,2562,ชาย                         ,ไตรมาส 3,1-9 ชั่วโมง
 452 ,174,2562,ชาย                         ,ไตรมาส 4,1-9 ชั่วโมง
 573 ,175,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
" 1,216 ",176,2562,หญิง                        ,ไตรมาส 1,1-9 ชั่วโมง
,177,2562,หญิง                        ,ไตรมาส 2,1-9 ชั่วโมง
 950 ,178,2562,หญิง                        ,ไตรมาส 3,1-9 ชั่วโมง
,179,2562,หญิง                        ,ไตรมาส 4,1-9 ชั่วโมง
 542 ,180,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
" 11,210 ",181,2562,รวม,ไตรมาส 1,10-19 ชั่วโมง
" 1,680 ",182,2562,รวม,ไตรมาส 2,10-19 ชั่วโมง
 647 ,183,2562,รวม,ไตรมาส 3,10-19 ชั่วโมง
" 1,389 ",184,2562,รวม,ไตรมาส 4,10-19 ชั่วโมง
" 3,732 ",185,2562,รวม,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
" 6,295 ",186,2562,ชาย                         ,ไตรมาส 1,10-19 ชั่วโมง
 947 ,187,2562,ชาย                         ,ไตรมาส 2,10-19 ชั่วโมง
 462 ,188,2562,ชาย                         ,ไตรมาส 3,10-19 ชั่วโมง
" 1,038 ",189,2562,ชาย                         ,ไตรมาส 4,10-19 ชั่วโมง
" 2,185 ",190,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
" 4,915 ",191,2562,หญิง                        ,ไตรมาส 1,10-19 ชั่วโมง
 734 ,192,2562,หญิง                        ,ไตรมาส 2,10-19 ชั่วโมง
 185 ,193,2562,หญิง                        ,ไตรมาส 3,10-19 ชั่วโมง
 352 ,194,2562,หญิง                        ,ไตรมาส 4,10-19 ชั่วโมง
" 1,546 ",195,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,10-19 ชั่วโมง
" 38,854 ",196,2562,รวม,ไตรมาส 1,20-29 ชั่วโมง
" 9,330 ",197,2562,รวม,ไตรมาส 2,20-29 ชั่วโมง
" 6,110 ",198,2562,รวม,ไตรมาส 3,20-29 ชั่วโมง
" 3,972 ",199,2562,รวม,ไตรมาส 4,20-29 ชั่วโมง
" 14,566 ",200,2562,รวม,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
" 18,106 ",201,2562,ชาย                         ,ไตรมาส 1,20-29 ชั่วโมง
" 4,468 ",202,2562,ชาย                         ,ไตรมาส 2,20-29 ชั่วโมง
" 2,418 ",203,2562,ชาย                         ,ไตรมาส 3,20-29 ชั่วโมง
" 1,815 ",204,2562,ชาย                         ,ไตรมาส 4,20-29 ชั่วโมง
" 6,702 ",205,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
" 20,748 ",206,2562,หญิง                        ,ไตรมาส 1,20-29 ชั่วโมง
" 4,862 ",207,2562,หญิง                        ,ไตรมาส 2,20-29 ชั่วโมง
" 3,692 ",208,2562,หญิง                        ,ไตรมาส 3,20-29 ชั่วโมง
" 2,157 ",209,2562,หญิง                        ,ไตรมาส 4,20-29 ชั่วโมง
" 7,865 ",210,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,20-29 ชั่วโมง
" 23,296 ",211,2562,รวม,ไตรมาส 1,30-34 ชั่วโมง
" 5,748 ",212,2562,รวม,ไตรมาส 2,30-34 ชั่วโมง
" 10,167 ",213,2562,รวม,ไตรมาส 3,30-34 ชั่วโมง
" 8,111 ",214,2562,รวม,ไตรมาส 4,30-34 ชั่วโมง
" 11,831 ",215,2562,รวม,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
" 12,824 ",216,2562,ชาย                         ,ไตรมาส 1,30-34 ชั่วโมง
" 3,602 ",217,2562,ชาย                         ,ไตรมาส 2,30-34 ชั่วโมง
" 4,252 ",218,2562,ชาย                         ,ไตรมาส 3,30-34 ชั่วโมง
" 2,709 ",219,2562,ชาย                         ,ไตรมาส 4,30-34 ชั่วโมง
" 5,847 ",220,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
" 10,472 ",221,2562,หญิง                        ,ไตรมาส 1,30-34 ชั่วโมง
" 2,146 ",222,2562,หญิง                        ,ไตรมาส 2,30-34 ชั่วโมง
" 5,915 ",223,2562,หญิง                        ,ไตรมาส 3,30-34 ชั่วโมง
" 5,402 ",224,2562,หญิง                        ,ไตรมาส 4,30-34 ชั่วโมง
" 5,984 ",225,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,30-34 ชั่วโมง
" 36,586 ",226,2562,รวม,ไตรมาส 1,35-39 ชั่วโมง
" 37,441 ",227,2562,รวม,ไตรมาส 2,35-39 ชั่วโมง
" 39,297 ",228,2562,รวม,ไตรมาส 3,35-39 ชั่วโมง
" 39,913 ",229,2562,รวม,ไตรมาส 4,35-39 ชั่วโมง
" 38,309 ",230,2562,รวม,เฉลี่ย 4 ไตรมาส,35-39 ชั่วโมง
" 14,669 ",231,2562,ชาย                         ,ไตรมาส 1,35-39 ชั่วโมง
" 19,600 ",232,2562,ชาย                         ,ไตรมาส 2,35-39 ชั่วโมง
" 20,152 ",233,2562,ชาย                         ,ไตรมาส 3,35-39 ชั่วโมง
" 19,699 ",234,2562,ชาย                         ,ไตรมาส 4,35-39 ชั่วโมง
" 18,530 ",235,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,35-39 ชั่วโมง
" 21,917 ",236,2562,หญิง                        ,ไตรมาส 1,35-39 ชั่วโมง
" 17,841 ",237,2562,หญิง                        ,ไตรมาส 2,35-39 ชั่วโมง
" 19,145 ",238,2562,หญิง                        ,ไตรมาส 3,35-39 ชั่วโมง
" 20,214 ",239,2562,หญิง                        ,ไตรมาส 4,35-39 ชั่วโมง
" 19,779 ",240,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,35-39 ชั่วโมง
" 177,965 ",241,2562,รวม,ไตรมาส 1,40-49 ชั่วโมง
" 232,430 ",242,2562,รวม,ไตรมาส 2,40-49 ชั่วโมง
" 237,320 ",243,2562,รวม,ไตรมาส 3,40-49 ชั่วโมง
" 256,863 ",244,2562,รวม,ไตรมาส 4,40-49 ชั่วโมง
" 226,145 ",245,2562,รวม,เฉลี่ย 4 ไตรมาส,40-49 ชั่วโมง
" 103,997 ",246,2562,ชาย                         ,ไตรมาส 1,40-49 ชั่วโมง
" 131,084 ",247,2562,ชาย                         ,ไตรมาส 2,40-49 ชั่วโมง
" 134,127 ",248,2562,ชาย                         ,ไตรมาส 3,40-49 ชั่วโมง
" 140,684 ",249,2562,ชาย                         ,ไตรมาส 4,40-49 ชั่วโมง
" 127,473 ",250,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,40-49 ชั่วโมง
" 73,969 ",251,2562,หญิง                        ,ไตรมาส 1,40-49 ชั่วโมง
" 101,346 ",252,2562,หญิง                        ,ไตรมาส 2,40-49 ชั่วโมง
" 103,193 ",253,2562,หญิง                        ,ไตรมาส 3,40-49 ชั่วโมง
" 116,179 ",254,2562,หญิง                        ,ไตรมาส 4,40-49 ชั่วโมง
" 98,672 ",255,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,40-49 ชั่วโมง
" 100,695 ",256,2562,รวม,ไตรมาส 1,50 ชั่วโมงขึ้นไป
" 94,282 ",257,2562,รวม,ไตรมาส 2,50 ชั่วโมงขึ้นไป
" 86,498 ",258,2562,รวม,ไตรมาส 3,50 ชั่วโมงขึ้นไป
" 78,324 ",259,2562,รวม,ไตรมาส 4,50 ชั่วโมงขึ้นไป
" 89,950 ",260,2562,รวม,เฉลี่ย 4 ไตรมาส,50 ชั่วโมงขึ้นไป
" 61,719 ",261,2562,ชาย                         ,ไตรมาส 1,50 ชั่วโมงขึ้นไป
" 54,556 ",262,2562,ชาย                         ,ไตรมาส 2,50 ชั่วโมงขึ้นไป
" 53,921 ",263,2562,ชาย                         ,ไตรมาส 3,50 ชั่วโมงขึ้นไป
" 45,985 ",264,2562,ชาย                         ,ไตรมาส 4,50 ชั่วโมงขึ้นไป
" 54,045 ",265,2562,ชาย                         ,เฉลี่ย 4 ไตรมาส,50 ชั่วโมงขึ้นไป
" 38,976 ",266,2562,หญิง                        ,ไตรมาส 1,50 ชั่วโมงขึ้นไป
" 39,726 ",267,2562,หญิง                        ,ไตรมาส 2,50 ชั่วโมงขึ้นไป
" 32,577 ",268,2562,หญิง                        ,ไตรมาส 3,50 ชั่วโมงขึ้นไป
" 32,339 ",269,2562,หญิง                        ,ไตรมาส 4,50 ชั่วโมงขึ้นไป
" 35,905 ",270,2562,หญิง                        ,เฉลี่ย 4 ไตรมาส,50 ชั่วโมงขึ้นไป
" 397,559 ",271,2563,รวม,ไตรมาส 1,ยอดรวม
" 380,187 ",272,2563,รวม,ไตรมาส 2,ยอดรวม
" 391,220 ",273,2563,รวม,ไตรมาส 3,ยอดรวม
" 394,647 ",274,2563,รวม,ไตรมาส 4,ยอดรวม
" 390,903 ",275,2563,รวม,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 218,621 ",276,2563,ชาย                         ,ไตรมาส 1,ยอดรวม
" 213,794 ",277,2563,ชาย                         ,ไตรมาส 2,ยอดรวม
" 219,131 ",278,2563,ชาย                         ,ไตรมาส 3,ยอดรวม
" 217,858 ",279,2563,ชาย                         ,ไตรมาส 4,ยอดรวม
" 217,351 ",280,2563,ชาย                         ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 178,939 ",281,2563,หญิง                        ,ไตรมาส 1,ยอดรวม
" 166,394 ",282,2563,หญิง                        ,ไตรมาส 2,ยอดรวม
" 172,089 ",283,2563,หญิง                        ,ไตรมาส 3,ยอดรวม
" 176,789 ",284,2563,หญิง                        ,ไตรมาส 4,ยอดรวม
" 173,553 ",285,2563,หญิง                        ,เฉลี่ย 4 ไตรมาส,ยอดรวม
" 12,539 ",286,2563,รวม,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 23,766 ",287,2563,รวม,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
" 6,415 ",288,2563,รวม,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
" 2,918 ",289,2563,รวม,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
" 11,409 ",290,2563,รวม,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
" 7,098 ",291,2563,ชาย                         ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 11,446 ",292,2563,ชาย                         ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
" 4,343 ",293,2563,ชาย                         ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
" 2,158 ",294,2563,ชาย                         ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
" 6,261 ",295,2563,ชาย                         ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
" 5,441 ",296,2563,หญิง                        ,ไตรมาส 1,น้อยกว่า 1 ชั่วโมง
" 12,320 ",297,2563,หญิง                        ,ไตรมาส 2,น้อยกว่า 1 ชั่วโมง
" 2,071 ",298,2563,หญิง                        ,ไตรมาส 3,น้อยกว่า 1 ชั่วโมง
 760 ,299,2563,หญิง                        ,ไตรมาส 4,น้อยกว่า 1 ชั่วโมง
" 5,148 ",300,2563,หญิง                        ,เฉลี่ย 4 ไตรมาส,น้อยกว่า 1 ชั่วโมง
" 6,436 ",301,2563,รวม,ไตรมาส 1,1-9 ชั่วโมง
 743 ,302,2563,รวม,ไตรมาส 2,1-9 ชั่วโมง
,303,2563,รวม,ไตรมาส 3,1-9 ชั่วโมง
,304,2563,รวม,ไตรมาส 4,1-9 ชั่วโมง
" 1,795 ",305,2563,รวม,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
" 3,684 ",306,2563,ชาย                         ,ไตรมาส 1,1-9 ชั่วโมง
,307,2563,ชาย                         ,ไตรมาส 2,1-9 ชั่วโมง
,308,2563,ชาย                         ,ไตรมาส 3,1-9 ชั่วโมง
,309,2563,ชาย                         ,ไตรมาส 4,1-9 ชั่วโมง
 921 ,310,2563,ชาย                         ,เฉลี่ย 4 ไตรมาส,1-9 ชั่วโมง
" 2,752 ",311,2563,หญิง                        ,ไตรมาส 1,1-9 ชั่วโมง
 743 ,312,2563,หญิง                        ,ไตรมาส 2,1-9 ชั่วโมง
,313,2563,หญิง                        ,ไตรมาส 3,1-9 ชั่วโมง
