ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
สุวินทวงศ์,เลขที่ 48,-,356,43100000,1,10,3-101-1/40,2,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",989-4050-62,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,9
เชื่อมสัมพันธ์,เลขที่ 67/16,-,109.4,0,2,6,3-101-1/45,3,บริษัท มหาจักรออโตพาร์ท จำกัด,ปรับคุณภาพน้ำเสียรวม,02-543-1212,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
พระรามที่ 2,เลขที่ 68/39,แสมดำ 17,862.2,127500000,3,23,3-101-1/47,4,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
พระรามที่ 2,เลขที่ 68/39,วัดแสมดำ,439,5000000,4,82,3-101-2/38,5,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),4153728,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
นิมิตใหม่,เลขที่ 9,,83.05,8035000,5,1,3-101-4/41,6,บริษัท อาหารยอดคุณ จำกัด,บำบัดน้ำเสียจากกระบวนการผลิตรวมทั้งกำจัดของเสียอื่นๆ ของบริษัทอาหารยอดคุณจำกัด และบริษัทยูนิแชมป์จำกัด,02-181-0036-45,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
,เลขที่ 11,เอกชัย 114 (อมรพฤกษ์),191,5500000,6,13,3-105-107/59,7,บริษัท เจดีย์ไทย เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 286,,167.25,6000000,7,25,3-105-11/59,8,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,818031474,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,
-,เลขที่ 51,แสนสบาย,130,13200000,8,20,3-105-119/48,9,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 98,,349.22,53000000,9,20,3-105-13/49,10,นายสิทธิธรรม เรืองจรุงพงศ์ ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ โฉนดที่ดินเลขที่ 101,,371,120000000,10,40,3-105-13/60,11,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10120,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
พระราม2,เลขที่ 547,,1053,78000000,11,8,3-105-14/59,12,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,0 2452 2824,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 518/29,รามคำแหง 39(เทพลีลา1),815,16500000,12,14,3-105-20/59,13,บริษัท จ.ทวีโชค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29348025,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
,เลขที่ 117,,375,31600000,13,8,3-105-20/60,14,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10270,สายไหม,สายไหม ,กรุงเทพมหานคร,7
เอกชัย,เลขที่ 88/71-72,กำนันแม้น,585,5000000,14,14,3-105-22/59,15,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
เสรีไทย,เลขที่ 60/50,,89,1900000,15,7,3-105-3/60,16,บริษัท คูซุ่นฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,3
,เลขที่ 6/3,,138,2300000,16,6,3-105-3/62,17,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,085-3215626,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
เฉลิมพระเกียรติ ,เลขที่ 30/12,เฉลิมพระเกียรติ 30,52.5,7000000,17,7,3-105-30/60,18,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,11
บางขุนเทียน-ชายทะเล,เลขที่ 12/239,เทียนทะเล 24,129,8500000,18,7,3-105-32/54,19,ศรีนคร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
พระรามที่ 2,เลขที่ 549,,91,29000000,19,6,3-105-39/59,20,บริษัท เอ็มบอส กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-0489980,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 249,,954,115000000,20,32,3-105-4/60,21,บริษัท เจดีย์ไทย สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
