พื้นที่อาคาร(ตร.ม.),ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,ลำดับ,หญิง,ชาย,จังหวัด,หมู่,ค่าอาคาร,เลขที่,เงินทุนหมุนเวียน,เลขทะเบียนโรงงาน,โทรศัพท์,ค่าเครื่องจักร,แรงม้ารวม,ค่าที่ดิน,ตำบล,เงินลงทุนรวม,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
2520,ปรับปรุงคุณภาพข้าวสารและแบ่งบรรจุ,21,เมืองระยอง,28240,209,ทางหลวงหมายเลข 36,,32,4975,15,17,ระยอง,,5000000,-,1000000,จ3-2(9)-1/38รย,038-612916,5500000,341.7,5000,ทับมา,11505000,1,20200000000000,ห้างหุ้นส่วนจำกัด ร่วมกำชัย,ห้างหุ้นส่วนจำกัด ร่วมกำชัย,3,38,21000,31200
0,โม่ บด ย่อยหิน,21,เมืองระยอง,23961,301,สุขุมวิท,คีรี,0,4976,0,0,ระยอง,1,2000000,-,2000000,ธ3-3(1)-1/40รย,,15000000,1305.5,20000000,ห้วยโป่ง,39000000,2,30200000000000,บริษัท ย่อย ไอ.ที.ดี. จำกัด (มหาชน),บริษัท ย่อย ไอ.ที.ดี. จำกัด (มหาชน),3,40,21150,0
0,โม่ บด หรือย่อยหิน ,21,เมืองระยอง,23961,301,สุขุมวิท,คีรี,10,4977,10,0,ระยอง,4,0,,120000000,ธ3-3(1)-1/42รย ,038-882867-70 ,0,3571,0,ห้วยโป่ง,120000000,3,30200000000000,โรงโม่หินซอยคีรี,โรงโม่หินซอยคีรี,3,42,21150,0
0,ขุด ร่อน และคัดขนาดทราย,21,เมืองระยอง,8103,302,,,4,4978,0,4,ระยอง,,0,"น.ส.3 ก เลขที่ 2133,2134",1000000,จ3-3(2)-44/57รย,,4000000,396,15000000,ห้วยโป่ง,20000000,4,20200000000000,บริษัท แสนเจริญทรัพย์ จำกัด,บริษัท แสนเจริญทรัพย์ จำกัด,3,57,21150,76800
0,"ขุดลอกกรวด, ทราย, ดิน,ล้างทราย",21,เมืองระยอง,8103,302,,,9,4979,3,6,ระยอง,1,0,น.ส.3 เลขที่ 506,1000000,จ3-3(2)-204/58รย,,1000000,470,16000000,ห้วยโป่ง,18000000,5,20200000000000,,นางกาญจนา ตุลยาพิศิษฐ์ชัย,3,58,21150,68688
0,ขุดทราย ล้างทราย,21,เมืองระยอง,8103,302,,,5,4980,0,5,ระยอง,1,100000,น.ส.3 เลขที่ 385,13100000,จ3-3(2)-59/54รย,,2000000,480,10000000,ห้วยโป่ง,25200000,6,20200000000000,วังทรายห้วยโป่ง,วังทรายห้วยโป่ง,3,54,21150,86400
0,ขุด ร่อน และคัดขนาดทราย,21,เมืองระยอง,8103,302,,,6,4981,0,6,ระยอง,,0,"นส.3 เลขที่ 521, 561",30000000,จ3-3(2)-92/58รย,038-467333,5000000,420,45000000,ห้วยโป่ง,80000000,7,20200000000000,บริษัท เค พี ยู จำกัด,บริษัท เค พี ยู จำกัด,3,58,21150,160000
0,"ขุดลอกกรวด, ทราย, ดิน, ล้างทราย",21,เมืองระยอง,8103,302,,,9,4982,3,6,ระยอง,1,0,น.ส.3 เล่ม 35 หน้า 14 สารบบ หมู่ 1 หน้า 530,1000000,จ3-3(2)-205/58รย,,1000000,470,16000000,ห้วยโป่ง,18000000,8,20200000000000,,นายสิขริน ฟ้าประทานชัย,3,58,21150,80000
319396,ขุดและดูดทรายในที่ดินกรรมสิทธิ์,21,เมืองระยอง,8103,302,,,10,4983,0,10,ระยอง,1,0,"น.ส.3 เลขที่ 526,514,527,540",5000000,3-3(2)-66/58รย,,10000000,1820,60000000,ห้วยโป่ง,75000000,9,10200000000000,บริษัท หมอกมุงเมือง จำกัด,บริษัท หมอกมุงเมือง จำกัด,3,58,21150,319396
0,ขุดตักดิน ทราย ร่อน คัดกรวด และล้างทราย,21,เมืองระยอง,8103,302,,,5,4984,0,5,ระยอง,,0,น.ส.3ก. เลขที่ 2651 1210 1209,100000,จ3-3(2)-100/64รย,,2000000,490,0,ห้วยโป่ง,2100000,10,20200000000000,-,นายเอี่ยม รัชพงษ์ไทย,3,64,21150,212012
0,ขุดดินเพื่อใช้ในการก่อสร้าง,21,เมืองระยอง,8103,302,,,5,4985,0,5,ระยอง,7,0,"โฉนดที่ดินเลขที่ 164099, 164100, 164097, 164101",1000000,จ3-3(2)-228/58รย,,3000000,400,4000000,แกลง,8000000,11,20200000000000,,นายสำเภา งานเสงี่ยม,3,58,21160,67600
0,"ขุดลอกกรวด, ทราย, ดิน, ล้างทราย",21,เมืองระยอง,8103,302,,,9,4986,3,6,ระยอง,1,0,น.ส.3 เลขที่ 386,1000000,จ3-3(2)-206/58รย,,1000000,470,16000000,ห้วยโป่ง,18000000,12,20200000000000,,นายสิขริน ฟ้าประทานชัย,3,58,21150,84908
0,ขุด ร่อน และคัดขนาดทราย,21,เมืองระยอง,8103,302,,,6,4987,0,6,ระยอง,,0,"นส.3 เลขที่ 572, 573",30000000,จ3-3(2)-93/58รย,038-467333,5000000,420,45000000,ห้วยโป่ง,80000000,13,20200000000000,บริษัท เค พี ยู จำกัด,บริษัท เค พี ยู จำกัด,3,58,21150,124920
0,ขุดดิน,21,เมืองระยอง,8103,302,,,5,4988,5,0,ระยอง,1,0,โฉนดที่ดินเลขที่ 124471,100000,จ3-3(2)-202/61รย,,1000000,238,0,แกลง,1100000,14,20200000000000,นายต่อศักดิ์ เทียมสวัสดิ์,นายต่อศักดิ์ เทียมสวัสดิ์,3,61,21160,26552
0,"ขุดลอกกรวด, ทราย, ดิน , ล้างทราย",21,เมืองระยอง,8103,302,,,9,4989,3,6,ระยอง,1,0,น.ส.3 เลขที่ 697,1000000,จ3-3(2)-201/58รย,,1000000,470,16000000,ห้วยโป่ง,18000000,15,20200000000000,กาญจนา ตุลยาพิศิษฐ์ชัย,กาญจนา ตุลยาพิศิษฐ์ชัย,3,58,21150,19872
0,ขุดดิน,21,เมืองระยอง,8103,302,,,5,4990,0,5,ระยอง,,0,โฉนดที่ดินเลขที่ 207317,1000000,จ3-3(2)-187/65รย,,5000000,305.6,0,บ้านแลง,6000000,16,20200000000000,นายบรรณวิชญ์ วงษ์สวัสดิ์,นายบรรณวิชญ์ วงษ์สวัสดิ์,3,65,21000,18370
0,ขุดดินเพื่อใช้ในการก่อสร้าง,21,เมืองระยอง,8103,302,,,4,4991,0,4,ระยอง,9,0,โฉนดที่ดินเลขที่ 16815,1000000,จ3-3(2)-195/59รย,,3000000,400,4000000,ตะพง,8000000,17,20200000000000,,นางสาวเย็นใจ วงศ์สวัสดิ์,3,59,21000,107069
0,ขุด ตัก ล้าง และคัดขนาดทรายบก,21,เมืองระยอง,8103,302,,,8,4992,0,8,ระยอง,,0,น.ส.3 เล่ม 38 หน้า 132 สารบบ หน้า 708,1000000,จ3-3(2)-150/59รย,089-8421520,5000000,470,0,ห้วยโป่ง,6000000,18,20200000000000,ห้างหุ้นส่วนจำกัด ชวาลัย คอนสตรัคชั่น,ห้างหุ้นส่วนจำกัด ชวาลัย คอนสตรัคชั่น,3,59,21150,41768
0,ขุดตัก และคัดขนาดทรายบก,21,เมืองระยอง,8103,302,,,3,4993,0,3,ระยอง,,0,น.ส.3 เลขที่ 529,2000000,จ3-3(2)-213/60รย,,7000000,486,12000000,ห้วยโป่ง,21000000,19,20200000000000,บริษัท โฮมฟอร์ยูเทรดดิ้ง จำกัด,บริษัท โฮมฟอร์ยูเทรดดิ้ง จำกัด,3,60,21150,76008
0,"ขุดลอกกรวด, ทราย, ดิน, ล้างทราย",21,เมืองระยอง,8103,302,,,6,4994,0,6,ระยอง,5,0,น.ส.3 เล่ม 3 หน้า 104,1000000,จ3-3(2)-204/59รย,,1000000,470,10000000,กะเฉด,12000000,20,20200000000000,นายวิทวัส แซ่ฮู้,นายวิทวัส แซ่ฮู้,3,59,21100,0
0,ทำขุดดินเพื่อจำหน่าย,21,เมืองระยอง,8103,302,,,2,4995,0,2,ระยอง,,0,โฉนดที่ดินเลขที่81910 81911,500000,จ3-3(2)-275/61รย,,3000000,150,5000000,มาบตาพุด,8500000,21,20200000000000,-,นางนงนุช แจ่มแจ้ง,3,61,21150,20800
0,"ขุดลอกกรวด, ทราย, ดิน, ล้างทราย",21,เมืองระยอง,8103,302,,,9,4996,3,6,ระยอง,1,0,น.ส.3 เลขที่ 507,1000000,จ3-3(2)-202/58รย,,1000000,470,16000000,ห้วยโป่ง,18000000,22,20200000000000,กาญจนา ตุลยาพิศิษฐ์ชัย,กาญจนา ตุลยาพิศิษฐ์ชัย,3,58,21150,27876
0,ขุดดิน,21,เมืองระยอง,8103,302,,,3,4997,0,3,ระยอง,2,0,โฉนดที่ดินเลขที่ 201615,1000000,จ3-3(2)-64/66รย,,10000000,300,9000000,สำนักทอง,20000000,23,20200000000000,นางสาวศุภกัญญา พัฒนะพิชัย,นางสาวศุภกัญญา พัฒนะพิชัย,3,66,21100,29112
756,"ตากทราย, คัดขนาดทราย",21,เมืองระยอง,8103,303,,,4,4998,0,4,ระยอง,5,4800000,37/18,2000000,จ3-3(3)-17/59รย,081-5873448,400000,300,2500000,แกลง,9700000,24,20200000000000,บริษัท ทีดับบลิว แซนด์ จำกัด,บริษัท ทีดับบลิว แซนด์ จำกัด,3,59,21160,0
0,ขุดลอกกรวด ทราย ดิน ล้างทราย,21,เมืองระยอง,8103,303,,,9,4999,0,9,ระยอง,1,0,"514_,520,526,527,540",1000000,จ3-3(3)-15/50รย,,1000000,470,0,ห้วยโป่ง,2000000,25,20200000000000,บริษัท ภูสินธารา จำกัด,บริษัท ภูสินธารา จำกัด,3,50,21150,640000
0,ร่อน คัดขนาดทราย และล้างทราย,21,เมืองระยอง,8103,303,,,5,5000,0,5,ระยอง,6,0,โฉนดที่ดินเลขที่ 80984,1000000,จ3-3(3)-15/65รย,,1000000,490,5000000,เพ,7000000,26,20200000000000,นายต่อศักดิ์ เทียมสวัสดิ์,นายต่อศักดิ์ เทียมสวัสดิ์,3,65,21160,10853
1650,ล้างและคัดขนาดทรายบก,21,เมืองระยอง,8103,303,,,8,5001,0,8,ระยอง,4,3000000,184/14,2000000,จ3-3(3)-16/58รย,038-684163,6000000,485,18000000,แกลง,29000000,27,20200000000000,,นายสุรชัย อิทธิฤทธิชัย,3,58,21160,38784
90966,ล้างทราย,21,เมืองระยอง,8103,303,,,4,5002,0,4,ระยอง,3,0,"โฉนดที่ดินเลขที่ 15184,4404,72053",500000,จ3-3(3)-10/60รย,,2500000,460,0,แกลง,3000000,28,20200000000000,นางสาวชญาภา สุขสวัสดิ์,นางสาวชญาภา สุขสวัสดิ์,3,60,21160,0
1296,ตากและคัดขนาดทรายบก,21,เมืองระยอง,8103,303,,,8,5003,0,8,ระยอง,4,4000000,96/1,2000000,จ3-3(3)-17/58รย,038-684163,5000000,388,13000000,แกลง,24000000,29,20200000000000,,นางพิราวัลย์ เจริญกุลวัฒน์,3,58,21160,21114
12800,ดูดทรายในที่ดินกรรมสิทธิ์,21,เมืองระยอง,8103,304,-,-,2,5004,0,2,ระยอง,3,1000,"โฉนดเลขที่ 66493,66494",100000,จ3-3(4)-1/47รย,089-8959611,1200000,270,500000,กะเฉด,1801000,30,20200000000000,-,นายทศพร สาครพานิช,3,47,21100,12800
0,บดย่อยเนื้อหมูและบรรจุในภาชนะที่ผนึกอากาศเข้าไม่ได้,21,เมืองระยอง,10111,401,สมุทรเจดีย์,,15,5005,0,15,ระยอง,,3000000,29-เม.ย.,7000000,จ3-4(1)-18/65รย,,2000000,194.5,0,ปากน้ำ,12000000,31,20200000000000,ห้างหุ้นส่วนจำกัด หวาน หวาน ฟู้ด,ห้างหุ้นส่วนจำกัด หวาน หวาน ฟู้ด,3,65,21000,0
504,ฆ่าสัตว์ เช่น ไก่,21,เมืองระยอง,10111,401,อดุลย์ธรรมประพาส,,10,5006,2,8,ระยอง,,1500000,41/1,150000,จ3-4(1)-1/41รย,038-860351,700000,178.5,7000000,เชิงเนิน,9350000,32,20200000000000,,นางสาวสิรินันท์ ชวุฒิโท,3,41,21000,2278
697,ฆ่าและชำแหละสัตว์ปีก,21,เมืองระยอง,10111,401,,,15,5007,5,10,ระยอง,6,2000000,78/5,1000000,จ3-4(1)-24/54รย,081-5770410,1000000,86.4,3000000,ทับมา,7000000,33,20200000000000,บุญยืนไก่สด,บุญยืนไก่สด,3,54,21000,4387
390,การผลิตและขายลูกชิ้นและอาหารทุกประเภททุกชนิด,21,เมืองระยอง,10132,403,มาบยา,มาบยา 2,4,5008,2,2,ระยอง,,1700000,พ.ย.-80,100000,จ3-4(3)-12/65รย,,1500000,95.23,1600000,มาบตาพุด,4900000,34,20200000000000,โรงงานลูกชิ้นหมูคุณหญิงเนื้อคุณนัย,โรงงานลูกชิ้นหมูคุณหญิงเนื้อคุณนัย,3,65,21150,964
523,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อหมู และสัตว์น้ำ,21,เมืองระยอง,10139,403,,,31,5009,16,15,ระยอง,4,5000000,29-ม.ค.,1000000,จ3-4(3)-26/61รย,,1000000,190.8,5000000,ทับมา,12000000,35,20200000000000,บริษัท เอส อีส สควิด จำกัด,บริษัท เอส อีส สควิด จำกัด,3,61,21000,4096
320,ผลิตนมพาสเจอร์ไรส์,21,เมืองระยอง,10501,501,,,28,5010,8,20,ระยอง,5,2000000,32/3,10000000,จ3-5(1)-23/63รย,,4000000,179.05,700000,นาตาขวัญ,16700000,36,20200000000000,บริษัท พาชื่น จำกัด,บริษัท พาชื่น จำกัด,3,63,21000,5405
4200,ผลิตปลาทูน่ากระป๋องและป่นเศษปลาอบแห้ง และผลิตสัตส์น้ำในซอสมะเขือเทศ/ซอสพริก และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,21,เมืองระยอง,10222,601,-,-,505,5011,450,55,ระยอง,3,74237527,99,26561841,3-6(1)-1/46รย,,36159400,10042.5,15625000,สำนักทอง,152583768,37,10200000000000,บริษัท บี.พี.เอส.อินเตอร์เทรด (1995) จำกัด,บริษัท บี.พี.เอส.อินเตอร์เทรด (1995) จำกัด,3,46,21100,36800
6482,ทำผลิตภัณฑ์อาหารทะเลแช่แข็ง,21,เมืองระยอง,10291,602,สุขุมวิท,,346,5012,220,126,ระยอง,2,0,151/3,190000000,ศ3-6(2)-3/33รย,038 026308,15480000,4949.7,0,แกลง,205480000,38,210000000000,บริษัท ยี่หนินอาหารแช่แข็ง จำกัด,บริษัท ยี่หนินอาหารแช่แข็ง จำกัด,3,33,21160,32800
928,ทำปลาตากแห้ง,21,เมืองระยอง,10291,602,บ้านก้นอ่าว-บ้านมาบข่า,พรนิมิตร,18,5013,16,2,ระยอง,1,200000,185/4,300000,จ3-6(2)-1/41รย,038-653171,300000,91,0,เพ,800000,39,20200000000000,บริษัท มารีน ฟายน์ ฟูดส์ จำกัด,บริษัท มารีน ฟายน์ ฟูดส์ จำกัด,3,41,21160,3200
333,แมงกะพรุนดองเกลือ,21,เมืองระยอง,10299,602,อารีราษฎร์,,80,5014,39,41,ระยอง,,2588705,74/1,50991173.44,จ3-6(2)-16/59รย,038-940388,5992089.07,272.5,0,ปากน้ำ,59571967.51,40,20200000000000,บริษัท ลูกยอด ซีโปรดักส์ จำกัด,บริษัท ลูกยอด ซีโปรดักส์ จำกัด,3,59,21000,1300
472,ผลิตอาหารทะเลแห้ง,21,เมืองระยอง,10291,602,-,-,50,5015,30,20,ระยอง,4,4000000,132/2,3000000,จ3-6(2)-2/50รย,081 4969481,3000000,163.9,5000000,แกลง,15000000,41,20200000000000,บริษัท เทคนิคฟู้ค มารีนโปรดักส์ จำกัด,บริษัท เทคนิคฟู้ค มารีนโปรดักส์ จำกัด,3,50,21160,5706
0,ทำปลาหมึกและปลาอบแห้ง,21,เมืองระยอง,10291,602,สุขุมวิท,ธรรมสถิต,0,5016,0,0,ระยอง,7,0,,0,จ3-6(2)-1/46รย,,0,54,0,แกลง,0,42,20200000000000,บริษัท บ้านเพ เอ็นเตอร์ไพรส์ จำกัด,บริษัท บ้านเพ เอ็นเตอร์ไพรส์ จำกัด,3,46,21160,0
1200,"ทำอาหารทะเลแห้งแปรรูป, ผลไม้อบแห้งแปรรูปและน้ำพริก",21,เมืองระยอง,10291,602,สุขุมวิท,วัดเขายายชุม,45,5017,39,6,ระยอง,1,6398810,9,10000000,จ3-6(2)-3/61รย,038-914825,946425,117.3,1715200,แกลง,19060435,43,20200000000000,บริษัท เอส แอนด์ ซี สแน็ค จำกัด,บริษัท เอส แอนด์ ซี สแน็ค จำกัด,3,61,21160,7488
0,ทำปลาหมึกแห้งบรรจุหีบห่อ,21,เมืองระยอง,10291,602,สุขุมวิท,ศาลาสังกะสี,20,5018,15,5,ระยอง,5,300000,78/1,1000000,จ3-6(2)-1/40รย,038-651700,1000000,105.63,5000000,เพ,7300000,44,20200000000000,บริษัท ไอนอส จำกัด,บริษัท ไอนอส จำกัด,3,40,21160,0
2400,ล้าง ชำแหละ แกะ สัตว์น้ำ,21,เมืองระยอง,10212,605,อดุลย์ธรรมประภาส,-,242,5019,178,64,ระยอง,-,8500000,008/15,20000000,จ3-6(5)-1/36รย,038-614545-8,4000000,30,10000000,ปากน้ำ,42500000,45,20200000000000,ห้องเย็นระยอง,ห้องเย็นระยอง,3,36,21000,8000
0,ผลิตอาหารทะเลแช่แข็ง,21,เมืองระยอง,10499,702,-,-,50,5020,20,30,ระยอง,3,1000000,19-มิ.ย.,1000000,จ3-7(2)-1/47รย,,1500000,78,10000000,เพ,13500000,46,20200000000000,บริษัท ระยองโฟรเซิน ฟู๊ด จำกัด,บริษัท ระยองโฟรเซิน ฟู๊ด จำกัด,3,47,21160,
0,ผลิตน้ำมันเชื้อเพลิงจากน้ำมันพืช เช่น ไบโอดีเซล,21,เมืองระยอง,10491,704,,,34,5021,7,27,ระยอง,,0,99,20000000,จ3-7(4)-2/51รย,,35000000,481,0,ห้วยโป่ง,55000000,47,20200000000000,บริษัท ฉัตรมงคลพืชผล จำกัด,บริษัท ฉัตรมงคลพืชผล จำกัด,3,51,21150,0
4448,ทำผลไม้กวนและทำผลไม้อบแห้ง,21,เมืองระยอง,10302,801,,,145,5022,130,15,ระยอง,4,15530005,20-ส.ค.,289852,3-8(1)-36/60รย,,37573619,849.98,1917700,นาตาขวัญ,55311176,48,10200000000000,บริษัท มอร์ ลัคกี้ อินเตอร์เนชั่นแนล จำกัด,บริษัท มอร์ ลัคกี้ อินเตอร์เนชั่นแนล จำกัด,3,60,21000,10416
4800,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,21,เมืองระยอง,10611,901,,,4,5023,0,4,ระยอง,3,500000,5-เม.ย.,500000,3-9(1)-1/32รย,038-9913768,1200000,100,300000,เชิงเนิน,2500000,49,10200000000000,ห้างหุ้นส่วนจำกัด ถาวรรัตน์,ห้างหุ้นส่วนจำกัด ถาวรรัตน์,3,32,21000,4800
360,ทำแป้งมันสำปะหลัง,21,เมืองระยอง,10612,902,สุขุมวิท,-,54,5024,10,44,ระยอง,3,300000,6-เม.ย.,3000000,3-9(2)-16/15รย,611459,8000000,2725.25,400000,กะเฉด,11700000,50,10200000000000,ทรงเจริญ,ทรงเจริญ,3,15,21100,12174
3200,ทำแป้งมันสำปะหลัง,21,เมืองระยอง,10612,902,ห้วยโป่ง-หนองบอน,,45,5025,20,25,ระยอง,,1000000,208,10000000,3-9(2)-1/26รย,681154,6838713,7956.25,5000000,ห้วยโป่ง,22838713,51,10200000000000,บริษัท เคอาร์อาร์ สตาร์ช จำกัด,บริษัท เคอาร์อาร์ สตาร์ช จำกัด,3,26,21150,80000
