มยส-เคยผ่านเมื่อ,มยส-ลูกจ้าง,มยส-วันที่ผ่าน,รง.สีขาว-ลูกจ้าง,รง.สีขาว-ระดับ,รง.สีขาว-เคยผ่านเมื่อ,รง.สีขาว-วันที่ผ่าน,อำเภอ,รง.สีขาว-เข้าร่วม/จัด,รง.สีขาว-ระดับ-2,จังหวัด,มยส-วันหมดอายุ,ชื่อบริษัท,ตำบล,ปีงบประมาณ,รง.สีขาว-เข้าส่งเสริม,มยส-เข้าร่วม/จัด,_id,มยส-เข้าส่งเสริม
,,,76,1,2019-10-12T00:00:00,2024-02-14T00:00:00,อำเภอเมืองสระบุรี,2024-01-02T00:00:00,3,จังหวัดสระบุรี,,บริษัทจำกัด เอก-ชัย ดิสทริบิวชั่นซิสเท็ม(สาขาสระบุรี),ตำบลปากเพรียว,2567,2023-11-10T00:00:00,,1,
,,,90,1,,2024-06-27T00:00:00,อำเภอแก่งคอย,2024-10-06T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด ไทยเปอร์อ๊อกไซด์,ตำบลตาลเดี่ยว,2567,2024-03-06T00:00:00,,2,
,,,85,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) (สำนักไก่กระทงสระบุรี),ตำบลตาลเดี่ยว,2567,2024-05-03T00:00:00,,3,
,,,179,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด เอ.วัน เวลดิ้ง (รับเหมาบจก.ปูนซีเมนต์ไทย),ตำบลบ้านป่า,2567,2024-06-03T00:00:00,,4,
,,,43,,2019-03-14T00:00:00,,อำเภอแก่งคอย,,1,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด คมสันต์ อุตสาหกิจ,ตำบลบ้านป่า,2567,2024-12-02T00:00:00,,5,
,,,45,,2020-07-17T00:00:00,,อำเภอแก่งคอย,,1,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด เพ่งทองปั้นการช่าง[ในบจก.ปูนซิเมนต์ไทย(แก่งคอย)],ตำบลบ้านป่า,2567,2024-09-02T00:00:00,,6,
,240,,,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,บริษัทจำกัด เอสซีจี รูฟฟิ่ง (โรงงานหนองแค) สาขา 4,ตำบลหนองปลาหมอ,2567,,,7,2024-05-22T00:00:00
,,,55,,,,อำเภอเฉลิมพระเกียรติ,,,จังหวัดสระบุรี,,บริษัทจำกัด สหศิลาเพิ่มพูล,ตำบลหน้าพระลาน,2567,2024-03-07T00:00:00,,8,
,,,57,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด คมสันต์อุตสาหกิจ,ตำบลบ้านป่า,2567,2024-02-13T00:00:00,,9,
,,,38,,2016-07-07T00:00:00,,อำเภอเมืองสระบุรี,,3,จังหวัดสระบุรี,,บริษัทจำกัด ยูไนเต็ด ไร้ส์มิล,ตำบลหนองโน,2567,2024-05-01T00:00:00,,10,
,,,55,,,,อำเภอเฉลิมพระเกียรติ,,,จังหวัดสระบุรี,,บริษัทจำกัด ศิลาทรายกรีต,ตำบลหน้าพระลาน,2567,2024-03-07T00:00:00,,11,
,,,60,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด โตโยต้า ลีสซิ่ง (ประเทศไทย),ตำบลปากเพรียว,2567,2024-09-02T00:00:00,,12,
,157,2024-06-17T00:00:00,,,2023-02-17T00:00:00,,อำเภอเมืองสระบุรี,,1,จังหวัดสระบุรี,2027-06-16T00:00:00,รัฐวิสาหกิจ การประปาส่วนภูมิภาค เขต 2,ตำบลตลิ่งชัน,2567,,2024-05-16T00:00:00,13,2024-01-05T00:00:00
,,,34,1,,2024-02-14T00:00:00,อำเภอมวกเหล็ก,2024-01-02T00:00:00,,จังหวัดสระบุรี,,รัฐวิสาหกิจ การประปาส่วนภูมิภาค สาขามวกเหล็ก,ตำบลมวกเหล็ก,2567,2024-01-19T00:00:00,,14,
,,,77,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด แปซิฟิคไพโร,ตำบลห้วยแห้ง,2567,2023-10-18T00:00:00,,15,
,,,40,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เอส.เค.เอส.ดี.โอ,ตำบลปากเพรียว,2567,2023-12-15T00:00:00,,16,
,,,137,1,,2024-02-14T00:00:00,อำเภอหนองแค,2024-09-02T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด สยาม เอ็นจีเค เทคโนเซรา,ตำบลบัวลอย,2567,2024-01-18T00:00:00,,17,
,,,44,3,,2024-03-14T00:00:00,อำเภอเฉลิมพระเกียรติ,2024-03-13T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีวิลเอนจีเนียริง,ตำบลหน้าพระลาน,2567,2024-01-25T00:00:00,,18,
,,,82,,2015-09-06T00:00:00,,อำเภอแก่งคอย,,3,จังหวัดสระบุรี,,บริษัทจำกัด นอร์ธแลนด์ ดีเวลลอปเม้นต์,ตำบลตาลเดี่ยว,2567,2024-05-03T00:00:00,,19,
,,,80,,2019-11-12T00:00:00,,อำเภอพระพุทธบาท,,3,จังหวัดสระบุรี,,บริษัทจำกัด ที.พี.ซี. คอนกรีตอัดแรง,ตำบลห้วยป่าหวาย,2567,2023-09-10T00:00:00,,20,
,134,2024-06-17T00:00:00,,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,2027-06-16T00:00:00,บริษัทจำกัด ทีบีเอสซี  โลจิสติกส์,ตำบลไผ่ต่ำ,2567,,2024-09-05T00:00:00,21,2024-06-03T00:00:00
,,,45,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด ศักดิ์ทวี,ตำบลปากเพรียว,2567,2024-06-02T00:00:00,,22,
,,,76,,2018-05-04T00:00:00,,อำเภอบ้านหมอ,,3,จังหวัดสระบุรี,,บริษัทจำกัด อีโค่ แพลนท์ เซอร์วิสเซส,ตำบลบ้านครัว,2567,2023-05-10T00:00:00,,23,
,,,76,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด กระจกรุ่งเพชร,ตำบลตลิ่งชัน,2567,2023-11-10T00:00:00,,24,
,,,87,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด สี่แสงการโยธา(1979),ตำบลตาลเดี่ยว,2567,2024-06-03T00:00:00,,25,
,,,45,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) อิ ออน ธนสินทรัพย์(ไทยแลนด์),ตำบลปากเพรียว,2567,2024-09-02T00:00:00,,26,
,,,185,,,,อำเภอเสาไห้,2024-03-18T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด มนต์ทรานสปอร์ต,ตำบลสวนดอกไม้,2567,2024-03-15T00:00:00,,27,
,,,44,,2016-01-02T00:00:00,,อำเภอแก่งคอย,,2,จังหวัดสระบุรี,,บริษัทจำกัด สายพานไทย,ตำบลบ้านป่า,2567,2024-07-02T00:00:00,,28,
,,,64,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เกียรติวณิช,ตำบลโคกสว่าง,2567,2024-04-01T00:00:00,,29,
,,,46,,,,อำเภอพระพุทธบาท,,,จังหวัดสระบุรี,,บริษัทจำกัด ศรีพันธุ์พืชผล 2000,ตำบลธารเกษม,2567,2024-12-01T00:00:00,,30,
,,,76,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด วาณี ฟู๊ด โปรดักส์ (โดยนายประสิทธิ์ ศรีเรือง),ตำบลตลิ่งชัน,2567,2023-10-10T00:00:00,,31,
,,,44,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด ยัม เรสเทอรองตส์ อินเตอน์เนชั่นแนล (ประเทศไทย),ตำบลปากเพรียว,2567,2024-07-02T00:00:00,,32,
,,,46,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,บริษัทจำกัด แก้วเกรียงไกรเซอร์วิส(รับเหมาในบมจ.เอสซีจี เซรามิกส์) 33/1 หมู่ 2,ตำบลโคกแย้,2567,2024-09-02T00:00:00,,33,
,,,409,,,,อำเภอหนองแค,,,จังหวัดสระบุรี,,บริษัทจำกัด ริเวอร์โปร์ พัลพ แอนด์ เพเพอร์,ตำบลบัวลอย,2567,2024-06-28T00:00:00,,34,
,,,48,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เมืองไทย ลิสซิ่ง(สาขาสระบุรี),ตำบลปากเพรียว,2567,2024-07-02T00:00:00,,35,
,,,77,,,,อำเภอมวกเหล็ก,,,จังหวัดสระบุรี,,บริษัทจำกัด อัลฟาเมตริคส์,ตำบลมิตรภาพ,2567,2023-05-10T00:00:00,,36,
,,,46,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด ผดุงกิจการช่าง(2004) [รับเหมาใน บจก.ปูนซีเมนต์ไทยแก่งคอยฯ]   aum0806245636@gmail.com,ตำบลบ้านป่า,2567,2024-09-02T00:00:00,,37,
,,,58,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด พี.ซี.เอ็น การช่าง [รับเหมาใน บจก.ปูนซิเมนต์ไทย(แก่งคอย)],ตำบลบ้านป่า,2567,2024-08-02T00:00:00,,38,
,,,47,,,,อำเภอเมืองสระบุรี,,,จังหวัดสระบุรี,,บริษัทจำกัด เอส.เค.เอ้าท์ซอร์สซิ่ง แมนเนจเม้นท์ กรุ๊ป,ตำบลปากเพรียว,2567,2024-07-02T00:00:00,,39,
,,,43,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,ห้างหุ้นส่วนจำกัด สงกรานต์ รวมช่าง สระบุรี 2002(ประจำบจก.ปูนซีเมนต์นครหลวง),ตำบลบ้านป่า,2567,2024-07-02T00:00:00,,40,
,,,44,,2016-08-17T00:00:00,,อำเภอเมืองสระบุรี,2024-10-04T00:00:00,3,จังหวัดสระบุรี,,บริษัทจำกัด ไร้ส์แลนด์ฟูดส์,ตำบลหนองโน,2567,2024-03-04T00:00:00,,41,
,,,41,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด สุมนยาสระบุรี(2001)ขนส่ง,ตำบลตาลเดี่ยว,2567,2024-02-13T00:00:00,,42,
,,,44,1,,2024-02-09T00:00:00,อำเภอวังม่วง,2024-08-22T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) ฟาร์มสุกรแสลงพัน,ตำบลแสลงพัน,2567,2024-05-08T00:00:00,,43,
,,,79,,,,อำเภอวังม่วง,,,จังหวัดสระบุรี,,บริษัทจำกัด ฟาร์มสูงเนิน (ฟาร์มหินซ้อน),ตำบลแสลงพัน,2567,2023-06-10T00:00:00,,44,
,,,83,,,,อำเภอแก่งคอย,,,จังหวัดสระบุรี,,บริษัทจำกัด เคมีแมน,ตำบลทับกวาง,2567,2024-04-03T00:00:00,,45,
,,,42,1,,2025-06-17T00:00:00,อำเภอแก่งคอย,2025-03-06T00:00:00,,จังหวัดสระบุรี,,บริษัทจำกัด (มหาชน) ซีพีเอฟ (ประเทศไทย) (ฟาร์มเตาปูน),ตำบลเตาปูน,2567,2024-01-02T00:00:00,,46,
