ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
รามคำแหง,เลขที่ 348,,270.68,20000000,1,3-101-1/38,1,บริษัท โอสถสภา จำกัด (มหาชน),3511123-24,"บำบัดน้ำทิ้งรวมได้4,800ลูกบาศก์เมตร/วัน",5,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 48,-,356,43100000,2,3-101-1/40,2,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),989-4050-62,"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",10,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,9
เชื่อมสัมพันธ์,เลขที่ 67/16,-,109.4,0,3,3-101-1/45,3,บริษัท มหาจักรออโตพาร์ท จำกัด,02-543-1212,ปรับคุณภาพน้ำเสียรวม,6,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
พระรามที่ 2,เลขที่ 68/39,แสมดำ 17,862.2,127500000,4,3-101-1/47,4,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),,ปรับคุณภาพของเสียรวม,23,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
พระรามที่ 2,เลขที่ 68/39,วัดแสมดำ,439,5000000,5,3-101-2/38,5,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,4153728,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),82,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
นิมิตใหม่,เลขที่ 9,,83.05,8035000,6,3-101-4/41,6,บริษัท อาหารยอดคุณ จำกัด,02-181-0036-45,บำบัดน้ำเสียจากกระบวนการผลิตรวมทั้งกำจัดของเสียอื่นๆ ของบริษัทอาหารยอดคุณจำกัด และบริษัทยูนิแชมป์จำกัด,1,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
,เลขที่ 11,เอกชัย 114 (อมรพฤกษ์),191,5500000,7,3-105-107/59,7,บริษัท เจดีย์ไทย เปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 286,,167.25,6000000,8,3-105-11/59,8,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,818031474,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,25,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,
-,เลขที่ 51,แสนสบาย,130,13200000,9,3-105-119/48,9,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,20,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 98,,349.22,53000000,10,3-105-13/49,10,นายสิทธิธรรม เรืองจรุงพงศ์ ,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,20,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
