_id,ก.พ.,เม.ย.,พ.ค.,มิ.ย.,พ.ย.,ม.ค.,ต.ค.,รวม,ก.ย.,ธ.ค.,ประเภทรถ,ส.ค.,ก.ค.,มี.ค.
1,72695,81255,88260,103200,78540,93684,80335,1011031,81365,79361,    รวมทั้งหมด,80745,82680,88911
2,68511,77062,84260,99926,74681,87692,76548,963527,78064,75988,ก. รวมรถตามกฎหมายว่าด้วยรถยนตร์และล้อเลื่อน,77454,78620,84721
3,5458,5878,6378,6503,5760,8893,5949,74259,6995,5200,    รย.1  รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6435,4958,5852
4,4061,3822,3996,3855,2393,5137,3160,43143,3502,2654,    รย.2  รถยนต์นั่งส่วนบุคคลเกิน 7 คน ,2694,3270,4599
5,11081,12764,12944,12625,10552,14997,10995,142757,11054,11066,    รย.3  รถยนต์บรรทุกส่วนบุคคล,10225,10999,13455
6,4,7,8,14,18,9,58,163,11,5,    รย.4  รถยนต์สามล้อส่วนบุคคล,11,16,2
7,,,,1,,,,1,,,    รย.5  รถยนต์รับจ้างระหว่างจังหวัด,,,
8,1,,,,,,,1,,,    รย.6  รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,,,
9,,,,,,,,0,,,    รย.7  รถยนต์สี่ล้อเล็กรับจ้าง,,,
10,,,,,,,2,2,,,    รย.8  รถยนต์รับจ้างสามล้อ,,,
11,,,,,,,,0,,,    รย.9  รถยนต์บริการธุรกิจ,,,
12,,,1,1,,3,1,7,,1,    รย.10 รถยนต์บริการทัศนาจร,,,
13,,,5,,9,,26,57,15,2,    รย.11 รถยนต์บริการให้เช่า,,,
14,46586,53941,60275,76165,55273,57880,55593,693241,55829,56170,    รย.12 รถจักรยานยนต์,57508,58234,59787
15,219,270,307,410,310,270,414,4089,360,398,    รย.13 รถแทรกเตอร์,349,354,428
16,590,10,4,11,15,8,17,881,103,12,    รย.14 รถบดถนน,77,13,21
17,509,370,331,341,347,495,333,4904,195,479,    รย.15 รถใช้งานเกษตรกรรม,155,772,577
18,2,,11,,4,,,22,,1,    รย.16 รถพ่วง,,4,
19,,,,,,,,0,,,    ล้อเลื่อน,,,
20,4184,4193,4000,3274,3859,5992,3787,47504,3301,3373,ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก,3291,4060,4190
21,463,412,376,418,731,514,643,6067,518,633,    รวมรถโดยสาร,502,456,401
22,289,264,229,275,490,302,417,4006,373,492,    แยกเป็น - ประจำทาง,355,263,257
23,129,116,92,99,195,165,148,1525,119,97,               - ไม่ประจำทาง,117,145,103
24,45,32,55,44,46,47,78,536,26,44,               - ส่วนบุคคล,30,48,41
25,3564,3640,3447,2647,2956,5258,2956,39264,2589,2581,    รวมรถบรรทุก,2620,3417,3589
26,333,413,397,243,398,509,370,4405,332,313,    แยกเป็น - ไม่ประจำทาง,295,467,335
27,3231,3227,3050,2404,2558,4749,2586,34859,2257,2268,               - ส่วนบุคคล,2325,2950,3254
28,157,141,177,209,172,220,188,2173,194,159,    โดยรถขนาดเล็ก,169,187,200
29,,,,,,,,,,,ฝ่ายสถิติการขนส่ง   กองวิชาการและวางแผน   กรมการขนส่งทางบก,,,
