_id,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน
1,ข3-42(1)-1/41รย,1,บริษัท ไออาร์พีซี จำกัด (มหาชน)
2,ข3-42(1)-2/41รย,2,บริษัท ไออาร์พีซี จำกัด (มหาชน)
3,ข3-42(1)-3/41รย,3,บริษัท ไออาร์พีซี จำกัด (มหาชน)
4,ข3-42(1)-4/41รย,4,บริษัท ไออาร์พีซี จำกัด (มหาชน)
5,ข3-42(1)-4/55รย,5,บริษัท ไออาร์พีซี จำกัด (มหาชน)
6,ข3-42(1)-9/62รย,6,บริษัท ไทย เคียววะ ไบโอเทคโนโลยีส์ จำกัด
7,ข3-44-1/25รย,7,บริษัท ไออาร์พีซี จำกัด (มหาชน)
8,ข3-44-1/34รย,8,บริษัท ไออาร์พีซี จำกัด (มหาชน)
9,ข3-44-1/59รย,9,บริษัท ไออาร์พีซี จำกัด (มหาชน)
10,ข3-44-2/59รย,10,บริษัท ไออาร์พีซี จำกัด (มหาชน)
11,ข3-44-4/59รย,11,บริษัท ไออาร์พีซี จำกัด (มหาชน)
12,ข3-48(2)-3/59รย,12,บริษัท ไออาร์พีซี จำกัด (มหาชน)
13,ข3-48(6)-1/45รย,13,บริษัท ไออาร์พีซี จำกัด (มหาชน)
14,ข3-49-1/41รย,14,บริษัท ไออาร์พีซี จำกัด (มหาชน)
15,ข3-49-1/43รย,15,บริษัท ไออาร์พีซี จำกัด (มหาชน)
16,ข3-49-1/58รย,16,บริษัท ไออาร์พีซี จำกัด (มหาชน)
17,ข3-49-2/41รย,17,บริษัท ไออาร์พีซี จำกัด (มหาชน)
18,ข3-50(4)-1/41รย,18,บริษัท ไออาร์พีซี จำกัด (มหาชน)
19,ข3-53(5)-55/51รย,19,บริษัท ไออาร์พีซี จำกัด (มหาชน) (CD1)
20,ข3-53(5)-56/59รย,20,บริษัท ไออาร์พีซี จำกัด (มหาชน)
21,ข3-53(5)-58/59รย,21,บริษัท ไออาร์พีซี จำกัด (มหาชน)
22,จ3-58(1)-21/57รย,22,บริษัท นครหลวงคอนกรีต จำกัด
23,จ3-58(1)-135/47รย,23,บริษัท นครหลวงคอนกรีต จำกัด
24,ข3-88-1/36รย,24,บริษัท ไออาร์พีซี จำกัด (มหาชน)
25,ข3-101-1/35รย,25,บริษัท ไออาร์พีซี จำกัด (มหาชน)
26,ข3-101-2/53รย,26,บริษัท ไออาร์พีซ๊ จำกัด (มหาชน)
27,ข3-42(1)-3/54รย,27,บริษัท อูเบะไฟน์ เคมิคอลล์ (เอเชีย) จำกัด
28,ข3-44-1/39รย,28,บริษัท อูเบะ เคมิคอลส์ (เอเซีย) จำกัด (มหาชน)
29,ข3-44-1/40รย,29,บริษัท อูเบะ เคมิคอลส์ (เอเชีย) จำกัด (มหาชน)
30,ข3-44-2/40รย,30,บริษัท ยางสังเคราะห์ไทย จำกัด
31,ข3-90-4/50รย,31,บริษัท ไออาร์พีซี จำกัด (มหาชน)
32,ข3-59-10/57รย,32,บริษัท โคเบลโก้ มิลล์คอน สตีล จำกัด
