พื้นที่อาคาร(ตร.ม.),ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,ลำดับ,หญิง,ชาย,จังหวัด,หมู่,ค่าอาคาร,เลขที่,เงินทุนหมุนเวียน,เลขทะเบียนโรงงาน,โทรศัพท์,ค่าเครื่องจักร,แรงม้ารวม,ค่าที่ดิน,ตำบล,เงินลงทุนรวม,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
13550,การเพาะเชื้อเห็ด,21,แกลง,1302,208,,,50,3610,25,25,ระยอง,5,14000000,91,2000000,จ3-2(8)-1/57รย,038-037657,9740000,498,4500000,เนินฆ้อ,30240000,1,20200000000000,บริษัท ฟาร์มเห็ดระยองแอนด์วีวีไบโอเทค จำกัด,บริษัท ฟาร์มเห็ดระยองแอนด์วีวีไบโอเทค จำกัด,3,57,21110,34422
0,โม่ บด หรือย่อยหิน,21,แกลง,23961,301,,,14,3611,4,10,ระยอง,4,8780000,112/3,10000000,ธ3-3(1)-1/51รย,,57870000,1115.5,9595575,กองดิน,86245575,2,30200000000000,บริษัท ศิลาแกลง จำกัด,บริษัท ศิลาแกลง จำกัด,3,51,22160,0
79416,"โม่ บด ย่อยหิน กำลังการผลิต 240,000 ตัน/ปี",21,แกลง,23961,301,สุขุมวิท, ,40,3612,10,30,ระยอง,1,0,-,40000000,3-3(1)-3/36รย, ,40000000,1330,0,กองดิน,80000000,3,10200000000000,บริษัท สหวิศวก่อสร้าง จำกัด,บริษัท สหวิศวก่อสร้าง จำกัด,3,36,22160,79416
0,โม่ บด หรือย่อยหิน,21,แกลง,23961,301,,,8,3613,0,8,ระยอง,1,6000000,,1000000,ธ3-3(1)-1/56รย,,1000000,692,3000000,กองดิน,11000000,4,30200000000000,นายสมจิตร ครองสติ,นายสมจิตร ครองสติ,3,56,22160,0
1162,โม่หิน,21,แกลง,23961,301,สุขุมวิท,วัดชากขุนวิเศษ,17,3614,0,17,ระยอง,3,0,9,200000,3-3(1)-2/24รย,,4000000,1192.5,100000,กองดิน,4300000,5,10200000000000,บริษัท นันทศิลา จำกัด,บริษัท นันทศิลา จำกัด,3,24,22160,16000
10000,โม่ บดและย่อยหิน,21,แกลง,23961,301,,,21,3615,0,21,ระยอง,,5000000,7,5000000,ธ3-3(1)-4/58รย,,58000000,1450,2000000,กองดิน,70000000,6,30200000000000,บริษัท ป.ศิริภัณฑ์ศิลา จำกัด,บริษัท ป.ศิริภัณฑ์ศิลา จำกัด,3,58,22160,17600
13120,โม่ บด หรือย่อยหิน,21,แกลง,23961,301,,,14,3616,4,10,ระยอง,4,3000000,112/3,10000000,ธ3-3(1)-9/58รย,,32000000,1094,3000000,กองดิน,48000000,7,30200000000000,บริษัท ศิลาแกลง จำกัด,บริษัท ศิลาแกลง จำกัด,3,58,22160,28175
400,โม่หิน,21,แกลง,23961,301,,,8,3617,1,7,ระยอง,1,800000,283/2,1000000,3-3(1)-1/32รย,038-671152,1700000,409.5,650000,กองดิน,4150000,8,10200000000000,ห้างหุ้นส่วนจำกัด นวไพศาลศิลา,ห้างหุ้นส่วนจำกัด นวไพศาลศิลา,3,32,22160,21600
810,โม่หิน,21,แกลง,23961,301,สุขุมวิท, ,24,3618,0,24,ระยอง,1,100000,160/2,500000,3-3(1)-2/17รย, ,1500000,556,200000,กองดิน,2300000,9,10200000000000,บริษัท สุขไพรวันศิลา จำกัด,บริษัท สุขไพรวันศิลา จำกัด,3,17,22160,1700
0,ขุดดินเพื่อใช้ในงานก่อสร้าง,21,แกลง,8103,302,,,10,3619,0,10,ระยอง,6,0,"โฉนดเลขที่ 81538, 65450, 65452, 65453, 65454, 14856, 14848",200000,จ3-3(2)-200/59รย,02-9762622-9,1000000,400,5000000,บ้านนา,6200000,10,20200000000000,บริษัท กรุงเทพ คอนกรีต (1989) จำกัด,บริษัท กรุงเทพ คอนกรีต (1989) จำกัด,3,59,21110,47592
60000,ขุด ร่อน และคัดขนาดทราย,21,แกลง,8103,302,,,10,3620,0,10,ระยอง,1,400000,โฉนดที่ดินเลขที่ 54924 เล่ม 550 หน้า 24 และโฉนดที่ดินเลขที่ 55315 เล่ม 554 หน้า 15,1000000,จ3-3(2)-14/57รย,087-1290-490,5000000,495,7000000,กระแสบน,13400000,11,20200000000000,ห้างหุ้นส่วนจำกัด ป.นครทรายทอง,ห้างหุ้นส่วนจำกัด ป.นครทรายทอง,3,57,21110,0
0,ขุดดิน ขุดทราย ล้างและคัดขนาดทรายบก,21,แกลง,8103,302,,,6,3621,0,6,ระยอง,5,0,โฉนดที่ดินเลขที่ 38044 เลขที่ดิน 19,2000000,จ3-3(2)-142/61รย,,4000000,495,8000000,กระแสบน,14000000,12,20200000000000,ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต,ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต,3,61,21110,34786
0,ขุดทรายและร่อนขนาดทราย,21,แกลง,8103,302,,,5,3622,0,5,ระยอง,2,0,โฉนดที่ดินเลขที่ 26982 26983 13345,500000,จ3-3(2)-121/62รย,,4000000,396,5000000,กระแสบน,9500000,13,20200000000000,บริษัท บุญเหลือทรายธรรมชาติ จำกัด,บริษัท บุญเหลือทรายธรรมชาติ จำกัด,3,62,21110,57497
0,ขุดและล้างทราย,21,แกลง,8103,302,,,5,3623,2,3,ระยอง,4,0,โฉนดที่ดินเลขที่ 29652,1000000,จ3-3(2)-313/49รย,,2000000,280,2000000,ทุ่งควายกิน,5000000,14,20200000000000,ส.อรุณรุ่ง,ส.อรุณรุ่ง,3,49,21110,32000
0,ขุดดิน,21,แกลง,8103,302,,,3,3624,0,3,ระยอง,8,0,โฉนดที่ดินเลขที่ 25659 เล่มที่ 257 หน้าที่ 59,500000,จ3-3(2)-69/60รย,,4000000,384,5000000,กระแสบน,9500000,15,20200000000000,นายบุญสืบ แกล้วกล้า,นายบุญสืบ แกล้วกล้า,3,60,21110,50420
0,ขุดดิน ขุดทราย ล้างและคัดขนาดทรายบก,21,แกลง,8103,302,,,6,3625,0,6,ระยอง,5,0,โฉนดที่ดินเลขที่ 26910 56404 56405 56406 56407,2000000,จ3-3(2)-143/61รย,,4000000,495,8000000,กระแสบน,14000000,16,20200000000000,ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต,ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต,3,61,21110,34656
0,ขุดดิน,21,แกลง,8103,302,,,5,3626,0,5,ระยอง,4,0,โฉนดที่ดินเลขที่ 39168 และ 39169,500000,จ3-3(2)-196/59รย,,4000000,320,5000000,ชากโดน,9500000,17,20200000000000,นายสุรเชษฐ์ สุนทรเวชพงษ์,นายสุรเชษฐ์ สุนทรเวชพงษ์,3,59,21110,27932
0,ขุดทรายในที่ดินกรรมสิทธิ์,21,แกลง,8103,302,,,8,3627,0,8,ระยอง,7,0,โฉนดที่ดินเลขที่ 72316,2000000,จ3-3(2)-3/55รย,,4000000,432,1400000,กระแสบน,7400000,18,20200000000000,ศ.ทรายทอง,ศ.ทรายทอง,3,55,21110,46250
0,ขุดทราย คัดร่อนขนาดทราย,21,แกลง,8103,302,,,4,3628,0,4,ระยอง,5,0,โฉนดที่ดินเลขที่ 82670 82671 82672,500000,จ3-3(2)-32/63รย,,4000000,490,6000000,กระแสบน,10500000,19,20200000000000,-,นางสาวเภา พงษ์เจริญชัย,3,63,21110,33234
0,ขุดดิน ขุดทราย ล้างและคัดขนาดทรายบก,21,แกลง,8103,302,,,6,3629,0,6,ระยอง,5,0,"โฉนดที่ดินเลขที่ 39140,56636,56637,59372และ 59390",2000000,จ3-3(2)-182/61รย,,5000000,495,13000000,กระแสบน,20000000,20,20200000000000,ยางงามทรายทอง,ยางงามทรายทอง,3,61,21110,67016
5820,ผลิตอาหารทะเลบรรจุกระป๋อง,21,แกลง,10222,601,ร.พ.ช.เนินอู่ทอง-ห้วงหิน,,347,3630,177,170,ระยอง,5,6000000,39,12000000,3-6(1)-1/40รย,,16000000,9440,2000000,บ้านนา,36000000,21,10200000000000,บริษัท เอ.อี.ซี. แคนนิ่ง จำกัด,บริษัท เอ.อี.ซี. แคนนิ่ง จำกัด,3,40,21110,101184
4825,แปรรูปอาหารทะเล และทำห้องเย็น,21,แกลง,10291,602,สุขุมวิท กม.277,,1560,3631,1343,217,ระยอง,1,70000000,200,141360000,ศ3-6(2)-1/34รย,038-669200-3,40000000,16712.88,8640000,คลองปูน,260000000,22,210000000000,บริษัท แกลง จำกัด,บริษัท แกลง จำกัด,3,34,21170,57600
1705,ทำปลากะตักตากแห้ง,21,แกลง,10291,602,,,20,3632,4,16,ระยอง,5,15000000,2-ส.ค.,30000000,จ3-6(2)-7/61รย,,40000,2670,6200000,สองสลึง,51240000,23,20200000000000,บริษัท ย่งต๋า อินเตอร์เนชั่นแนล จำกัด,บริษัท ย่งต๋า อินเตอร์เนชั่นแนล จำกัด,3,61,21110,18702
1230,ผลิตอาหารสำเร็จรูป และกึ่งสำเร็จรูปจากสัตว์น้ำ,21,แกลง,10291,602,แกลง-กร่ำ,สินสมุทร,65,3633,45,20,ระยอง,6,5500000,230,5000000,ศ3-6(2)-1/35รย,657279,4000000,940.5,2420000,กร่ำ,16920000,24,210000000000,บริษัท ไทยโอกาเบ้ โพรโมชั่น จำกัด,บริษัท ไทยโอกาเบ้ โพรโมชั่น จำกัด,3,35,21190,4840
1454,ผลิตปลาทอดกรอบ,21,แกลง,10212,605,,,60,3634,30,30,ระยอง,4,1500000,90,8500000,จ3-6(5)-2/49รย,038-661305,3000000,174.3,4000000,ปากน้ำกระแส,17000000,25,20200000000000,บริษัท เอ็น.พี.พี.อินเตอร์เนชั่นแนล จำกัด,บริษัท เอ็น.พี.พี.อินเตอร์เนชั่นแนล จำกัด,3,49,21170,8000
1493,สกัดน้ำมันจากพืช,21,แกลง,10491,701,,,80,3635,60,20,ระยอง,1,20000000,โฉนดที่ดินเลขที่ 26527 เลขที่ 53,15000000,จ3-7(1)-36/58รย,081-6129020,10000000,450,4670000,ทางเกวียน,49670000,26,20200000000000,,นายอดิศักดิ์ ยืนยงวรรณโชติ,3,58,21110,23836
1556,แปรรูปผลิตภัณฑ์จากผลไม้ เพื่อจำหน่าย เช่น การทำขนุนทอดกรอบ,21,แกลง,10302,801,,,8,3636,5,3,ระยอง,,3000000,โฉนดที่ดินเลขที่ 14051 เล่ม141หน้า51,1000000,จ3-8(1)-49/61รย,,1000000,126,3000000,คลองปูน,8000000,27,20200000000000,นายสุชาติ ปะสิ่งชอบ,นายสุชาติ ปะสิ่งชอบ,3,61,21170,5028
800,ผลิตเครื่องดื่มว่านหางจระเข้ เครื่องดื่มเม็ดแมงลัก เครื่องดื่มรังนกสำเร็จรูป,21,แกลง,10302,801,,,9,3637,4,5,ระยอง,5,1000000,28-ส.ค.,1000000,จ3-8(1)-5/60รย,086-3080528,1000000,437,1000000,สองสลึง,4000000,28,20200000000000,บริษัท เทรดดิ้ง เอพลัส จำกัด,บริษัท เทรดดิ้ง เอพลัส จำกัด,3,60,21110,4582
44,แปรรูปผลไม้ เช่น ขนุนทอด ทุเรียนทอด กล้วยทอด,21,แกลง,10302,801,,,54,3638,39,15,ระยอง,7,3700000,26-เม.ย.,3000000,จ3-8(1)-27/47รย,038-632028,2000000,352.75,2000000,ห้วยยาง,10700000,29,20200000000000,บริษัท สไมล์ ฟรุ๊ต จำกัด,บริษัท สไมล์ ฟรุ๊ต จำกัด,3,47,21110,10000
7920,การถนอมผัก พืช หรือผลไม้ โดยวิธีทำให้เยือกแข็งโดยฉับพลันหรือเหือดแห้ง,21,แกลง,10304,802,,,90,3639,45,45,ระยอง,7,30000000,โฉนดที่ดินเลขที่ 73006,0,3-8(2)-1/65รย,,20000000,639.5,20000000,ห้วยยาง,70000000,30,10200000000000,บริษัท สยามอิ่มดี จำกัด,บริษัท สยามอิ่มดี จำกัด,3,65,21110,32000
8000,ทำทุเรียนแช่แข็ง,21,แกลง,10304,802,,,107,3640,50,57,ระยอง,8,50000000,โฉนดที่ดินเลขที่ 6718 เลขที่ดิน 3,100000000,จ3-8(2)-9/58รย,095-1648802,20000000,494,7000000,กองดิน,177000000,31,20200000000000,บริษัท เหิง หยวน ฟู๊ด จำกัด,บริษัท เหิง หยวน ฟู๊ด จำกัด,3,58,22160,37012
1508,ทำแป้งมันสำปะหลัง,21,แกลง,10612,902,สุขุมวิท,,76,3641,19,57,ระยอง,6,1000000,28,0,3-9(2)-11/15รย,038-632161-2,1600000,2542.8,0,สองสลึง,2600000,32,10200000000000,บริษัท สยามสตาร์ซ (1966) จำกัด,บริษัท สยามสตาร์ซ (1966) จำกัด,3,15,21110,101376
6240,ผลิตแป้งมันสำปะหลัง,21,แกลง,10612,902,สุขุมวิท,,15,3642,0,15,ระยอง,4,3100000,248,5000000,3-9(2)-2/23รย,038-648910-3,8830000,2302.35,5000000,ชากพง,21930000,33,10200000000000,บริษัท ตระกูลคำ จำกัด,บริษัท ตระกูลคำ จำกัด,3,23,21190,43210
1800,"ผลิตแป้งมันสำปะหลังแปรรูป (MODIFIED STARCH) กำลังการผลิตได้ปีละ 12,000 ตัน",21,แกลง,10612,902,สุขุมวิท, ,56,3643,5,51,ระยอง,6,15000000,28,10000000,3-9(2)-1/36รย,614132,69500000,2513.9,4000000,สองสลึง,98500000,34,10200000000000,บริษัท สยามสตาร์ช (1966) จำกัด,บริษัท สยามสตาร์ช (1966) จำกัด,3,36,21110,12500
8754,ทำแป้งมันสำปะหลัง,21,แกลง,10612,902,สุขุมวิท,,250,3644,0,250,ระยอง,12,19000000,202,30000000,3-9(2)-3/13รย,671754,50000000,21317.05,7000000,ทุ่งควายกิน,106000000,35,10200000000000,บริษัท อินกริดิออน (ประเทศไทย) จำกัด,บริษัท อินกริดิออน (ประเทศไทย) จำกัด,3,13,21110,243200
7477,ทำมันเส้น,21,แกลง,10621,906,,,5,3645,2,3,ระยอง,6,100000,,100000,จ3-9(6)-2/46รย,,300000,95,0,ทุ่งควายกิน,500000,36,20200000000000,กิจสะอาด,กิจสะอาด,3,46,21110,7477
253,"ทำมันเส้น ได้เดือนละ 1,200 ตัน",21,แกลง,10621,906,สายเขาดิน-เขาชะเมา,-,10,3646,0,10,ระยอง,11,500000,446/2,500000,3-9(6)-51/22รย,038-669085,300000,158,140000,ทุ่งควายกิน,1440000,37,10200000000000,เลี่ยงฮวด,เลี่ยงฮวด,3,22,21110,24000
2700,"ผลิตน้ำจิ้มและซอส,ซุปในขวดและซอง",21,แกลง,10774,1302,,,19,3647,15,4,ระยอง,8,17000000,99/9,5000000,3-13(2)-5/57รย,,18000000,1406.8,2250000,กองดิน,42250000,38,10200000000000,บริษัท ไนน์สตาร์ฟู้ด จำกัด,บริษัท ไนน์สตาร์ฟู้ด จำกัด,3,57,22160,14400
