ไปรษณีย์,ประกอบกิจการ,TSIC,ลำดับ,เงินทุนรวม,เลขที่,อำเภอ,คนงานรวม,FID,หมู่,โทรศัพท์,คนงานชาย,ซอย,แรงม้า,GPS_lat,ถนน,ตำบล,คนงานหญิง,GPS_lng,ชื่อโรงงาน,สิ้นอายุ,factype,อนุญาต,_id,เลขทะเบียนเดิม,จังหวัด
11000,ตัดเย็บเสื้อผ้าสำเร็จรูป,14111,1,2810000,เลขที่ 500,เมืองนนทบุรี,39,-10120300225301-,2,5880034,1,ธนาคารอาคารสงเคราะห์ 10,56.3,13.86341667,งามวงศ์วาน,บางเขน,38,100.5382333,บริษัท เอ็น เอ แอพพาเรล จำกัด,,2,01/10/1450,1,2-28(1)-2/30นบ,นนทบุรี
11130,ผลิตพื้นคอนกรีตสำเร็จรูป,23953,2,4000000,เลขที่ 68/2,บางกรวย,60,-10120000825335-,2, ,40, ,33,,บางบัวทอง-ตลิ่งชัน,บางคูเวียง,20,,บริษัท คอนกรีตบางบัวทอง จำกัด,,2,02/11/1447,2,2-58(1)-8/33นบ,นนทบุรี
11150,ผลิตอาหารจากแป้ง เช่น ซาลาเปา,10743,3,192350000,เลขที่ ,ไทรน้อย,280,-10120058125638-,2,02-2815694,110,,6759.28,13.954526,บางเลน-ปทุมธานี,ไทรน้อย,170,100.429832,บริษัท วราภรณ์ สมพงษ์ ฟู้ดส์ จำกัด,,3,24/03/1477,3,3-10(3)-3/63นบ,นนทบุรี
11150,ทำเส้นหมี่ขาวและเส้นก๋วยเตี่ยว,10743,4,80000000,เลขที่ 45,ไทรน้อย,70,-10120000525554-,9,02-1506697,35,วัดสโมสร,2999,100.272084,ปทุมธานี-บางเลน,ไทรใหญ่,35,,บริษัท สหปั้นข้าว จำกัด,14.045418,3,27/06/1469,4,3-10(3)-5/55นบ,นนทบุรี
,ทำเส้นก๋วยเตี๋ยว,126000000000,5,,เลขที่ 15/6,ไทรน้อย,200000,-10120310625649-,4,,3500000,,8,27/05/1478,,ราษฎร์นิยม,3700000,29/09/1482,ก๋วยเตี๋ยวธนาสิน,1,,11200,5,3-10(3)-5/64นบ,นนทบุรี
,แกะสลักลวดลายกระจก,126000000000,6,,เลขที่ 8,เมืองนนทบุรี,2000000,-10120700125358-,,,15000000,งามวงศ์วาน 9 แยก 13,28,31/01/1452,,บางกระสอ,2000000,08/09/1449,บริษัท กระจกศิริรัตน์ จำกัด,1,,800,6,3-100(4)-1/35นบ,นนทบุรี
,ชุบโลหะ,3100000000000,7,,เลขที่ 16,เมืองนนทบุรี,30000,-10120300125204-,,,140000,สามัคคี 49 แยก 3,12,18/04/1452,สามัคคี,ท่าทราย,70000,01/12/1434,บริษัท ด.บุนนาค นนทบุรี จำกัด,1,,185,7,3-100(5)-1/20นบ,นนทบุรี
,ชุบโลหะ,3191015822,8,,เลขที่ 7/12,บางกรวย,100000,-10120200225336-,4,,800000,,18,08/03/1450,รุ่งประชา,วัดชลอ,800000,21/06/1447,บริษัท 3 เอสเพลท จำกัด,1,,800,8,3-100(5)-2/33นบ,นนทบุรี
,ผลิตไอน้ำ,103000000000,9,,เลขที่ ,ไทรน้อย,5000000,-10120000125603-,4,,2000000,,9,14/07/1474,ฤชุพันธ์,ไทรใหญ่,100000000,27/09/1474,บริษัท เมโทร พาเนล จำกัด,1,,64000,9,3-102-1/60นบ,นนทบุรี
,"ทำการตัด, อัด, กรีดผ่า, บดแยกชิ้นส่วนเศษสายไฟฟ้า",124000000000,10,,เลขที่ 59/28,เมืองนนทบุรี,6000000,-10120400125450-,8,,15000000,,5,27/08/1459,วัดโบสถ์-ท่าน้ำ,บางกร่าง,600000,25/09/1459,ห้างหุ้นส่วนจำกัด จิตรเกษมโลหะ,1,,4800,10,3-105-1/45นบ,นนทบุรี
,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,106000000000,11,,เลขที่ 69/288,ปากเกร็ด,5000000,-10120001325582-,1,,2000000,พระแม่มหาการุณย์,30,19/05/1472,ติวานนท์,บ้านใหม่,2500000,11/06/1472,บริษัท พี.พี.พี.รีไซเคิล จำกัด,1,,4596,11,3-105-13/58นบ,นนทบุรี
11140,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,38211,12,15500000,เลขที่ 25/3,บางใหญ่,8,-10120015125481-,4,0 2597 8270,6,แก้วอินทร์,140,100.3742,จันทร์ทองเอี่ยม,บางแม่นาง,2,,บริษัท เอสเคเจ อินเตอร์พลาส จำกัด,13.87416667,3,15/11/1462,12,3-105-151/48นบ,นนทบุรี
,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),3100000000000,13,,เลขที่ 79/23,เมืองนนทบุรี,5000000,-10120016525481-,3,,10000000,วัดไทรม้า,15,09/12/1462,รัตนาธิเบศร์,บางรักน้อย,3000000,15/01/1464,วงษ์พาณิชย์ สาขานนทบุรี,1,,21044,13,3-105-165/48นบ,นนทบุรี
