ประเภทรอง,ทุนหมุนเวียน,เงินทุนรวม,รหัสแฟ้ม,ประกอบกิจการ,พื้นที่อาคาร,อำเภอ,ta_id,ประเภทย่อย,TSIC,หน่วย,ถนน,GPS_lat,ซอย,FID,คนงานรวม,ลำดับ,ไปรษณีย์,จังหวัด,ค่าอาคาร,หมู่,เลขที่,แรงม้า,ประเภท,โทรศัพท์,ค่าเครื่องจักร,อนุญาต,เริ่มดำเนินการ,กำลังผลิต,ค่าที่ดิน,ตำบล,factype,ผู้ประกอบการ,fflag,คนงานชาย,facreg,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,GPS_lng,แรงม้าตรวจพบ,พื้นที่โรงงาน,สิ้นอายุ,คนงานหญิง
4(6),10000000,58872000,,โรงฆ่าและชำแหละสัตว์ปีก เช่น ไก่,2555,กำแพงแสน,730203,,10111,ตัว/ปี,,14.07420475,,-10730002025609-,228,1,11000,นครปฐม,16822000,4,เลขที่ 99/99,3348.86,-00401-,02-9220889,22050000,2017-11-08T00:00:00,2017-05-11T00:00:00,0,10000000,ทุ่งลูกนก,3,บริษัท สยามฟีดแอนด์ฟู้ด จำกัด,1,114, 00401302060นฐ,1,3-4(1)-20/60นฐ,บริษัท สยามฟีดแอนด์ฟู้ด จำกัด,99.87781265,1859,35200,2022-01-01T00:00:00,114
6(3),5000000,36000000,,ทำลูกชิ้น และไส้กรอก จาก เนื้อ หมู ปลา ไก่,8965,สามพราน,730615,,10139,ตัน/ปี,-,13.68173333,-,-10730000825471-,77,2,73110,นครปฐม,8000000,4,เลขที่ 99/9,4485.44,-00403-,02-4294677,8000000,2004-04-06T00:00:00,2006-02-14T00:00:00,0,15000000,บ้านใหม่,3,บริษัท บิ๊กบอล ฟู้ด จำกัด,1,46, 00403300847นฐ,2,3-4(3)-8/47นฐ,บริษัท บิ๊กบอล ฟู้ด จำกัด,100.2576,1728.76,41600,2021-01-01T00:00:00,31
53(5),9000000,26000000,09-135,ผลิตพลาสติคผสมสำหรับใช้เป็นวัตุดิบในการผลิตพลาสติก เช่น สีเม็ด พลาสติกคอมปาวน์ และ ผลิตผลิตภัณฑ์พลาสติก,10450,สามพราน,730605,,22210,ชิ้น/ปี,ปิ่นเกล้า-นครชัยศรี,13.77908333,บางเตย 2,-10730500125448-,45,3,73210,นครปฐม,11000000,1,เลขที่ 90,6004,-05301-,02-8894576,6000000,2001-01-18T00:00:00,2001-09-25T00:00:00,0,0,บางเตย,3,บริษัท เบสท์ พลาสติก เทคโนโลยีจำกัด,1,36, 05301300144นฐ,3,3-53(1)-1/44นฐ,บริษัท เบสท์ พลาสติก เทคโนโลยี จำกัด,100.2863833,0,25028,2016-01-01T00:00:00,9
64(13),25000000,305000000,09-125,ทำผลิตภัณฑ์เครื่องใช้พลาสติก เช่น ขวด และอุปกรณ์แม่พิมพ์โลหะ,6890,สามพราน,730608,,22210,ชิ้น/ปี,ท่าเกวียน,13.74546667,,-10730200225381-,553,4,73210,นครปฐม,50000000,11,เลขที่ 55/5-7,7330.33,-05301-,4205708-10,180000000,1995-04-09T00:00:00,1997-09-22T00:00:00,0,50000000,ไร่ขิง,3,บริษัท เอส.พี เพ็ทแพค จำกัด ,1,229, 05301300238นฐ,4,3-53(1)-2/38นฐ,บริษัท เอส.พี.เพ็ทแพค จำกัด,100.2966667,0,28800,2023-01-01T00:00:00,324
,40000000,199000000,,ผลิตกระสอบพลาสติก เส้นด้ายพลาสติก และถุงพลาสติก,11799,กำแพงแสน,730204,,22220,ใบ/ปี,มาลัยแมน,13.9348,-,-10730003725496-,260,5,73140,นครปฐม,50000000,12,เลขที่ 113/1,5413.51,-05304-,,105000000,2006-06-23T00:00:00,2006-07-21T00:00:00,0,4000000,ห้วยขวาง,3,บริษัท ธนบุรี โพลีแบ็ค จำกัด,1,130, 05304303749นฐ,5,3-53(4)-37/49นฐ,บริษัท ธนบุรี โพลีแบ็ค จำกัด,99.99021667,1908.75,39212,2021-01-01T00:00:00,130
,10000000,225400000,233-06,"ฉีดและเป่าขึ้นรูปพลาสติก เช่น ถ้วยพลาสติก,ขวด,ฝาขวด",6446,บางเลน,730513,,22220,ใบ/ปี,,,,-10730246025621-,47,6,73170,นครปฐม,66000000,11,เลขที่ -,2636.04,-05304-,,25000000,2019-09-25T00:00:00,2020-10-06T00:00:00,0,124400000,นราภิรมย์,3,บริษัท สยาม ลิด แฟคทอรี่ จำกัด,1,22, 05304304362นฐ,6,3-53(4)-43/62นฐ,บริษัท สยาม ลิด แฟคทอรี่ จำกัด,,1084.06,12440,,25
,2000000,11600000,034-10,ผลิตท่อพลาสติกและวงกบ บานประตูหน้าต่าง จากพลาสติก ฝักบัวอาบน้ำ ก๊อกน้ำสำหรับเครื่องสุขภัณฑ์,5464,สามพราน,730610,,22230,ตัน/ปี,พุทธมณฑลสาย 4,13.72128333,,-10730300225299-,35,7,73220,นครปฐม,5000000,5,เลขที่ 68,5295.28,-05305-,02-8901111,2200000,1995-02-28T00:00:00,1986-10-28T00:00:00,0,2400000,กระทุ่มล้ม,3,บริษัท นาป้า จำกัด,1,20, 05305300229นฐ,7,3-53(5)-2/29นฐ,บริษัท นาป้า จำกัด,100.3286,0,9600,2020-01-01T00:00:00,15
,3000000,27200000,09-073,ทำภาชนะบรรจุจากแผ่นเหล็ก เช่น กระป๋อง,2845,สามพราน,730612,,25949,ชุด/ปี,พระประโทน-บ้านแพ้ว,13.67095,,-10730900125329-,22,8,73110,นครปฐม,3000000,6,เลขที่ 45,591,-06401-,2116072,20000000,1994-12-22T00:00:00,1989-09-22T00:00:00,0,1200000,ตลาดจินดา,3,บริษัท ยูนิเวอร์แซลแคน จำกัด,1,22, 06401300132นฐ,8,3-64(1)-1/32นฐ,บริษัท เมทเทิลวัน จำกัด,100.0885667,196.78,14450,2020-01-01T00:00:00,0
"4(3),10(3),11(6),12(5)",218260570,310872177,,ผลิตแป้งข้าวจ้าว แป้งข้าวเหนียว ผลิตภัณฑ์ผสมอื่น ๆ ที่ใช้ในการประกอบปรุงแต่งอาหาร น้ำตาลผสมทุกชนิด อาหารสำเร็จรูป และผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น เช่น วุ้นเส้นและอาหารกึ่งสำเร็จรูปอื่นๆ,9817,สามพราน,730615,,10612,ตัน/ปี,เพชรเกษม,13.69746667,วัดเทียนดัด,-10730000125310-,339,9,73110,นครปฐม,35039141,1,เลขที่ 12,11872.84,-00902-,024290066-8,41741133,1993-04-05T00:00:00,1988-07-06T00:00:00,0,15831333,บ้านใหม่,3,บริษัท บางกอกอินเตอร์ฟูด จำกัด,1,144, 00902300131นฐ,9,3-9(2)-1/31นฐ,บริษัท บางกอกอินเตอร์ฟูด จำกัด,100.2453,8955.08,67200,2024-01-01T00:00:00,195
,500000,11500000,,ผลิตขนมและเบเกอรี่,1179,กำแพงแสน,730206,,10711,ตัน/ปี,,,,-20730391725643-,75,10,73140,นครปฐม,6000000,12,เลขที่ 44/4,165.66,-01001-,971648581,2000000,2021-05-08T00:00:00,2023-09-11T00:00:00,99.5,3000000,สระสี่มุม,3,บริษัท หนองพงนก เบเกอรี่ แอนด์ ฟู้ด จำกัด,1,10,จ01001300864นฐ,10,จ3-10(1)-8/64นฐ,บริษัท หนองพงนก เบเกอรี่ แอนด์ ฟู้ด จำกัด,,165.66,2460,2028-01-01T00:00:00,65
