2558,2560,2561,_id,2559,2564,2566,2557,2563,2565,อำเภอ,2562,หน่วย
1,1,1,1,1,9,-,1,2,-,เมืองสุราษฎร์ธานี,1,แห่ง
1,1,1,2,1,10,3,1,-,3,กาญจนดิษฐ์,1,แห่ง
2,2,2,3,2,-,4,2,-,3,พุนพิน,2,แห่ง
-,-,-,4,-,-,-,-,-,-,ดอนสัก,-,แห่ง
-,-,-,5,-,-,-,-,-,-,เกาะสมุย,-,แห่ง
-,-,-,6,-,2,-,-,-,-,เกาะพงัน,-,แห่ง
-,-,-,7,-,-,-,-,-,-,ไชยา,-,แห่ง
-,-,-,8,-,2,-,-,-,1,คีรีรัฐนิคม,-,แห่ง
-,-,-,9,-,-,-,-,-,-,บ้านตาขุน,-,แห่ง
-,-,-,10,-,3,-,-,-,-,พนม,-,แห่ง
-,-,-,11,-,4,-,-,-,-,ท่าฉาง,-,แห่ง
-,-,-,12,-,1,-,-,-,-,บ้านนาสาร,-,แห่ง
-,-,-,13,-,3,1,-,-,2,บ้านนาเดิม,-,แห่ง
-,-,-,14,-,3,-,-,-,-,เคียนซา,-,แห่ง
-,-,-,15,-,4,-,-,-,-,เวียงสระ,-,แห่ง
-,-,-,16,-,8,-,-,1,-,พระแสง,-,แห่ง
-,-,-,17,-,11,-,-,3,-,พุนพิน,-,แห่ง
-,-,-,18,-,-,-,-,-,-,ชัยบุรี,-,แห่ง
-,-,-,19,-,1,-,-,-,-,วิภาวิดี,-,แห่ง
