_id,ราคาผลผลิต (บาท./กก.),พื้นที่ (ไร่),มูลค่า (บาท),ข้อมูล (ปี),ผลผลิตรวม (ตัน),ครัวเรือนเกษตรกร,ชนิดพืช,ผลผลิตเฉลี่ย (กก./ไร่)
1,9.1," 308,498 "," 1,729,316,389 ",2563," 190,035 "," 13,886 ",ข้าวนาปี, 616 
2,7.35," 312,591 "," 1,651,868,921 ",2564," 224,744 "," 15,249 ",ข้าวนาปี, 719 
3,9.2," 315,908 "," 1,970,507,741 ",2565," 214,186 "," 14,149 ",ข้าวนาปี, 678 
4,8.87," 312,771 "," 2,022,449,223 ",2566," 228,010 "," 15,151 ",ข้าวนาปี, 729 
5,8.73," 317,241 "," 2,140,834,267 ",2567," 245,227 "," 15,211 ",ข้าวนาปี, 773 
6,6.18," 300,466 "," 1,370,378,492 ",2568," 221,744 "," 14,380 ",ข้าวนาปี, 738 
7,8.5," 27,305 "," 162,000,565 ",2563," 19,059 "," 1,587 ",ข้าวนาปรัง, 698 
8,7.65," 183,053 "," 200,516,541 ",2564," 26,211 "," 8,087 ",ข้าวนาปรัง, 730 
9,9.6," 133,841 "," 971,364,442 ",2565," 101,184 "," 6,523 ",ข้าวนาปรัง, 756 
10,9.69," 132,332 "," 968,134,295 ",2566," 99,910 "," 6,780 ",ข้าวนาปรัง, 755 
11,6.95," 157,965 "," 824,490,419 ",2567," 118,631 "," 7,107 ",ข้าวนาปรัง, 751 
12,6.75," 164,364 "," 824,325,323 ",2568," 122,122 "," 8,168 ",ข้าวนาปรัง, 743 
13,6.0," 155,860 "," 93,516,000 ",2563," 155,860 "," 6,274 ",ข้าวโพดเลี้ยงสัตว์," 1,000 "
14,6.0," 155,004 "," 930,014,940 ",2564," 155,002 "," 6,662 ",ข้าวโพดเลี้ยงสัตว์," 1,000 "
15,9.0," 134,321 "," 1,208,889,000 ",2565," 134,321 "," 5,108 ",ข้าวโพดเลี้ยงสัตว์," 1,000 "
16,7.07," 175,703 "," 1,199,984,722 ",2566," 169,729 "," 8,999 ",ข้าวโพดเลี้ยงสัตว์, 966 
17,6.62," 145,278 "," 419,199,669 ",2567," 144,552 "," 7,305 ",ข้าวโพดเลี้ยงสัตว์, 995 
18,6.33," 182,384 "," 473,377,672 ",2568," 163,234 "," 6,033 ",ข้าวโพดเลี้ยงสัตว์, 895 
19,2.6," 39,198 "," 454,696,800 ",2563," 156,792 "," 1,980 ",มันสำปะหลัง," 4,000 "
20,2.35," 60,535 "," 669,583,900 ",2564," 230,891 "," 2,966 ",มันสำปะหลัง," 3,373 "
21,2.9," 54,796 "," 579,467,700 ",2565," 246,582 "," 2,898 ",มันสำปะหลัง," 4,500 "
22,3.31," 77,307 "," 739,584,473 ",2566," 314,717 "," 2,112 ",มันสำปะหลัง," 4,071 "
23,1.97," 39,963 "," 430,121,769 ",2567," 183,031 "," 1,845 ",มันสำปะหลัง," 4,580 "
24,2.6," 45,578 "," 418,259,747 ",2568," 177,983 "," 1,333 ",มันสำปะหลัง," 3,905 "
25,25.0," 1,800 "," 216,000,000 ",2563," 8,640 ", 211 ,เผือกหอม," 4,800 "
26,20.0," 2,641 "," 211,260,000 ",2564," 10,563 ", 214 ,เผือกหอม," 2,900 "
27,35.0," 2,500 "," 304,675,000 ",2565," 8,705 ", 220 ,เผือกหอม," 3,482 "
28,27.0," 4,148 "," 391,986,000 ",2566," 14,518 ", 241 ,เผือกหอม," 3,500 "
29,50.0," 3,042 "," 476,073,000 ",2567," 9,521 ", 221 ,เผือกหอม," 3,130 "
30,30.0," 3,696 "," 498,960,000 ",2568," 16,632 ", 234 ,เผือกหอม," 4,500 "
31,6.45," 4,951 "," 73,448,085 ",2563," 11,387 ", 117 ,ปาล์มน้ำมัน," 2,300 "
32,4.45," 5,235 "," 72,575,050 ",2564," 16,309 ", 124 ,ปาล์มน้ำมัน," 3,125 "
33,9.95," 3,695 "," 113,972,275 ",2565," 11,455 ", 100 ,ปาล์มน้ำมัน," 3,100 "
34,5.78," 5,775 "," 103,977,143 ",2566," 17,989 ", 118 ,ปาล์มน้ำมัน," 3,115 "
35,5.27," 5,647 "," 104,218,434 ",2567," 19,776 ", 115 ,ปาล์มน้ำมัน," 3,502 "
36,5.78," 5,834 "," 134,039,067 ",2568," 23,190 ", 128 ,ปาล์มน้ำมัน," 3,975 "
37,20.0," 7,908 "," 158,160,000 ",2563," 7,908 "," 2,380 ",มะม่วง," 1,000 "
38,20.0," 7,793 "," 154,014,200 ",2564," 7,793 "," 2,445 ",มะม่วง," 1,000 "
39,20.0," 2,836 "," 56,720,000 ",2565," 2,836 "," 1,496 ",มะม่วง," 1,000 "
40,24.0," 4,193 "," 83,860,000 ",2566," 4,193 "," 2,978 ",มะม่วง," 1,000 "
41,22.5," 8,080 "," 161,600,000 ",2567," 8,080 "," 2,744 ",มะม่วง," 1,000 "
42,20.0," 9,136 "," 182,720,000 ",2568," 9,136 "," 2,561 ",มะม่วง," 1,000 "
43,16.0," 2,349 "," 82,684,800 ",2563," 5,168 ", 198 ,กล้วยหอม," 2,200 "
44,16.5," 2,523 "," 94,928,050 ",2564," 5,753 ", 201 ,กล้วยหอม," 2,280 "
45,18.0," 6,132 "," 249,118,632 ",2565," 13,840 ", 80 ,กล้วยหอม," 2,257 "
46,18.0," 6,388 "," 255,819,375 ",2566," 14,212 ", 93 ,กล้วยหอม," 2,225 "
47,20.0," 7,869 "," 340,224,084 ",2567," 18,901 ", 138 ,กล้วยหอม," 2,402 "
48,45.0," 3,865 "," 172,185,750 ",2568," 9,566 ", 126 ,กล้วยหอม," 2,475 "
