ถนน,เลขที่,ซอย,FID,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
รามคำแหง,เลขที่ 348,,10102300000000,270.68,20000000,1,3-101-1/38,1,บริษัท โอสถสภา จำกัด (มหาชน),3511123-24,"บำบัดน้ำทิ้งรวมได้4,800ลูกบาศก์เมตร/วัน",5,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 48,-,10103300000000,356,43100000,2,3-101-1/40,2,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),989-4050-62,"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",10,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,9
เชื่อมสัมพันธ์,เลขที่ 67/16,-,10103100000000,109.4,0,3,3-101-1/45,3,บริษัท มหาจักรออโตพาร์ท จำกัด,02-543-1212,ปรับคุณภาพน้ำเสียรวม,6,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
พระรามที่ 2,เลขที่ 68/39,แสมดำ 17,10101100000000,862.2,127500000,4,3-101-1/47,4,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),,ปรับคุณภาพของเสียรวม,23,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
พระรามที่ 2,เลขที่ 68/39,วัดแสมดำ,10103300000000,439,5000000,5,3-101-2/38,5,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,4153728,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),82,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
นิมิตใหม่,เลขที่ 9,,10101100000000,83.05,8035000,6,3-101-4/41,6,บริษัท อาหารยอดคุณ จำกัด,02-181-0036-45,บำบัดน้ำเสียจากกระบวนการผลิตรวมทั้งกำจัดของเสียอื่นๆ ของบริษัทอาหารยอดคุณจำกัด และบริษัทยูนิแชมป์จำกัด,1,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
,เลขที่ 11,เอกชัย 114 (อมรพฤกษ์),10100000000000,191,5500000,7,3-105-107/59,7,บริษัท เปเปอร์ แพคกิ้ง จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 286,,10100100000000,167.25,6000000,8,3-105-11/59,8,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,818031474,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,25,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,
-,เลขที่ 51,แสนสบาย,10100200000000,130,13200000,9,3-105-119/48,9,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,20,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 98,,10100200000000,349.22,53000000,10,3-105-13/49,10,นายสิทธิธรรม เรืองจรุงพงศ์ ,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,20,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
,เลขที่ โฉนดที่ดินเลขที่ 101,,10100200000000,371,120000000,11,3-105-13/60,11,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,40,10120,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
พระราม2,เลขที่ 547,,10100100000000,1053,78000000,12,3-105-14/59,12,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,0 2452 2824,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,8,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 1/24,,10100100000000,170,18500000,13,3-105-15/62,13,กิจถาวร,818078803,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,3
,เลขที่ โฉนดที่ดินเลขที่ 20100,,10100100000000,180,20890000,14,3-105-17/62,14,นายสหสีห์ ชิตานนท์,063-895-4641,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10240,ทับช้าง,สะพานสูง,กรุงเทพมหานคร,
พรหมราษฎร์,เลขที่ 12,,10100100000000,435,3600000,15,3-105-19/62,15,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,30,10150,บางบอนใต้,บางบอน,กรุงเทพมหานคร,
,เลขที่ 518/29,รามคำแหง 39(เทพลีลา1),10100100000000,815,16500000,16,3-105-20/59,16,บริษัท จ.ทวีโชค จำกัด,29348025,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
,เลขที่ 117,,10100100000000,375,31600000,17,3-105-20/60,17,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,10270,สายไหม,สายไหม ,กรุงเทพมหานคร,7
,เลขที่ โฉนดที่ดินเลขที่ 137798,,10100100000000,760,41000000,18,3-105-20/62,18,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,852154299,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เอกชัย,เลขที่ 88/71-72,กำนันแม้น,10100100000000,585,5000000,19,3-105-22/59,19,บริษัท กวงเซ่งหลี จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
,เลขที่ 7,เอกชัย 114 (อมรพฤกษ์),10100100000000,204,11000000,20,3-105-28/62,20,หม่าหลง เทรดดิ้ง แอนด์ รีไซเคิล,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,10,10150,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,
เสรีไทย,เลขที่ 60/50,,10100500000000,234,1900000,21,3-105-3/60,21,บริษัท คูซุ่นฮวด จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,3
,เลขที่ 6/3,,10100000000000,138,2300000,22,3-105-3/62,22,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,085-3215626,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
เฉลิมพระเกียรติ ,เลขที่ 30/12,เฉลิมพระเกียรติ 30,10100100000000,52.5,7000000,23,3-105-30/60,23,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,11
บางขุนเทียน-ชายทะเล,เลขที่ 12/239,เทียนทะเล 24,10100000000000,129,8500000,24,3-105-32/54,24,ศรีนคร,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
พระรามที่ 2,เลขที่ 549,,10100100000000,91,29000000,25,3-105-39/59,25,บริษัท เอ็มบอส กรุ๊ป จำกัด,02-0489980,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางบอน 4,เลขที่ 249,,10100400000000,954,115000000,26,3-105-4/60,26,บริษัท เจดีย์ไทย สตีล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,32,10150,บางบอน,บางบอน,กรุงเทพมหานคร,
รัชดาภิเษก,เลขที่ 743/7,เสือใหญ่อุทิศ,10100000000000,228.5,12900000,27,3-105-48/59,27,ธวัช รีไซเคิล,29300668,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,เลขที่ 19,เทียนทะเล 30,10100000000000,295,27000000,28,3-105-49/59,28,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,28972394,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,21,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 92/78-79,,10100000000000,1247,120000000,29,3-105-51/59,29,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,892029400,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,33,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
เพชรเกษม,เลขที่ 26/5,เพชรเกษม114,10100000000000,766.34,13000000,30,3-105-52/59,30,นางวรรณา กนกทิพย์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10150,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
แสมดำ,เลขที่ 4,-,10100100000000,485,2000000,31,3-105-53/54,31,บริษัท ส.พัฒนาเปเปอร์ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,2,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระราม 2,เลขที่ 597,,10100100000000,426.5,12300000,32,3-105-54/59,32,บริษัท ช.รุ่งทรัพย์ จำกัด,24155642,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,9,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,"เลขที่ 16/1,16/2",บางกระดี่ 1 แยก 9,10100000000000,98,12198000,33,3-105-54/61,33,นวกลกิจ,09 5596 4555,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
เอกชัย,เลขที่ 88/164,กำนันแม้น,10100100000000,745,185000000,34,3-105-57/61,34,บริษัท ตั้งซุ่ยเฮง จำกัด,02-8978134-5,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
ประชาสำราญ 2,เลขที่ 29/6,-,10100500000000,2,515000,35,3-105-6/48,35,มิตรไพบูลย์,,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,9,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,3
,เลขที่ 89,บางกระดี่ 19,10100000000000,435,37500000,36,3-105-60/60,36,นายการัณย์ อัครกุลพรรณ,081-8447639,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 159,,10100000000000,2992.81,63000000,37,3-105-68/60,37,บริษัท เหล็กหมุนเวียน จำกัด,02-8121576,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,34,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
หทัยราษฎร์,เลขที่ 888,,10100000000000,795,175000000,38,3-105-69/59,38,บริษัท ไคฮวดจั่น จำกัด,29565125,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
สุวินทวงษ์,เลขที่ 888,,10100000000000,1041,220000000,39,3-105-70/59,39,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,29565125,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,
พุทธบูชา ,เลขที่ 9,พุทธบูชา 36 แยก 1,10100100000000,589,20000000,40,3-105-71/59,40,บริษัท เอส.เอช.เปเปอร์ จำกัด,24264961,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,17,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
,เลขที่ 8,ราษฎร์บูรณะ,10100100000000,300,9000000,41,3-105-72/59,41,บริษัท เจ พี เปเปอร์ จำกัด,287220724,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,14,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
,เลขที่ 518/27,รามคำแหง 39 (เทพลีลา 1),10100000000000,100,14500000,42,3-105-72/61,42,นายสิทธิพงศ์ อนันต์หล่อพันธ์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
