แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
460,ลำนารายณ์,อบพืชหรือเมล็ดพืช,จ3-2(1)-22/62ลบ,คชเสนีย์,303,201,ลพบุรี,,32000000,4,20160236825624,นายสมชาย งามประเสริฐสิทธิ์,-,นายสมชาย งามประเสริฐสิทธิ์,15130,1630,1,ชัยบาดาล,4
65.5,ลำนารายณ์,ผลิตเมล็ดพันธุ์พืชทุกชนิด,จ3-2(9)-3/49ลบ,ท่ามะนาว,-,209,ลพบุรี,,14500000,7,20160000325496,ห้างหุ้นส่วนจำกัด ส.เสริมสร้างพืชผล (2005),,ห้างหุ้นส่วนจำกัด ส.เสริมสร้างพืชผล,15130,28240,2,ชัยบาดาล,40
85,ลำนารายณ์,ทำมันเส้น ได้เดือนละ 3 ตัน,3-9(6)-2/31ลบ,ลำนารายณ์-เทพสถิตย์,77,906,ลพบุรี,,575000,3,10160000225318,นางหริน สีพันธ์,,ไทยทวีพืชผล,15130,10621,3,ชัยบาดาล,4
60.5,ลำนารายณ์,ทำน้ำแข็งยูนิค ขนาดกำลังการผลิตวันละ 12 ตัน,จ2-14-18/64ลบ,ซอยสุขา 11,142-143,1400,ลพบุรี,461474,1765000,5,20160234325643,นายชาญชัย หมื่นอาจ, ,,15130,10795,4,ชัยบาดาล,4
997.5,ลำนารายณ์,ผลิตน้ำแข็งซอง ขนาดกำลังการผลิต 700 ซองต่อวัน และทำน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 500 ตันต่อวัน,3-14-55/56ลบ,กุจินารายณ์,44,1400,ลพบุรี,,31000000,7,10160005525563,ห้างหุ้นส่วนจำกัด เก้ากาญจน์,,ห้างหุ้นส่วนจำกัด เก้ากาญจน์,15130,10795,5,ชัยบาดาล,10
293.02,ลำนารายณ์,ทำน้ำแข็งก้อนเล็ก ได้วันละ 45.34 ตัน,ศ3-14-1/34ลบ,ท่ามะนาว,417,1400,ลพบุรี,,6500000,8,00160000125346,ห้างหุ้นส่วนจำกัด น้ำแข็งหลอดลำนารายณ์,-,ห้างหุ้นส่วนจำกัด น้ำแข็งหลอดลำนารายณ์,15130,10795,6,ชัยบาดาล,9
142,ลำนารายณ์,ผลิตอาหารเสริมสำหรับสัตว์ วิตามิน และแร่ธาตุอินทรีย์ ,จ3-15(1)-1/39ลบ,สุระนารายณ์,705,1501,ลพบุรี,461915,14600000,10,20160100125390,บริษัท แอพพลายฟอร์ซ (ประเทศไทยป จำกัด,,บริษัท แอพพลายฟอร์ช (ประเทศไทย) จำกัด,15130,10801,7,ชัยบาดาล,16
258.75,ลำนารายณ์,ผสมปุ๋ยเกร็ด ปุ๋ยน้ำ และอาหารเสริมพืช,3-43(1)-1/33ลบ,,705,4301,ลพบุรี,461915,8500000,10,10160100125335,บริษัท แอพพลายเค็ม (ประเทศไทย) จำกัด,,บริษัท แอพพลายเค็ม (ประเทศไทย) จำกัด,15130,20121,8,ชัยบาดาล,25
63.04,ลำนารายณ์,ผลิตคอนกรีตผสมเสร็จ,จ2-58(1)-145/64ลบ,สุระนารายณ์,30,5801,ลพบุรี,01-8120545,33000000,7,20160234225645,บริษัท นิธิศพันธ์ จำกัด,-,โรงงานคอนกรีตผสมเสร็จลำนารายณ์,15130,23953,9,ชัยบาดาล,3
298.75,ลำนารายณ์,ทำท่อคอนกรีตอัดแรง,3-58(1)-1/32ลบ,สุระนารายณ์,681-684,5801,ลพบุรี,461588,17200000,10,10160000125328,บริษัท นิยมชัยคอนกรีต จำกัด,,บริษัท นิยมคอนกรีต จำกัด,15130,23959,10,ชัยบาดาล,33
116.5,ลำนารายณ์,ทำคอนกรีตผสมเสร็จและอัดซีเมนต์บล๊อค,จ3-58(1)-77/48ลบ,สุระนารายณ์,554/3,5801,ลพบุรี,,4850000,10,20160007725482,นายทรงวิทย์ แจ้งพันธฺุ์,-,ทรงวิทย์คอนกรีตผสมเสร็จ,15130,23953,11,ชัยบาดาล,8
135.5,ลำนารายณ์,ผลิตคอนกรีตผสมเสร็จ และอิฐบล็อก,จ3-58(1)-198/60ลบ,-,636/11,5801,ลพบุรี,,5500000,11,20160019825601,ห้างหุ้นส่วนจำกัด บิ๊ก คอนกรีต,-,-,15000,23953,12,ชัยบาดาล,6
180,ลำนารายณ์,ผลิตคอนกรีตผสมเสร็จ,จ3-58(1)-203/58ลบ,,,5801,ลพบุรี,,8000000,7,20160020325583,บริษัท นิธิศพันธ์ จำกัด,,บริษัท นิธิศพันธ์ จำกัด,15130,23953,13,ชัยบาดาล,4
124.58,ลำนารายณ์,กลึง-เชื่อมโลหะและซ่อมอุปกรณ์การเกษตร,3-66-2/23ลบ,สุระนารายณ์,26-29,6600,ลพบุรี,,2300000,5,10160100225234,นายหง่าน วงษ์สุวรรณ,,อู่รวมช่าง,15130,28219,14,ชัยบาดาล,5
477.67,ลำนารายณ์,ผลิตและซ่อมเครื่องมือการเกษตร,จ3-66-1/46ลบ,สุระนารายณ์,679,6600,ลพบุรี,,7100000,1,20160600125460,นายพินิจ งามเลิศชัย,,ก.เกษตรลำนารายณ์,15130,28219,15,ชัยบาดาล,25
131,ลำนารายณ์,ทำห้องเย็น ขนาดความจุ 311 ตัน และน้ำแข็งถาดเพื่อใช้ในกิจการ แช่อาหาร กำลังการผลิต 8 ตัน/วัน,3-92-1/29ลบ,สุระนารายณ์,075,9200,ลพบุรี,461379,9000000,5,10160400125290,ห้างหุ้นส่วนจำกัด นารายณ์ห้องเย็น,,ห้างหุ้นส่วนจำกัด นารายณ์ห้องเย็น,15130,52101,16,ชัยบาดาล,6
425.8,ชัยนารายณ์,อบเมล็ดพืช,จ3-2(1)-42/49ลบ,สระบุรี-หล่มสัก,82/3,201,ลพบุรี,,7010000,6,20160004225494,นายธวัฒน์ชัย เกรียงไกรลิปิกร,,ธวัฒน์ชัยอบเมล็ดพืช,15130,1630,17,ชัยบาดาล,3
314.53,ชัยนารายณ์,อบเมล็ดพืช และไซโล,จ3-2(4)-1/40ลบ,สระบุรี-หล่มสัก,82/2,204,ลพบุรี,036-461846,10500000,6,20160000125409,นางสุภัทร เกรียงไกรลิปิกร,,ไซโล ธนาทรัพย์,15130,1630,18,ชัยบาดาล,13
285.7,ชัยนารายณ์,ทำน้ำแข็ง ได้วันละ 256 ซอง,ศ3-14-2/33ลบ,สระบุรี-หล่มสัก,477,1400,ลพบุรี,461503,7080000,1,00160000225336,นางยุพา แซ่เบ๊,-,โรงน้ำแข็งชัยบาดาล,15130,10795,19,ชัยบาดาล,14
74.65,ชัยนารายณ์,"ทำประตู-หน้าต่างเหล็ก, มุ้งลวด","อ2-63(2)-126/64ลบ
",,193,6302,ลพบุรี,461528,4200000,1,60160233025641,บริษัท อึ้งเจริญพูลทรัพย์ลำนารายณ์ จำกัด,,บริษัท อึ้งเจริญพูลทรัพย์ลำนารายณ์ จำกัด,15130,25111,20,ชัยบาดาล,16
81,ชัยนารายณ์,ผลิตและซ่อมชิ้นส่วนอุปกรณ์รถไถ,3-66-2/28ลบ,คชเสนีย์,126,6600,ลพบุรี,,720000,4,10160000225284,นางสาวเรณู วิรัชพินทุ,,วิรัชการช่าง,15130,28219,21,ชัยบาดาล,5
85.5,ชัยนารายณ์,กลึง เชื่อมโลหะ ซ่อมอุปกรณ์การเกษตร,3-66-5/23ลบ,สระบุรี-หล่มสัก,481/1-5,6600,ลพบุรี,461186,3200000,1,10160000525238,นางไพรัตน์ อินทร,,ติ่งบริการ 2,15130,28219,22,ชัยบาดาล,2
194.95,ชัยนารายณ์,ซ่อมแซมเครื่องจักรและอุปกรณ์ของเครื่องจักรสำหรับใช้ในการก,3-66-7/29ลบ,คชเสนีย์,19/2,6600,ลพบุรี,461126,1205000,1,10160000725291,นายแสงเพชร งามเลิศชัย,,ตี๋ใหญ่การช่าง,15130,28219,23,ชัยบาดาล,26
205.3,ชัยนารายณ์,ซ่อมแซมอุปกรณ์ทางการเกษตร,จ3-66-3/35ลบ,คชเสนีย์,18/1,6600,ลพบุรี,,2300000,1,20160000325355,นายแสงเพชร งามเลิศชัย,,ที.ที เฟิร์ส ลำนารายณ์,15130,28219,24,ชัยบาดาล,10
91,ชัยนารายณ์,ซ่อมอุปกรณ์การเกษตร,จ3-66-4/35ลบ,-,236,6600,ลพบุรี,,98000,1,20160000425353,นายสิทธิชัย งามเลิศชัย,-,พ้งการช่าง,15130,28219,25,ชัยบาดาล,6
142.78,ชัยนารายณ์,ผลิตและซ่อมอุปกรณ์การเกษตร,จ3-66-7/51ลบ,สระบุรี-หล่มสัก,21/4,6600,ลพบุรี,036-461225,5500000,4,20160000725513,นายวิศาล อรรจนาวัฒน์,-,โรงกลึงชัยมอเตอร์ พี ที 2,15130,28219,26,ชัยบาดาล,10
444.97,ชัยนารายณ์,ผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องจักรกลการเกษตร,จ3-66-16/58ลบ,,88,6600,ลพบุรี,,45000000,1,20160001625589,บริษัท ที.ที.เฟิร์ส จำกัด,,บริษัท ที.ที.เฟิร์ส จำกัด,15130,28219,27,ชัยบาดาล,25
676.8,ชัยนารายณ์,ผลิตเครื่องมือการเกษตร,จ3-66-23/49ลบ,,139,6600,ลพบุรี,,12780000,3,20160002325494,ห้างหุ้นส่วนจำกัด ชูศิลปการเกษตร,,ห้างหุ้นส่วนจำกัด ชูศิลปการเกษตร,15130,28219,28,ชัยบาดาล,44
93.04,ชัยนารายณ์,ซ่อมเครื่องยนต์และส่วนประกอบหรืออุปกรณ์ของยานที่ขับเคลื่อนด้วยเครื่งยนต์,จ3-95(1)-1/36ลบ,สระบุรี-หล่มสัก,316,9501,ลพบุรี,461374,11200000,1,20160900125368,บริษัท โตโยต้านารายณ์แกรนด์ จำกัด,,บริษัท โตโยต้า นารายณ์แกรนด์ จำกัด,15130,33121,29,ชัยบาดาล,47
