_id,ปี,มูลค่า,หน่วย,รายการ
1,2563,309581640,กิโลกรัม,ปริมาณน้ำนมดิบต่อปี
2,2563,18,บาทต่อกิโลกรัม,ราคาน้ำนมดิบ
3,2563,5572469520,บาท,รายได้ผลผลิตน้ำนมดิบ
4,2564,316946000,กิโลกรัม,ปริมาณน้ำนมดิบต่อปี
5,2564,19,บาทต่อกิโลกรัม,ราคาน้ำนมดิบ
6,2564,6021974000,บาท,รายได้ผลผลิตน้ำนมดิบ
7,2565,291753830,กิโลกรัม,ปริมาณน้ำนมดิบต่อปี
8,2565,20,บาทต่อกิโลกรัม,ราคาน้ำนมดิบ
9,2565,5835076600,บาท,รายได้ผลผลิตน้ำนมดิบ
10,2566,323231000,กิโลกรัม,ปริมาณน้ำนมดิบต่อปี
11,2566,21.75,บาทต่อกิโลกรัม,ราคาน้ำนมดิบ
12,2566,7030274250,บาท,รายได้ผลผลิตน้ำนมดิบ
13,2567,249998000,กิโลกรัม,ปริมาณน้ำนมดิบต่อปี
14,2567,21.75,บาทต่อกิโลกรัม,ราคาน้ำนมดิบ
15,2567,5437456500,บาท,รายได้ผลผลิตน้ำนมดิบ
