เงินทุนรวม,ประกอบกิจการ,อำเภอ,TSIC,ถนน,GPS_lat,ซอย,FID,คนงานรวม,ลำดับ,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,อนุญาต,ตำบล,factype,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,GPS_lng,สิ้นอายุ,คนงานหญิง
2810000,ตัดเย็บเสื้อผ้าสำเร็จรูป,เมืองนนทบุรี,14111,งามวงศ์วาน,13.86341667,ธนาคารอาคารสงเคราะห์ 10,-10120300225301-,39,1,11000,นนทบุรี,2,เลขที่ 500,56.3,5880034,01/10/1450,บางเขน,2,1,1,2-28(1)-2/30นบ,บริษัท เอ็น เอ แอพพาเรล จำกัด,100.5382333,,38
4000000,ผลิตพื้นคอนกรีตสำเร็จรูป,บางกรวย,23953,บางบัวทอง-ตลิ่งชัน,, ,-10120000825335-,60,2,11130,นนทบุรี,2,เลขที่ 68/2,33, ,02/11/1447,บางคูเวียง,2,40,2,2-58(1)-8/33นบ,บริษัท คอนกรีตบางบัวทอง จำกัด,,,20
192350000,ผลิตอาหารจากแป้ง เช่น ซาลาเปา,ไทรน้อย,10743,บางเลน-ปทุมธานี,13.954526,,-10120058125638-,280,3,11150,นนทบุรี,2,เลขที่ ,6759.28,02-2815694,24/03/1477,ไทรน้อย,3,110,3,3-10(3)-3/63นบ,บริษัท วราภรณ์ สมพงษ์ ฟู้ดส์ จำกัด,100.429832,,170
80000000,ทำเส้นหมี่ขาวและเส้นก๋วยเตี่ยว,ไทรน้อย,10743,ปทุมธานี-บางเลน,100.272084,วัดสโมสร,-10120000525554-,70,4,11150,นนทบุรี,9,เลขที่ 45,2999,02-1506697,27/06/1469,ไทรใหญ่,3,35,4,3-10(3)-5/55นบ,บริษัท สหปั้นข้าว จำกัด,,14.045418,35
,ทำเส้นก๋วยเตี๋ยว,ไทรน้อย,126000000000,,27/05/1478,,-10120310625649-,200000,5,,นนทบุรี,4,เลขที่ 15/6,8,,11200,ราษฎร์นิยม,,3500000,5,3-10(3)-5/64นบ,ก๋วยเตี๋ยวธนาสิน,29/09/1482,1,3700000
,แกะสลักลวดลายกระจก,เมืองนนทบุรี,126000000000,,31/01/1452,งามวงศ์วาน 9 แยก 13,-10120700125358-,2000000,6,,นนทบุรี,,เลขที่ 8,28,,800,บางกระสอ,,15000000,6,3-100(4)-1/35นบ,บริษัท กระจกศิริรัตน์ จำกัด,08/09/1449,1,2000000
,ชุบโลหะ,เมืองนนทบุรี,3100000000000,สามัคคี,18/04/1452,สามัคคี 49 แยก 3,-10120300125204-,30000,7,,นนทบุรี,,เลขที่ 16,12,,185,ท่าทราย,,140000,7,3-100(5)-1/20นบ,บริษัท ด.บุนนาค นนทบุรี จำกัด,01/12/1434,1,70000
,ชุบโลหะ,บางกรวย,3191015822,รุ่งประชา,08/03/1450,,-10120200225336-,100000,8,,นนทบุรี,4,เลขที่ 7/12,18,,800,วัดชลอ,,800000,8,3-100(5)-2/33นบ,บริษัท 3 เอสเพลท จำกัด,21/06/1447,1,800000
,ผลิตไอน้ำ,ไทรน้อย,103000000000,ฤชุพันธ์,14/07/1474,,-10120000125603-,5000000,9,,นนทบุรี,4,เลขที่ ,9,,64000,ไทรใหญ่,,2000000,9,3-102-1/60นบ,บริษัท เมโทร พาเนล จำกัด,27/09/1474,1,100000000
,"ทำการตัด, อัด, กรีดผ่า, บดแยกชิ้นส่วนเศษสายไฟฟ้า",เมืองนนทบุรี,124000000000,วัดโบสถ์-ท่าน้ำ,27/08/1459,,-10120400125450-,6000000,10,,นนทบุรี,8,เลขที่ 59/28,5,,4800,บางกร่าง,,15000000,10,3-105-1/45นบ,ห้างหุ้นส่วนจำกัด จิตรเกษมโลหะ,25/09/1459,1,600000
