แรงม้า,GPS_lng,ตำบล,ประกอบกิจการ,พื้นที่อาคาร,คนงานรวม,เลขทะเบียนเดิม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,อนุญาต,ลำดับ,หมู่,พื้นที่โรงงาน,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,คนงานหญิง,_id,เริ่มดำเนินการ,FID,อำเภอ,สิ้นอายุ,GPS_lat,เงินทุนรวม
56.3,100.5382333,บางเขน,ตัดเย็บเสื้อผ้าสำเร็จรูป,336,39,2-28(1)-2/30นบ,งามวงศ์วาน,เลขที่ 500,1,นนทบุรี,5880034,1993-01-10T00:00:00,1,2,540,ธนาคารอาคารสงเคราะห์ 10,บริษัท เอ็น เอ แอพพาเรล จำกัด,11000,14111,38,1,1987-02-20T00:00:00,-10120300225301-,เมืองนนทบุรี,,13.86341667,2810000
33,,บางคูเวียง,ผลิตพื้นคอนกรีตสำเร็จรูป,1500,60,2-58(1)-8/33นบ,บางบัวทอง-ตลิ่งชัน,เลขที่ 68/2,40,นนทบุรี, ,1990-02-11T00:00:00,2,2,3200, ,บริษัท คอนกรีตบางบัวทอง จำกัด,11130,23953,20,2,1990-02-11T00:00:00,-10120000825335-,บางกรวย,,,4000000
6759.28,100.429832,ไทรน้อย,ผลิตอาหารจากแป้ง เช่น ซาลาเปา,9544,280,3-10(3)-3/63นบ,บางเลน-ปทุมธานี,เลขที่ ,110,นนทบุรี,02-2815694,2020-03-24T00:00:00,3,2,28192,,บริษัท วราภรณ์ สมพงษ์ ฟู้ดส์ จำกัด,11150,10743,170,3,,-10120058125638-,ไทรน้อย,,13.954526,192350000
2999,100.272084,ไทรใหญ่,ทำเส้นหมี่ขาวและเส้นก๋วยเตี่ยว,1980,70,3-10(3)-5/55นบ,ปทุมธานี-บางเลน,เลขที่ 45,35,นนทบุรี,02-1506697,2012-06-27T00:00:00,4,9,37124,วัดสโมสร,บริษัท สหปั้นข้าว จำกัด,11150,10743,35,4,2014-05-26T00:00:00,-10120000525554-,ไทรน้อย,2024-01-01T00:00:00,14.045418,80000000
2475,100.344913,ราษฎร์นิยม,ทำเส้นก๋วยเตี๋ยว,900,11,3-10(3)-5/64นบ,,เลขที่ 15/6,8,นนทบุรี,02-985-5927,2021-05-27T00:00:00,5,4,11200,,ก๋วยเตี๋ยวธนาสิน,11150,10743,3,5,,-10120310625649-,ไทรน้อย,,14.071119,14900000
135.25,100.5285833,บางกระสอ,แกะสลักลวดลายกระจก,568,38,3-100(4)-1/35นบ,,เลขที่ 8,28,นนทบุรี,5896696,1995-01-31T00:00:00,6,,800,งามวงศ์วาน 9 แยก 13,บริษัท กระจกศิริรัตน์ จำกัด,11000,25922,10,6,1992-08-09T00:00:00,-10120700125358-,เมืองนนทบุรี,2022-01-01T00:00:00,13.86223333,19000000
172.9,100.5333833,ท่าทราย,ชุบโลหะ,185,12,3-100(5)-1/20นบ,สามัคคี,เลขที่ 16,12,นนทบุรี,5881688,1995-04-18T00:00:00,7,,185,สามัคคี 49 แยก 3,บริษัท ด.บุนนาค นนทบุรี จำกัด,11000,25921,0,7,1977-01-12T00:00:00,-10120300125204-,เมืองนนทบุรี,2020-01-01T00:00:00,13.88353333,340000
149.17,100.476,วัดชลอ,ชุบโลหะ,192,18,3-100(5)-2/33นบ,รุ่งประชา,เลขที่ 7/12,18,นนทบุรี,02-4475821,1993-08-03T00:00:00,8,4,800,,บริษัท 3 เอสเพลท จำกัด,11130,25921,0,8,1990-06-21T00:00:00,-10120200225336-,บางกรวย,2023-01-01T00:00:00,13.79751667,2100000
11884.13,100.307987,ไทรใหญ่,ผลิตไอน้ำ,18850,9,3-102-1/60นบ,ฤชุพันธ์,เลขที่ ,9,นนทบุรี,,2017-07-14T00:00:00,9,4,64000,,บริษัท เมโทร พาเนล จำกัด,11150,35302,0,9,2017-09-27T00:00:00,-10120000125603-,ไทรน้อย,2022-01-01T00:00:00,14.11476,116500000
61.5,100.452134,บางกร่าง,"ทำการตัด, อัด, กรีดผ่า, บดแยกชิ้นส่วนเศษสายไฟฟ้า",600,10,3-105-1/45นบ,วัดโบสถ์-ท่าน้ำ,เลขที่ 59/28,5,นนทบุรี,0-2903-5208,2002-08-27T00:00:00,10,8,4800,,ห้างหุ้นส่วนจำกัด จิตรเกษมโลหะ,11000,38211,5,10,2002-09-25T00:00:00,-10120400125450-,เมืองนนทบุรี,2022-01-01T00:00:00,13.84623665,23600000
