_id,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน
1,ข3-42(1)-1/41รย,1,บริษัท ไออาร์พีซี จำกัด (มหาชน)
2,ข3-42(1)-2/41รย,2,บริษัท ไออาร์พีซี จำกัด (มหาชน)
3,ข3-42(1)-3/41รย,3,บริษัท ไออาร์พีซี จำกัด (มหาชน)
4,ข3-42(1)-4/41รย,4,บริษัท ไออาร์พีซี จำกัด (มหาชน)
5,ข3-42(1)-4/55รย,5,บริษัท ไออาร์พีซี จำกัด (มหาชน)
6,ข3-42(1)-9/62รย,6,บริษัท ไทย เคียววะ ไบโอเทคโนโลยีส์ จำกัด
7,ข3-44-1/25รย,7,บริษัท ไออาร์พีซี จำกัด (มหาชน)
8,ข3-44-1/34รย,8,บริษัท ไออาร์พีซี จำกัด (มหาชน)
9,ข3-44-1/36รย,9,บริษัท ไดอะโพลีอะคริเลต จำกัด
10,ข3-44-1/59รย,10,บริษัท ไออาร์พีซี จำกัด (มหาชน)
11,ข3-44-2/59รย,11,บริษัท ไออาร์พีซี จำกัด (มหาชน)
12,ข3-44-4/59รย,12,บริษัท ไออาร์พีซี จำกัด (มหาชน)
13,ข3-48(2)-3/59รย,13,บริษัท ไออาร์พีซี จำกัด (มหาชน)
14,ข3-48(6)-1/45รย,14,บริษัท ไออาร์พีซี จำกัด (มหาชน)
15,ข3-49-1/41รย,15,บริษัท ไออาร์พีซี จำกัด (มหาชน)
16,ข3-49-1/43รย,16,บริษัท ไออาร์พีซี จำกัด (มหาชน)
17,ข3-49-1/58รย,17,บริษัท ไออาร์พีซี จำกัด (มหาชน)
18,ข3-49-2/41รย,18,บริษัท ไออาร์พีซี จำกัด (มหาชน)
19,ข3-50(4)-1/41รย,19,บริษัท ไออาร์พีซี จำกัด (มหาชน)
20,ข3-53(5)-55/51รย,20,บริษัท ไออาร์พีซี จำกัด (มหาชน) (CD1)
21,ข3-53(5)-56/59รย,21,บริษัท ไออาร์พีซี จำกัด (มหาชน)
22,ข3-53(5)-58/59รย,22,บริษัท ไออาร์พีซี จำกัด (มหาชน)
23,จ3-58(1)-21/57รย,23,บริษัท นครหลวงคอนกรีต จำกัด
24,จ3-58(1)-135/47รย,24,บริษัท นครหลวงคอนกรีต จำกัด
25,ข3-88-1/36รย,25,บริษัท ไออาร์พีซี จำกัด (มหาชน)
26,ข3-101-1/35รย,26,บริษัท ไออาร์พีซี จำกัด (มหาชน)
27,ข3-101-2/53รย,27,บริษัท ไออาร์พีซ๊ จำกัด (มหาชน)
28,ข3-42(1)-3/54รย,28,บริษัท อูเบะไฟน์ เคมิคอลล์ (เอเชีย) จำกัด
29,ข3-44-1/40รย,29,บริษัท อูเบะ เคมิคอลส์ (เอเชีย) จำกัด (มหาชน)
30,ข3-44-2/40รย,30,บริษัท ยางสังเคราะห์ไทย จำกัด
31,จ3-58(1)-2/45รย,31,บริษัท คิวมิกซ์ซัพพลาย จำกัด
32,ข3-90-4/50รย,32,บริษัท ไออาร์พีซี จำกัด (มหาชน)
