ประกอบกิจการ,ประเภท,เงินทุน,หมู่,ถนน,TSIC,คนงาน,เลขทะเบียนเดิม,โทรศัพท์,เลขทะเบียนโรงงาน,_id,แรงม้า,ชื่อโรงงาน,ตำบล,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,ไปรษณีย์
ปรับปรุงคุณภาพและคัดแยกข้าวสาร 80 ตัน/วัน,209,57000000,6,บุรีรัมย์-สตึก,28240,37,จ3-2(9)-1/46บร,01/8769958,20310000125467,1,404,บริษัท บุรีรัมย์สหสินข้าวไทย จำกัด,ในเมือง,,เมืองบุรีรัมย์,175,บุรีรัมย์,บริษัท บุรีรัมย์สหสินข้าวไทย จำกัด,31000
ทำน้ำแข็งก้อนเล็ก ได้วันละ 140 ตัน/วัน,1400,9100000,,ธานี,10795,7,3-14-1/29บร,044-611619,10310100125294,2,940.93,ห้างหุ้นส่วนจำกัด ชัยศิริบุรีรัมย์,ในเมือง,,เมืองบุรีรัมย์,46/5,บุรีรัมย์,ห้างหุ้นส่วนจำกัด ชัยศิริบุรีรัมย์,31000
"พิมพ์สิ่งพิมพ์ต่างๆ,ทำสำเนา,เย็บเข้าเล่ม หรือตกแต่งสิ่งพิมพ์",4101,11000000,-,รมย์บุรี,17092,19,จ3-41(1)-4/63บร,0818785188,20310033425637,3,98.13,ร้านเรวัตการพิมพ์,ในเมือง,-,เมืองบุรีรัมย์,26/3,บุรีรัมย์,นายเรวัต ประหยัดรัตน์,31000
กลึงและเชื่อมโลหะทั่วไป,6413,1800000,,บุรีรัมย์-พุทไธสง,25922,6,จ3-64(13)-1/36บร,0924835544,20310100125367,4,164.36,บริษัท สง่ายนต์ ออโต้เวิร์ค จำกัด,ในเมือง,,เมืองบุรีรัมย์,175/7,บุรีรัมย์,บริษัท สง่ายนต์ ออโต้เวิร์ค จำกัด,31000
ทำและซ่อมอุปกรณ์ชิ้นส่วนของเครื่อง เช่น น๊อต สกูร ฯลฯ,6500,9500000,,รมย์บุรี,33121,16,จ3-65-3/36บร,612394,20310000325364,5,78,โรงกลึงบุรีรัมย์,ในเมือง,,เมืองบุรีรัมย์,4/1 - 3,บุรีรัมย์,นางสาวเอมิกา ว่องโชติกุล,31000
ซ่อมรถยนต์,9501,1440000,,ธานี,33121,20,3-95(1)-1/29บร,044616812,10310200125293,6,127.87,บริษัท คิงส์ยนต์ จำกัด สาขาบุรีรัมย์,ในเมือง,,เมืองบุรีรัมย์,35/13-14,บุรีรัมย์,บริษัท คิงส์ยนต์ จำกัด,31000
โม่ บด ย่อยหิน,301,29900000,4,บุรีรัมย์-ประโคนชัย,23961,175,3-3(1)-1/36บร,044-614414,10310000125360,7,2128.5,บริษัท ศิลาชัยบุรีรัมย์ (1991) จำกัด,อิสาณ, ,เมืองบุรีรัมย์,30/2,บุรีรัมย์,บริษัท ศิลาชัยบุรีรัมย์ (1991) จำกัด,31000
โม่ บด ย่อยหิน กำลังการผลิต 39600 ลูกบาศก์เมตรต่อปี,301,9100000, 13,บุรีรัมย์-สุรินทร์,23961,45,3-3(1)-1/37บร, ,10310000125378,8,4024.5,บริษัท เหมืองหินราช จำกัด,อิสาณ,บ้านโคกขุนสมาน,เมืองบุรีรัมย์,1,บุรีรัมย์,บริษัท เหมืองหินราช จำกัด,
โม่ บด หรือย่อยหิน,301,78000000,19,บุรีรัมย์-สุรินทร์,23961,78,ธ3-3(1)-1/48บร,,30310000125481,9,3140,บริษัท หินเพชร จำกัด,อิสาณ,,เมืองบุรีรัมย์,21,บุรีรัมย์,บริษัท หินเพชร จำกัด,31000
โรงฆ่าสุกร,401,7500000,1,,10111,8,จ3-4(1)-4/62บร,084-8356874,20310025225623,10,81.9,กู้-เกียว,อิสาณ,,เมืองบุรีรัมย์,203,บุรีรัมย์,นายสมชาย แพพิพัฒน์,31000
