แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
448.9,บ้านทราย,อบข้าว,จ3-2(1)-13/58ลบ,,1/1,201,ลพบุรี,0861252025,44000000,6,20160001325586,นายสมัชชา บัณฑิตย์วิไล,,,15110,1630,1,บ้านหมี่,3
509.5,บ้านทราย,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 150 เกวียน/วัน),3-9(1)-96/15ลบ,บ้านหมี่- โคกสำโรง,1,901,ลพบุรี,471395,8500000,6,10160009625153,นายสมัชชา บัณฑิตย์วิไล,,ไทยบัณฑิตย์ 1,15110,10611,2,บ้านหมี่,6
15957.51,ดงพลับ,ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ กำลังการผลิต 5.9 เมกะวัตต์,3-88(1)-74/58ลบ,,"โฉนดที่ดินเลขที่ 1490,590",8801,ลพบุรี,,530000000,1,40160007425584,บริษัท มีเดียมาร์ค จำกัด,,บริษัท มีเดียมาร์ค จำกัด (โครงการดงพลับ โซล่าร์ฟาร์ม),10220,35101,3,บ้านหมี่,12
550,บ้านชี,สีข้าวชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 70 เกวียน/วัน,3-9(1)-1/41ลบ,สายบ้านหมี่-ท่าวุ้ง,142,901,ลพบุรี,,115000000,1,10160100125418,ห้างหุ้นส่วนจำกัด โรงสีย่งเส็ง 5 (บ้านชี),,ห้างหุ้นส่วนจำกัด โรงสีย่งเส็ง 5 (บ้านชี),15110,10611,4,บ้านหมี่,28
495,บ้านชี,สีข้าว กำลังการสีสูงสุดของร้านสีข้าว 150 ตัน/วัน,จ3-9(1)-63/55ลบ,,52,901,ลพบุรี,,33000000,8,20160006325557,"นางสาวณัทณิชานันท์ หุ่นสุวรรณ,นางสาวพิมพ์พิชชา ตั้งทรงเจริญ",,โรงสีหุ่นวัฒนา,15110,10611,5,บ้านหมี่,10
150,พุคา,สีข้าวชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 30 เกวียน/วัน),จ3-9(1)-2/36ลบ,,114,901,ลพบุรี,,2186400,2,20160100225364,นางสาวพรรัตน์ ขำสกุล,,โรงสีจิตรเจริญ,15110,10611,6,บ้านหมี่,4
758.37,หินปัก,สีข้าวชนิดแยกแกลบแยกรำ,จ3-9(1)-2/45ลบ,สายหินปัก-หนองหม่วง,46,901,ลพบุรี,,50000000,6,20160100225455,นายชัยรัตน์ หาญสกุล,,โรงสีศรีธัญญาวัฒนา,15110,10611,7,บ้านหมี่,4
96,หินปัก,ผลิตคอนกรีตผสมเสร็จ,จ3-57(3)-3/49ลบ,,37,5703,ลพบุรี,,48500000,2,20160100325495,บริษัท ป๊อกกะเป้ คอนสตรัคชั่น จำกัด,,บริษัท ป๊อกกะเป้ คอนสตรัคชั่น จำกัด,15110,23952,8,บ้านหมี่,9
457.5,หินปัก,ผลิต ประกอบ ดัดแปลง และซ่อมแซมเครื่องจักรสำหรับใช้ในการกสิกรรม,จ3-66-2/45ลบ,-,99,6600,ลพบุรี,036-471539,2750000,9,20160200225454,นายชูกิจ เจินสหกิจ,-,อู่ชัยยศบ้านหมี่,15110,28219,9,บ้านหมี่,25
130,หินปัก,ผลิต ประกอบ ดัดแปลง และซ่อมแซมเครื่องจักรสำหรับใช้ในการกสิกรรม,จ3-66-3/37ลบ,บ้านหมี่-โคกสำโรง,147,6600,ลพบุรี,471539,540000,9,20160000325371,นายชูกิจ เจินสหกิจ,,อู่ชัยยศบริการ,15110,28219,10,บ้านหมี่,7
