ถนน,เลขที่,ซอย,ประเภท,เงินทุน,แรงม้า,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
ประชาสำราญ 2,เลขที่ 29/6,-,105,"515,000",2,1,9,3-105-6/48,1,มิตรไพบูลย์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,3
เชื่อมสัมพันธ์,เลขที่ 67/16,-,101,,109.4,2,6,3-101-1/45,2,บริษัท มหาจักรออโตพาร์ท จำกัด,ปรับคุณภาพน้ำเสียรวม,02-543-1212,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
สุวินทวงศ์,เลขที่ 3/356-357,-,106,,73.86,3,9,ข3-106-18/48,3,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,02-5435436-7,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
-,เลขที่ 66,#NAME?,106,"65,000,000",310,4,13,น.106-1/2551-นนล.,4,บริษัท โลหะ สยาม จำกัด,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02739-6388,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 92/78-79,,105,"120,000,000","1,247.00",5,33,3-105-51/59,5,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0892029400,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
รามคำแหง,เลขที่ 348,,101,"20,000,000",270.68,6,5,3-101-1/38,6,บริษัท โอสถสภา จำกัด (มหาชน),"บำบัดน้ำทิ้งรวมได้4,800ลูกบาศก์เมตร/วัน",3511123-24,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
,เลขที่ 4/14,,105,"49,000,000",457,7,7,3-105-85/59,7,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-9565899,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,6
นิมิตใหม่,เลขที่ 9,,101,"8,035,000",83.05,8,1,3-101-4/41,8,บริษัท อาหารยอดคุณ จำกัด,บำบัดน้ำเสียอันเกิดจากกระบวนการผลิตรวมทั้งน้ำเสียอื่นๆของริษัทอาหารยอดคุณจำกัดและบริษัทยูนิแชมป์จำกัด,02-181-0036-45,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 66,ฉลองกรุง31,106,,329.5,9,,น.106-1/2553-นนล.,9,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,0814334212,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
หทัยราษฎร์,เลขที่ 888,,105,"175,000,000",795,10,30,3-105-69/59,10,บริษัท ไคฮวดจั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,029565125,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
