เงินทุนรวม,ประกอบกิจการ,อำเภอ,ถนน,ซอย,FID,คนงานรวม,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,แรงม้าตรวจพบ,รายการ,คนงานหญิง
" 11,080,000 ",คัดแยกเศษวัสดุเหลือใช้ เศษกระดาษ เศษเหล็ก พลาสติก ทองแดง,เมืองปทุมธานี,,,-10130500125458-,10,12000,ปทุมธานี,5,เลขที่ 2/4, 144.00 ,,บางพูน,บริษัท ไทย รีไซเคิล แอนด์ เซอร์วิส จำกัด,7,1,3-105-1/45ปท,บริษัท ไทย รีไซเคิล แอนด์ เซอร์วิส จำกัด, 144.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 67,860,000 ",คัดแยกเศษวัสดุ โดยไม่ฝังกลบ,เมืองปทุมธานี,เลียบคลองรังสิต,,-10130300125468-,19,12000,ปทุมธานี,5,เลขที่ 19/7, 97.00 ,0-2567-0730,บางพูน,ห้างหุ้นส่วนจำกัด เอกสมพร,8,2,3-105-1/46ปท,ห้างหุ้นส่วนจำกัด เอกสมพร, 97.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,11
" 15,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,,,-10130016025648-,12,12150,ปทุมธานี,3,"เลขที่ โฉนดที่ดินเลขที่ 184523,184524,184525", 290.00 ,,ลำไทร,บริษัท พรกอบโชค จำกัด,7,3,3-105-1/64ปท,บริษัท พรกอบโชค จำกัด, 290.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 5,500,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น กระดาษ พลาสติก ไม้ โลหะทุกชนิด,คลองหลวง,,,-10130012325661-,7,12120,ปทุมธานี,14,เลขที่ 26/113, 184.00 ,815598845,คลองสอง,บริษัท รวีโรจน์ แพคกิ้งแอนด์เซอรืวิส จำกัด,5,4,3-105-10/66ปท,บริษัท รวีโรจน์ แพคกิ้งแอนด์เซอร์วิส จำกัด, -   ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,2
" 3,500,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตัดและอัดเศษโลหะ และบดย่อยเศษพลาสติก,ลำลูกกา,เลียบคลองเจ็ด (ตะวันออก), -,-10130010025495-,10,12150,ปทุมธานี,16,เลขที่ 9/4, 170.00 ,0 2510 6587,ลำลูกกา,บริษัท เจริญวัฒน์ รีไซเคิล แอนด์ เวสต์ แมเนจเม้นท์ จำกัด,5,5,3-105-100/49ปท,บริษัท เจริญวัฒน์ รีไซเคิล แอนด์ เวสต์ แมเนจเม้นท์ จำกัด, 170.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 5,600,000 ",คัดแยกวัสดุที่ไม่ได้ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,สามโคก,ปทุมทอง-พหลโยธิน,,-10130010125618-,6,12160,ปทุมธานี,6,เลขที่ โฉนดเลขที่ 6914," 10,500.00 ",08-9968-2723,สามโคก,บริษัท สแครปไทย จำกัด,4,6,3-105-101/61ปท,บริษัท สแครปไทย จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,2
" 75,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดหลุมแก้ว,กาญจนาภิเษก,,-10130470125645-,30,12140,ปทุมธานี,3,"เลขที่ โฉนดที่ดินเลขที่ 49975, 49976, 43310, 48994"," 2,382.15 ",02 9205144,คลองพระอุดม,บริษัท ธนานุกูลชัย จำกัด,20,7,3-105-106/64ปท,บริษัท ธนานุกูลชัย จำกัด, -   ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,10
" 25,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130470325641-,26,12120,ปทุมธานี,15,เลขที่ 35/6, 118.81 ,08-4697-6627,คลองห้า,บริษัท บลู เมทัล รีไซเคิล จำกัด,19,8,3-105-107/64ปท,บริษัท บลู เมทัล รีไซเคิล จำกัด, 118.81 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,7
" 200,000 ",คัดแยกวัสดุที่ไม่ได้ใช้แล้ว ที่ไม่เป็นอันตรายจาการผลิตรวมทั้งซื้อและจำหน่ายหลังการคัดแยก,คลองหลวง,เลียบคลองสี่,-,-10130110925479-,51,12120,ปทุมธานี,5,เลขที่ 9/9, 14.00 ,-,คลองสี่,ห้างหุ้นส่วนจำกัด วรินทรรีไซเคิล,48,9,3-105-109/47ปท,ห้างหุ้นส่วนจำกัด วรินทรรีไซเคิล, 14.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 50,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดหลุมแก้ว,บางบัวทอง-สุพรรณบุรี,,-10130010925595-,11,12140,ปทุมธานี,1,เลขที่ โฉนดที่ดินเลขที่ 10668, 264.00 ,,หน้าไม้,บริษัท เอ็มดี เมทัล เทรดดิ้ง จำกัด,11,10,3-105-109/59ปท,บริษัท เอ็มดี เมทัล เทรดดิ้ง จำกัด, 154.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
