จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ยี่ห้อ,รุ่น
1,1,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AIWAYS,U5 LITE SAMPLE
1,2,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AIWAYS,U5 PRIME WITH
1,3,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ALFA ROMEO,4C COUPE
1,4,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ALFA ROMEO,4C SPIDER
1,5,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ALFA ROMEO,
3,6,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ASTON MARTIN,DB11 V8 COUPE
2,7,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ASTON MARTIN,DBS SUPERLEGGERA
1,8,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ASTON MARTIN,DBX
1,9,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ASTON MARTIN,V8 VANTAGE S COUPE
4,10,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ASTON MARTIN,VANTAGE COUPE
1,11,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ASTON MARTIN,VANTAGE ROADSTER
5,12,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A1 SB 35 TFSI S line
1,13,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A1 SPORTBACK 1.4 TFSI
4,14,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A3 SB 35 TFSI S line
10,15,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A4 AV 45 TFSI q S line BE
1,16,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 2.0T FSI COUPE
1,17,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 Coupe 45 TFSI q S line
205,18,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 40 TFSI S line
85,19,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 45 TFSI q S line BE
176,20,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 40 TFSI S line
58,21,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 45 TFSI q S line BE
13,22,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A6 40 TFSI S line
11,23,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A6 AV 45 TFSI q S line BE
1,24,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A6 AV 55 TFSI q S line
8,25,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A7 SB 45 TFSI
12,26,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A7 SB 45 TFSI q
10,27,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A7 SB 55 TFSI q S line
1,28,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A8 L 55 TFSI q Premium
2,29,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A8 L 55 TFSI q Prestige
20,30,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,e-tron 55 q
2,31,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,e-tron GT quattro
13,32,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,e-tron GT quattro PF
12,33,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,e-tron SB 55 q S line
8,34,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q2 35 TFSI
12,35,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 35 TFSI
26,36,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 35 TFSI S line
64,37,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 40 TFSI q S line BE
25,38,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 SB 35 TFSI S line
92,39,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 SB 40 TFSI q S line BE
1,40,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 35 TDI q
3,41,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 40 TDI q
1,42,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 45 TFSI q S line
13,43,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 45 TFSI q S line BE
5,44,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 55 TFSI e q S line
1,45,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 SB 55 TFSIe q S lineBE
1,46,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q7 40 TFSI q
