GPS_lng,ตำบล,ประกอบกิจการ,คนงานรวม,เลขทะเบียนเดิม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPS_lat,เงินทุนรวม
100.3344,กระทุ่มล้ม,ทำแบคกาไลท์ และพีโนลิคเรซิน,35,3-53(6)-1/18นฐ,เพชรเกษม,เลขที่ 49,24,นครปฐม,4201595,5,บริษัท สหไทยเคมีภัณฑ์อุตสาหกรรม จำกัด,พุทธมณฑล 4,บริษัท สหไทยเคมีภัณฑ์อุตสาหกรรม จำกัด,73220,11,1,สามพราน,13.7259,12300000
100.29875,ไร่ขิง,แปรรูปชิ้นส่วนของไก่มาเป็นอาหารสัตว์,819,3-15(2)-1/21นฐ,พุทธมณฑลสาย 5,เลขที่ 87,451,นครปฐม,,9,บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด,,บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด,73210,368,2,สามพราน,13.72035,2489000
100.2694167,ไร่ขิง,ผลิตสุราบรั่นดี ได้เดือนละ 2000 เท,105,3-16-1/18นฐ,เพชรเกษม-ไร่ขิง,เลขที่ 9/9,65,นครปฐม,,7,บริษัท โรงงานสุราพิเศษสุวรรณภูมิ จำกัด,,บริษัท โรงงานสุราพิเศษสุวรรณภูมิ จำกัด,73210,40,3,สามพราน,13.7425,240000000
100.2352,บ้านใหม่,ผลิตสุรากลั่นที่ทำจากผลไม้ประเภทบรั่นดี และสุราแช่ประเภทสุราผลไม้จากองุ่น (ไวน์จากองุ่น) ผลิตสุราขาว สุราผสม สุราปรุงพิเศษหรือสุราพิเศษ,105,3-16-1/36นฐ,เพชรเกษม,เลขที่ 69,40,นครปฐม,,3,บริษัท โรงงานสุราพิเศษสุวรรณภูมิ จำกัด,วัดเทียนดัด,บริษัท โรงงานสุราพิเศษสุวรรณภูมิ จำกัด,73110,65,4,สามพราน,13.68518333,275000000
100.2758667,อ้อมใหญ่,ถักผ้าลูกไม้และย้อมผ้า,275,3-22(3)-8/15นฐ,เพชรเกษม,เลขที่ 18/4,110,นครปฐม,,2,บริษัท สามพรานการทอ จำกัด,การทอ,บริษัท สามพรานการทอ จำกัด,73160,165,5,สามพราน,13.70685,30000000
100.2677667,อ้อมใหญ่,ถักผ้ายืดไนล่อน (จำนวนเครื่องถัก 65 เครื่อง) กรอด้าย ฟอก ย้อม และตัดเย็บเสื้อผ้าสำเร้จรูป (จำนวนจักรเย็บผ้า 156 เครื่อง),570,3-22(2)-4/13นฐ,เพชรเกษม,เลขที่ 21,220,นครปฐม,4201218,2,บริษัท นครหลวงถุงเท้าไนล่อน จำกัด,,บริษัท นครหลวงถุงเท้าไนล่อน จำกัด,73160,350,6,สามพราน,13.70978333,35719217
100.2362833,หอมเกร็ด,ผลิตสุราวิสกี้ บรั่นดี (ตามที่ได้รับอนุญาตจากกรมสรรพสามิต),840,3-16-1/17นฐ,เพชรเกษม,เลขที่ 49,420,นครปฐม,621777,4,บริษัท แสงโสม จำกัด,สุขาภิบาลสามพราน,บริษัท แสงโสม จำกัด,73110,420,7,สามพราน,13.77408333,145000000
100.2764167,ไร่ขิง,ทำยางรัดของ,48,3-52(4)-1/30นฐ,-,เลขที่ 5,29,นครปฐม,4201571,14,บริษัท อุตสาหกรรมไทยรับเบอร์แบน จำกัด,-,บริษัท อุตสาหกรรมไทยรับเบอร์แบน จำกัด,73210,19,8,สามพราน,13.71801667,1350000
100.2452,ท่าตลาด,ฟอกและย้อมผ้า,16,3-22(3)-4/15นฐ,,เลขที่ 101,1,นครปฐม,321701,9,นายพงศศักดิ์ โอวัฒนะสิน,สาย 7,เต็กฮะเฮง,73110,15,9,สามพราน,13.75108333,3700000
100.24705,บ้านใหม่,ทำลูกกวาด ขนมหวานและหมากฝรั่ง,130,3-12(10)-1/23นฐ,เพชรเกษม,เลขที่ 32/5,50,นครปฐม,4201738,1,บริษัท โรงงานลูกกวาดเม่งเซ้ง จำกัด,วัดเทียนดัด,บริษัท โรงงานลูกกวาดเม่งเซ้ง จำกัด,73110,80,10,สามพราน,13.70356667,73000000
