ถนน,เลขที่,ซอย,FID,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
เอกสมบูรณ์,ทำแปรงลวดสำหรับขัดสนิม,6.0,10100206025351,44.25,1000000,1,3-64(9)-60/35,1,6409306035.0,,ห้างหุ้นส่วนจำกัด สินพิพัฒน์โลหะ (1996),12,กรุงเทพมหานคร,เอกชัย,บางบอน,บางบอน,17227.0
 ,ผลิตหรือประกอบตลับผ้าหมึกพิมพ์ (Ribbon Cartridge),,100500225345,1.85,5000000,2,ส3-69-2/34,2,ส06900300234, ,บริษัท เจเอสเจ อินดัสตรี จำกัด,16,กรุงเทพมหานคร,ดำรงรักษ์,บ้านบาตร,ป้อมปราบศัตรูพ่าย,43477.0
นิคมอุตสาหกรรมลาดกระบัง,ผลิตปากกาสำหรับจับวัตถุ (TOGOLE CLAMP) ลิ้นปิดวาล์ว COMPRESSOR,4.0,72030100125301,378.71,42747000,3,น.64(9)-1/2530-ญนล.,3,น06409300130,3269612.0,บริษัท เค สเต โค(เอเซีย) จำกัด,20,กรุงเทพมหานคร,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,90/2
 ,ผลิตผลิตภัณฑ์พลาสติก (หลอดลามิทิวบ์สำหรับบรรจุยาสีฟัน),4.0,72030000125302,547,99500000,4,น.53(4)-1/2530-ญนล.,4,น05304300130,3267569.0,บริษัท เหรียญทองลามิทิวบ์ จำกัด,110,กรุงเทพมหานคร,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,107 นิคมอุตสาหกรรมลาดกระบัง
,เกี่ยวกับผลิตภัณฑ์กระเป๋าถือทุกแบบ ทุกชนิด กระเป๋าสตางค์ทุกแบบ ทุกชนิด เข็มขัดทุกแบบทุกชนิด และส่วนประกอบของกระเป๋าทุกแบบทุกชนิด ที่ทำจากหนังแท้ หนังเทียม ผ้าไนล่อน ใยสังเคราะห์และผลิตภัณฑ์เครื่องหนังทุกชนิด เครื่องใช้สำนักงานและเครื่องประดับที่มีหนังเป็นส่วนประกอบ,4.0,72030000625335,106.84,40000000,5,น.32-6/2533-ญนล.,5,น03201300633,,บริษัท คูอิโป (ประเทศไทย) จำกัด,200,กรุงเทพมหานคร,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,392.0
จรัญสนิทวงศ์ 11,ทำแบบพิมพ์โลหะ และเก้าอี้ตัดผมเสริมสวย,,10100301325383,50.5,700000,6,3-64(9)-13/38,6,6409301338.0,41112654111346.0,บริษัท อินริช เอ็นเทอร์ไพร์ส จำกัด,12,กรุงเทพมหานคร,จรัญสนิทวงศ์,วัดท่าพระ,บางกอกใหญ่,4.0
สุขาภิบาล 1,ซ่อม และพ่นสีรถยนต์,3.0,10100203625351,51.29,1310000,7,3-95(1)-36/35,7,9501303635.0,5211860.0,ห้างหุ้นส่วนจำกัด อุดมชัยเจริญกิจ,10,กรุงเทพมหานคร,รามอินทรา,อนุสาวรีย์,บางเขน,48/6
-,ผลิตเครื่องประดับกายและเจียระไนเพชรพลอย,,82160000225360,0,75080000,8,น.84(1)-2/2536-นอธ.,8,น08401300236,727-150-9,บริษัท เอ็ม เค เอส จิวเวลรี่ อินเตอร์เนชั่นแนล จำกัด,76,กรุงเทพมหานคร,สุขาภิบาล 2,ดอกไม้,ประเวศ,47/1 นิคมฯอัญธานี
 ,ผลิตแผ่นไม้ทำดินสอ และอุปกรณ์เครื่องเขียน,,72010000125288,0,3000000,9,น.36(1)-1/2528-ญนช.,9,น03601300128, ,บริษัท อัครวุฒิ จำกัด,12,กรุงเทพมหานคร,สุขาภิบาล 2,คันนายาว,คันนายาว,43717.0
สุวรรณสวัสดิ์,ทำถุงพลาสติก,,10100000825220,57.59,250000,10,3-53(4)-8/22,10,5304300822.0,2862623.0,ห้างหุ้นส่วนจำกัด ทองฟ้าพลาสติก,8,กรุงเทพมหานคร,พระรามที่ 4,ทุ่งมหาเมฆ,สาทร,131.0
ศรีนครพัฒนา 1,ซ่อมและพ่นสีรถยนต์,,10101200325318,21.75,50000,11,3-95(1)-3/31,11,9501300331.0,3779940.0,อู่เซอร์วิสการช่าง,3,กรุงเทพมหานคร,สุขาภิบาล 1,คลองกุ่ม,บึงกุ่ม,99/22
,ผลิตคอนกรีตผสมเสร็จ,,10100003325392,301.89,3000000,12,3-58(1)-33/39,12,5801303339.0,,โรงงานคอนกรีตผสมเสร็จ พระราม 3,3,กรุงเทพมหานคร,พระราม 3,บางโพงพาง,ยานนาวา,โฉนดที่ดินเลขที่ 44213
ฉลองกรุง 31,ผลิต PREPREC และ LAMINATE,,72030000625384,3456.6,210000000,13,น.72-6/2538-ญนล.,13,น07200300638,,บริษัท ไทยลามิเนต แมนูแฟคเจอเรอร์ จำกัด,100,กรุงเทพมหานคร,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,70.0
พัฒนเวศ,ขัดเพลทแม่พิมพ์,,10101900125299,6,252000,14,3-100(4)-1/29,14,10004300129.0,,นายวีรพล ตันตินิกุลชัย,2,กรุงเทพมหานคร,สุขุมวิท 71,คลองตันเหนือ,วัฒนา,43808.0
สุขาภิบาล 2  ซอย 31,ผลิตเครื่องประดับและอัญมณี,4.0,72160000525365,0,0,15,น.84(1)-5/2536-ญอธ.,15,น08401300536,,บริษัท เทียนโป จิวเวลรี่ จำกัด,45,กรุงเทพมหานคร,,ดอกไม้,ประเวศ,30.0
การนิคมอุตสาหกรรม,ผลิตบัลลาสต์,4.0,72030100125376,330.12,57546739,16,น.71-1/2537-ญนล.,16,น07100300137,02-739-7244,บริษัท วอสโล-ชวาเบ้ (ประเทศไทย) จำกัด,67,กรุงเทพมหานคร,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,250.0
นิคมอุตสาหกรรมบางชัน,ผลิตสี,14.0,72010000125239,0,0,17,น.45(1)-1/2523-ญนช.,17,น04501300123,5170366.0,บริษัท พี เอ็ม เคมิคัล จำกัด,17,กรุงเทพมหานคร,สุขาภิบาลม2,มีนบุรี,มีนบุรี,ก.15
,ผลิตแม่พิมพ์ (MOULDS AND DIES) ชิ้นส่วนรถยนต์,4.0,72030000325332,4425,269932000,18,น.67(7)-3/2533-ญนล.,18,น06707300333,326-0433-6,บริษัท โอกิฮาร่า (ประเทศไทย) จำกัด,165,กรุงเทพมหานคร,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,231 นิคมอุตสาหกรรมลาดกระบัง
 ,ผลิตเครื่องประดับกายและอัญมณี,4.0,72160000325378,0,18750000,19,น.84(1)-3/2537-ญอธ.,19,น08401300337, ,บริษัท ไทย เซเมรุ พิไค จำกัด,52,กรุงเทพมหานคร,สุขาภิบาล 2,ดอกไม้,ประเวศ,48/13นิคมฯอัญธานี
,ทำรองเท้าจากยางและพลาสติก,2.0,10101200125445,446.83,5000000,20,3-52(4)-1/44,20,5204300144.0,8021411.0,ห้างหุ้นส่วนจำกัด สยามชัยรับเบอร์,30,กรุงเทพมหานคร,พัฒนาการ,บางแค,บางแค,110/122-123
,ผลิตชิ้นส่วนอิเล็คทรอนิคส์(QUARTZ GRYSTAL TUNING FORK และ AT CUT GRYSTALS),14.0,72010001225350,1545.62,193000000,21,น.72-12/2535-ญนช.,21,น07200301235,919-9785-9,บริษัท ไทเทียน อีเลคทรอนิคส์ จำกัด,402,กรุงเทพมหานคร,เสรีไทย,มีนบุรี,มีนบุรี,ข 30
