แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
267,ท่าวุ้ง,อบลดความชื้นและกองเก็บรักษาข้าวเปลือก,จ3-2(1)-4/46ลบ,,134,201,ลพบุรี,,35000000,2,20160000000000,นางสุนันทา หนูทอง,,ธีรโชตเจริญกิจ 2,15150,1630,1,ท่าวุ้ง,6
230.46,ท่าวุ้ง,สีข้าวชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 40 เกวียน/วัน,จ3-9(1)-2/44ลบ,บ้านเบิก-หัวสำโรง,130,901,ลพบุรี,,2104868800,2,20160000000000,สหกรณ์การเกษตร ท่าวุ้ง จำกัด,-,โรงสีข้าวสหกรณ์การเกษตร ท่าวุ้ง จำกัด,15150,10611,2,ท่าวุ้ง,6
258.5,ท่าวุ้ง,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 100 เกวียน/วัน,จ3-9(1)-41/51ลบ,สายท่าวุ้ง-บ้านเบิก,134/2,901,ลพบุรี,,25000000,2,20160000000000,บริษัท กสิกรรมไร้สารพิษละโว้ธานี จำกัด,,บริษัท กสิกรรมไร้สารพิษละโว้ธานี จำกัด,15150,10611,3,ท่าวุ้ง,5
148.25,ท่าวุ้ง,ผลิตปุ๋ยอินทรีย์,จ3-43(1)-42/48ลบ,สายท่าวุ้ง-บ้านเบิก,134/2,4301,ลพบุรี,036-622311,4000000,2,20160000000000,บริษัท ปุ๋ยอินทรีย์ชีวภาพลพบุรี จำกัด,-,บริษัท ปุ๋ยอินทรีย์ชีวภาพลพบุรี จำกัด,15150,20121,4,ท่าวุ้ง,5
173.7,ท่าวุ้ง,ผลิตคอนกรีตผสมเสร็จและท่อคอนกรีต,จ3-58(1)-34/60ลบ,สายลพบุรี-สิงห์บุรี,100,5801,ลพบุรี,,19000000,11,20160000000000,บริษัท สิงห์ สุนทร จำกัด,,บริษัท สิงห์ สุนทร จำกัด,16110,23953,5,ท่าวุ้ง,8
156.41,ท่าวุ้ง,คอนกรีตผสมเสร็จ,จ3-58(1)-96/48ลบ,ลพบุรี-สิงห์บุรี,83,5801,ลพบุรี,,9140000000,8,20160000000000,นางกนิษฐา จิระพันธุ์วาณิช,,คอนกรีตผสมเสร็จ ลพบุรี-ท่าวุ้ง,15150,23953,6,ท่าวุ้ง,8
83.42,ท่าวุ้ง,หล่อบรอนซ์ ตกแต่ง ขัด ทำสี,จ3-60-17/51ลบ,,143,6000,ลพบุรี,,35000000,12,20160000000000,บริษัท ร็อคคลา ไฟน์ อาร์ท จำกัด,,บริษัท ร็อคคลา ไฟน์ อาร์ท จำกัด,15150,24101,7,ท่าวุ้ง,25
417.5,บางคู้,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 220 เกวียน/วัน,จ3-9(1)-2/38ลบ,,20,901,ลพบุรี,,9000000,1,20160000000000,บริษัท ทรงทรัพย์เจริญกิจ จำกัด,,ธีรโชติเจริญกิจ,15150,10611,8,ท่าวุ้ง,6
7065.74,โพตลาดแก้ว,สีข้าว แยกแกลบแยกรำกำลังสีสูงสุดของร้านสีข้าว 300 เกวียน/วัน,3-9(1)-1/44ลบ,สายเลี่ยงเมืองลพบุรี,145,901,ลพบุรี,423821,240000000,9,10160000000000,บริษัท โรงสีโชควรลักษณ์รุ่งเรืองกิจ จำกัด,,บริษัท โรงสีโชควรลักษณ์รุ่งเรืองกิจ จำกัด,15150,10611,9,ท่าวุ้ง,40
163,บางงา,ทำเครื่องเรือน หรือเครื่องตบแต่งในอาคารจากไม้,จ3-37-179/58ลบ,,โฉนดที่ดินเลขที่ 15310,3700,ลพบุรี,,974000,7,20160000000000,นายยงยุทธ พุทธา,,นายยงยุทธ พุทธา,15150,31001,10,ท่าวุ้ง,6
1396.85,บางงา,ผลิตผลิตภัณฑ์พลาสติก เช่น เครื่องเรือน เครื่องใช้ ถังน้ำ ฯลฯ,3-53(1)-1/38ลบ,สายบางงา-บ้านหมี่,123,5301,ลพบุรี,,56000000,8,10160100000000,บริษัท ซินเทอร์ พลาสท์ ไทย จำกัด,,บริษัท ซินเทอร์ พลาสท์ ไทย จำกัด,15150,22210,11,ท่าวุ้ง,18
65.5,บางงา,ผลิตผลิตภัณฑ์แผ่นโลหะและอุปกรณ์ เช่น หลังคาหรือผนังอาคาร ประตูม้วน,"อ2-63(2)-125/64ลบ
",สายเอเชีย,138,6302,ลพบุรี,,6360000,7,60160200000000,ห้างหุ้นส่วนจำกัด บีเค เม็ททอลชีท (สิงห์บุรี),,ห้างหุ้นส่วนจำกัด บีเค เม็ททอลชีท (สิงห์บุรี),15150,25111,12,ท่าวุ้ง,5
82.1,บางงา,ซ่อมรถยนต์และศูนย์บริการซ่อมตัวถังและสี,จ3-95(1)-82/59ลบ,,-,9501,ลพบุรี,,10682316,4,20160000000000,บริษัท สิงห์บุรีฮอนด้าคาร์ส์ จำกัด,,บริษัท สิงห์บุรีฮอนด้าคาร์ส์ จำกัด,16000,33121,13,ท่าวุ้ง,7
180,เขาสมอคอน,ขุดดินเพื่อการก่อสร้าง,จ3-3(2)-95/59ลบ,-,โฉนดที่ดินเลขที่ 7091,302,ลพบุรี,,3200000,9,20160000000000,นางวันทนีย์ แดงทอง,-,-,16110,8103,14,ท่าวุ้ง,2
60,เขาสมอคอน,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),จ2-9(1)-18/64ลบ,สายบางงา-ท่าโขลง,47,901,ลพบุรี,,1280000,9,20160200000000,นางถุงเงิน จันทร์จำรัสกุล,,จันทร์จำรัสวัฒนา,15180,10611,15,ท่าวุ้ง,3
66.735,เขาสมอคอน,ผลิตน้ำดื่ม,จ2-20(1)-16/64ลบ,,99,2001,ลพบุรี,,17600000,7,20160200000000,บริษัท เอเอ็นซี อินเตอร์ เนชั่นแนล(ไทยแลนด์)จำกัด,,บริษัท เอเอ็นซี อินเตอร์ เนชั่นแนล(ไทยแลนด์) จำกัด,15180,11041,16,ท่าวุ้ง,8
37788.97,เขาสมอคอน,ผลิตเส้นใยจากขนแกะ และผลิตเส้นใยจากขนสัตว์โดยการสางขนสัตว์,3-22(1)-2/58ลบ,สายบางงา-ท่าโขลง,"61,63",2201,ลพบุรี,,1574964132,11,10160100000000,บริษัท อินโดรามา โฮลดิ้งส์ จำกัด,,บริษัท อินโดรามา โฮลดิ้งส์ จำกัด,10110,13131,17,ท่าวุ้ง,467
54.5,เขาสมอคอน,ทำวงกบบานประตู-หน้าต่างจากไม้,จ3-34(2)-1/36ลบ,,159,3402,ลพบุรี,,1150000,10,20160300000000,นายสุทัศน์ ชอบเพื่อน,,รุ่งเรืองการช่าง,15180,16220,18,ท่าวุ้ง,7
320,เขาสมอคอน,ผลิตปุ๋ยอินทรีย์,จ3-43(1)-15/58ลบ,,465,4301,ลพบุรี,,2700000,9,20160000000000,บริษัท ปุ๋ยเปี่ยมสิน จำกัด,,บริษัท ปุ๋ยเปี่ยมสิน จำกัด,16000,20121,19,ท่าวุ้ง,7
125,เขาสมอคอน,ผลิตปุ๋ยอินทรีย์ ทำปุ๋ยอินทรีย์จากกากตะกอนชีวภาพเฉพาะจากอุตสาหกรรมอาหาร เกษตรแปรรูป เยื่อและกระดาษ,จ3-43(1)-54/55ลบ,,"โฉนดที่ดินเลขที่ 27712,27713 และ7723",4301,ลพบุรี,081-9464103,13250000,9,20160000000000,บริษัท เอสที กรีนเวิลด์ จำกัด ,,บริษัท เอสที กรีนเวิลด์ จำกัด,15180,20121,20,ท่าวุ้ง,10
30079.06,เขาสมอคอน,ผลิตโพลีเอทิลินเทเรฟทาเลท,3-44-1/45ลบ,,61/1,4400,ลพบุรี,036-489116-7,1800000000,11,10160100000000,บริษัท เอเชีย เพ็ท (ไทยแลนด์) จำกัด,,บริษัท เอเชีย เพ็ท (ไทยแลนด์) จำกัด,15180,20131,21,ท่าวุ้ง,150
