_id,แรงม้า (แรงม้า,เงินทุน (ล้านบาท),โรงงาน (โรง),แรงงาน (คน),ปี พ.ศ.
1,"717,061.73"," 15,441.14 ",408," 10,810 ",2556
2,"781,798.50"," 17,744.53 ",436," 11,114 ",2557
3,"788,979.30"," 18,032.93 ",452," 11,282 ",2558
4,"796,038.98"," 18,522.13 ",479," 11,606 ",2559
5,"803,200.59"," 18,944.34 ",504," 11,884 ",2560
6," 803,906.39 ","18,926.52",200,"11,817",2561
7," 767,347.97 ","19,568.32",502,"11,581",2562
8," 534,293.00 ","18,523.61",366,"10,109",2563
9," 771,833.80 ","23,196.80",383,"10,458",2564
10," 786,217.04 ","23,197.60",377,"15,535",2565
11,"783,355.07","22,909.98",376," 15,564 ",2566
12,"971,929.66","25,766.43",395," 15,903 ",2567
13,"975,056.62","25,917.13",396," 15,940 ","2568
ณ กรกฎาคม"
