ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
นิมิตรไหม่,32/2,,172.5,2000000,1,17,3-63(2)-28/57,1,ร้านอัลลอยเซ็นเตอร์,ทำประตู-หน้าต่างเหล็กดัด,,10510,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,1
รามคำแหง,355/3,,105.03,34200000,2,10,3-95(1)-260/58,2,บริษัท ไซม์ ดาร์บี้ ออโต้ เซอร์วิสเซล จำกัด,ซ่อมรถยนต์ พ่นสีรถยนต์,,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,
,1175,เพชรเกษม 63,48.71,850000,3,20,3-37-231/57,3,บริษัท แซนต้า สตีล ไวร์ (2011) จำกัด,ทำเครื่องเรือนจากไม้,,10160,หลักสอง,บางแค,กรุงเทพมหานคร,
พัฒนาการ,1188,พัฒนาการ 30,43,605000000,4,9,3-95(1)-237/56,4,บริษัท เอเอเอส ออโต้เซอร์วิส จำกัด,ศูนย์บริการซ่อมรถยนต์,,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,
,2277,,25.19,9000000,5,7,3-95(1)-153/56,5,บริษัท บริดจสโตน เอ.ซี.ที.(ประเทศไทย) จำกัด,ศูนย์บริการรถยนต์,,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,
อ่อนนุช(สุขุมวิท77),3,อ่อนนุช46,460,8200000,6,60,3-63(2)-28/56,6,บริษัท เซาท์อีสท์เอเชียก่อสร้าง จำกัด,เชื่อมโลหะและทำส่วนประกอบใช้ในการก่อสร้าง,,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,
พัฒนาการ,88,พัฒนาการ 30,49,61000000,7,15,3-95(1)-101/56,7,บริษัท พัฒนาการ ฮอนด้า ออโตโมบิล จำกัด,ซ่อมรถยนต์และส่วนประกอบรถยนต์,,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,
สุวินทวงศ์,30,ร่วมพัฒนา 2,225,15000000,8,28,3-9(3)-2/58,8,บริษัท ยูไนเต็ด โพรเกรส(ไทยแลนด์) จำกัด,"ผลิตเครื่องเทศ,พริกแห้ง และพริกไทย การป่นหรือบดเมล็ดพืชหรือหัวพืช เช่นข้าวสาร ปลายข้าว พริกแห้ง พริกไทย อบเชย เครื่องเทศต่าง ๆ",02-5144320,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,8
สมโภชน์รัตน์โกสินทร์,60/3,,46,1650000,9,7,3-95(1)-39/55,9,อู่กูบแดงเซอร์วิส,ซ่อมและพ่นสีรถยนต์,,10220,ท่าแร้ง,บางเขน,กรุงเทพมหานคร,6
ศรีนครินทร์,253/2,,43,13000000,10,11,3-95(1)-122/55,10,บี-ควิก สาขา ศรีนครินทร์,ศูนย์บริการซ่อมแซมรถยนต์,,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
นาคบำรุง,13-เม.ย.,นาคบำรุง,22.73,1500000,11,12,3-95(1)-134/58,11,บริษัท สวนมะลิการาจ จำกัด,ซ่อมและพ่นสีรถยนต์,,10100,คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,
ฉลองกรุง,352,,384.34,266590000,12,528,น.23(1)-1/2555-นนล.,12,บริษัท ดาสโก้ จำกัด,ผลิตภัณฑ์ที่ทำจากผ้าทุกชนิดพีวีซีไนล่อนและโพลีเอสเตอร์,,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,288,ฉลองกรุง31,53,11500000,13,46,น.77(1)-5/2555-นนล.,13,บริษัท เอส เจ เอส ไฟน์ อิมพอร์ต จำกัด,ซื้อมาขายไปนำเข้าส่งออกรถยนต์รถจักรยานยนต์เรือยานพาหนะทุกชนิดเครื่องยนต์รวมถึงอะไหล่และอุปกรณ์ของผลิตภัณฑ์ดังกล่าวทุกชนิดบริการด้านคลังสินค้าการขนส่งและโลจิสติกส์1.ประกอบกิจการค้าเครื่องจักรเครื่องยนต์เครื่องมือกลเครื่องทุ่นแรงยานพาหนะเครื่องกำเนิดไฟฟ้าเค,02-399-5400,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
,251,ฉลองกรุง31,860.1,0,14,0,น.52(2)-1/2556-นนล.,14,บริษัท ตระกูลหวง อุตสาหกรรม จำกัด,ผลิตแผ่นยาง,818248989,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,"131,133",ซอยฉลองกรุง31,1141.09,13786153000,15,781,น.65-1/2556-นนล.,15,บริษัท อีซูซุเอ็นยิ่น แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,ผลิตหรือประกอบเครื่องยนต์อุปกรณ์ชิ้นส่วนเครื่องยนต์และอุปกรณ์ชิ้นส่วนรถยนต์,23260316,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,370,,0,20000000,16,20,น.77(1)-1/2556-นนล.,16,บริษัท เจ เอ็ม ดับบลิว มอเตอร์ส จำกัด,ปรับปรุงซ่อมแซมสภาพรถยนต์รถจักรยานยนต์รถจักรยานจักรอุตสาหกรรมเครื่องมือที่ใช้ในการเกษตรเครื่องใช้ไฟฟ้าคอมพิวเตอร์เครื่องจักรกลหลอมโลหะขึ้นรูปโลหะทุกชนิดเป็นแท่งเพื่อจำหน่ายซื้อมาขายไปรถยนต์ใหม่ชิ้นส่วนอุปกรณ์รถยนต์นมผงเนยทุกชนิดถั่วลิสงถั่วเหลืองและผลิตภั,23260455,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
ฉลองกรุง,327,,753,8000000,17,20,น.67(7)-1/2555-นนล.,17,บริษัท เวอร์ทิว เทคโนโลยี่ จำกัด,นำเข้า-ส่งออกผลิตเครื่องจักรกลอะไหล่อุปกรณ์ชิ้นส่วนเครื่องจักรกลอุปกรณ์เครื่องตรึงใช้ยึดจับเจาะวัตถุสำหรับกลึงหรืออุปกรณ์จับชิ้นงานในระหว่างกระบวนการผลิตแม่พิมพ์แบบพิมพ์และปากกาจับวัตถุทุกชนิด,27396231,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
จรัญสนิทวงศ์,287/9,จรัญสนิทวงศ์,74.75,495000,18,2,3-63(2)-43/56,18,ป.มงคลชัย,ทำอุปกรณ์สำหรับก่อสร้าง เช่น จอบเหล็ก,,10700,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,
ประชาอุทิเศ,"99,101",ประชาอุทิศ27,63.32,3700000,19,14,3-74(3)-4/55,19,ศรีสุขอุตสาหกรรม,ทำปลั๊กไฟฟ้า,,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,
ราษฎร์บูรณะ,135,,265.23,9000000,20,15,3-2(9)-10/58,20,บริษัท จิ้นหยู่เฮง จำกัด,คัด ร่อน และขัดข้าว,,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
จรัญสนิทวงศ์,292,,46.36,61000000,21,16,3-95(1)-167/55,21,บริษัท เพอร์ฟอร์แมนซ์ มอเตอร์ส (ประเทศไทย) จำกัด,ซ่อมรถยนต์และเครื่องยนต์,,10700,บางอ้อ,บางพลัด,กรุงเทพมหานคร,
จรัญสนิทวงศ์,733/15,จรัญ 57/3,7.9,11800000,22,8,3-37-30/57,22,เจริญศิลป์,ทำเครื่องเรือนจากไม้,,10700,บางบำหรุ,บางพลัด,กรุงเทพมหานคร,
นวมินทร์,41/261,นวลจันทร์,174,47000000,23,70,3-39-14/56,23,บริษัท เปเปอร์บ๊อกซ์ (ประเทศไทย) จำกัด,ทำกล่องกระดาษและพิมพ์สิ่งพิมพ์ต่างๆ ,,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,11
กรุงเทพ-นนทบุรี,376/8,ไสวสุวรรณ,20,7800000,24,2,3-34(1)-41/55,24,รวมชัยการช่าง,กลึงไม้ ทำไม้คิ้ว ไม้บัว ลูกกรงบันไดไม้,,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
,"62,62/1-6",สุขาภิบาล2ซอย31,50.82,9002000000,25,191,น.84(1)-4/2558-ญอธ.,25,บริษัท แพนดอร่า โพรดักชั่น จำกัด,ผลิตเครื่องประดับอัญมณีทุกชนิด,02-7287200,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,
,81,เฉลิมพระเกียรติร.9ซอย48แยก10-1,153,800000,26,77,3-67(1)-1/56,26,บริษัท วู้ดเวลล์ มานูแฟ็คเจอริ่ง จำกัด,ซ่อมแซมเครื่องจักรสำหรับอุตสาหกรรมประดิษฐ์ผลิตภัณฑ์เครื่องเรือนจากไม้ และทำเครื่องเรือน หรือเครื่องตกแต่งภายในอาคารจากไม้,02-3280032,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,
เอกชัย,72/13,สุทธานินทร์,18,550000,27,14,3-36(2)-1/56,27,นางละเอียด พุกพุกุล,ทำสันรองเท้าจากไม้,,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,1
เจริญนคร,298/8,,40,9000000,28,16,3-95(1)-188/55,28,บริษัท ไซม์ ดาร์บี้ มาสด้า (ประเทศไทย) จำกัด,ซ่อมรถยนต์,02-4762222,10600,บุคคโล,ธนบุรี,กรุงเทพมหานคร,
จรัญสนิทวงศ์,35/113-114,,22.45,0,29,3,3-46(2)-5/55,29,ห้างขายยาน้ำเต้าธงชัย,ผลิตยาแผนโบราณ เช่น ยาแก้ลม,,10600,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,
,"โฉนดเลขที่11401,11400",,38.42,9000000,30,7,3-95(1)-61/55,30,บริษัท บริดจสโตน เอ.ซี.ที(ประเทศไทยจำกัด),ศูนย์บริการรถยนต์,,10310,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,
บรมราชชนนี,"โฉนดที่ดินเลขที่ 12742,13706,13707",,80.69,4800000,31,14,3-95(1)-69/57,31,นายพรชัย วันธนู,ซ่อมพ่นสีรถยนต์,,10170,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,23,เทียนทะเล 24,56,5600000,32,6,3-65-6/57,32,อู่กำธรคลีนิคคาร์,"ซ่อมเครื่องยนต์ , และอุปกรณ์เครื่องยนต์ด้วยการกลึง ,และเชื่อมโลหะ",,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,17/1116-8,เทียนทะเล 26,11,2300000,33,2,ข3-37-40/58,33,นายทินกร กลิ่นกลั่น,ทำเฟอร์นิเจอร์ และงานอลูมิเนียม,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
พระรามที่ 2,5,,98.32,40000000,34,25,3-95(1)-157/56,34,บริษัท สยามนิสสันรถดีพระราม 2 จำกัด,ซ่อมรถยนต์ เคาะพ่นสีรถยนต์,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,37,เทียนทะเล26 แยก2,336.8,3000000,35,14,ข3-53(1)-21/55,35,บริษัท เค พี เอ็ม เทคโนโลยี จำกัด,ทำภาชนะเครื่องใช้พลาสติก และผลิตภัณฑ์จากพลาสติก,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
บางขุนเทียน,116/3,เทียนทะเล 24,1191.1,367265533,36,176,3-87(4)-1/55,36,บริษัท เอสเซนทรา จำกัด,ก้นกรองบุหรี่,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,17/284,-,146,0,37,2,ข3-53(1)-39/55,37,สุชาติ มงคลฤดี,ฉีดพลาสติก,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
พระรามที่ 2,31/6,บางกระดี่,473.75,10060000,38,85,3-36(1)-32/58,38,บริษัท เหลียนโห วู้ดเด้น อินดัสทรี่ จำกัด,"ทำตู้ลำโพงเครื่องเรือนจากไม้ และกรอบรูปจากไม้
",,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,144,,127.3,85483873,39,66,3-47(1)-8/57,39,บริษัท เเอดว๊านส์ คอสเมติคส์ จำกัด,"ผลิตเครื่องสำอาง เช่น ครีมทาผิว,แป้งนํ้า,ครีมทาหน้า,ครีมบำรุง ต่างๆ ฯลฯ",,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
บางกระดี่,213,,60.11,6500000,40,12,3-74(3)-2/57,40,นางสาวพัชร์ณัฐ ท้วมรุ่งโรจน์,ผลิตและประกอบโคมไฟฟ้า,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ท่าข้าม,24,ท่าข้าม 14,19,4800000,41,3,3-37-137/57,41,นายสุพล สินธนโสภณ,ทำโครงเก้าอี้ไม้,894478728,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
แสมดำ,28,แสมดำ 1,215,0,42,20,3-53(4)-45/57,42,บริษัท ไทยเฟลคซิเบิลแพค จำกัด,ทำถุงพลาสติก,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,32,บางขุนเทียน 16,19.5,5218115,43,10,3-37-229/56,43,บริษัท เทนดา อินเตอร์เนชั่นแนล กรุ๊ป จำกัด,ผลิตโซฟา เก้าอี้ เตียง,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระรามที่2,137/3,,34.27,125000000,44,10,3-95(1)-87/56,44,บริษัท เมโทร ออโต้เฮ้าส์ จำกัด,ศูนย์บริการซ่อมรถยนต์,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระรามที่ 2,4/114,วัดสะแกงาม,113.5,4600000,45,14,3-72-7/56,45,บริษัท เอ็น.เอส.แมนูแฟคเจอริ่ง จำกัด,ทำชิ้นส่วนเครื่องขยายเสียง,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,1
แสมดำ,"28,30",แสมดำ5,1158,47000000,46,153,3-34(2)-132/55,46,บริษัท แอล อี ฮวด จำกัด,ทำบานประตู-หน้าต่าง และวงกบไม้,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
สาธุประดิษฐ์,981,สาธุประดิษฐ์ 34,191.2,3500000,47,22,3-64(9)-5/58,47,ห้างหุ้นส่วนจำกัด โลหะกรุงทองอุตสาหกรรม,ทำของใช้เล็ก ๆ จากโลหะ เช่น สกรู น๊อต,,10120,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,
ยานนาวา,181,,59.5,396825000,48,15,3-95(1)-107/56,48,บริษัท โยโกตะ มอเตอร์ (ไทยแลนด์) จำกัด,ซ่อมและเคาะพ่นสีรถยนต์,,10120,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,
