ประเภทรอง,ทุนหมุนเวียน,เงินทุนรวม,รหัสแฟ้ม,ประกอบกิจการ,พื้นที่อาคาร,อำเภอ,ta_id,ประเภทย่อย,TSIC,หน่วย,ถนน,GPS_lat,ซอย,FID,คนงานรวม,ลำดับ,ไปรษณีย์,จังหวัด,ค่าอาคาร,หมู่,เลขที่,แรงม้า,ประเภท,โทรศัพท์,ค่าเครื่องจักร,อนุญาต,เริ่มดำเนินการ,กำลังผลิต,ค่าที่ดิน,ตำบล,factype,ผู้ประกอบการ,fflag,คนงานชาย,facreg,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,GPS_lng,แรงม้าตรวจพบ,พื้นที่โรงงาน,สิ้นอายุ,คนงานหญิง
,8000000,9500000,09-263,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,2475,นครชัยศรี,730317,,38211,ตัน/วัน,,13.88369027,,-10730007525611-,115,1,73120,นครปฐม,0,3,เลขที่ 16/2,754,-10500-,,1500000,2018-12-09T00:00:00,2018-09-29T00:00:00,0,0,ดอนแฝก,3,บริษัท อเมริกา เมทัล อินดัสทรี (ประเทศไทย) จำกัด,2,75, 10500307561นฐ,1,3-105-75/61นฐ,บริษัท อเมริกา เมทัล อินดัสทรี (ประเทศไทย) จำกัด,100.3108086,754,10415,2023-01-01T00:00:00,40
,30000000,48000000,09-010,ผลิตอาหารสัตว์ชนิดสารผสมล่วงหน้า (พรีมิกซ์),6100,สามพราน,730610,,10801,ตัน/ปี,พุทธมณฑลสาย 4,13.72036667,,-10730100125210-,189,2,73220,นครปฐม,6000000,8,เลขที่ 48,1751.75,-01501-,02-8143480-5,10000000,1993-09-08T00:00:00,1978-09-29T00:00:00,0,2000000,กระทุ่มล้ม,3,บริษัท อุตสาหกรรมอาหารสัตว์ไทย จำกัด (มหาชน),2,170, 01501300121นฐ,2,3-15(1)-1/21นฐ,บริษัท อุตสาหกรรมอาหารสัตว์ไทย จำกัด (มหาชน),100.29875,0,8000,2018-01-01T00:00:00,19
,130000000,556000000,,"ปั่นด้าย (จำนวนแกนปั่นด้าย 20,000 แกน)",11219,สามพราน,730611,,13131,ตัน/ปี,เพชรเกษม,13.74506667,,-10730000225342-,210,3,73110,นครปฐม,65000000,1,เลขที่ 119/1,1678.5,-02201-,034-324446-7,335000000,1994-05-01T00:00:00,1991-03-14T00:00:00,0,26000000,คลองใหม่,3,บริษัท เอส.วี เท็กซ์ไทล์ จำกัด,2,110, 02201300234นฐ,3,3-22(1)-2/34นฐ,บริษัท เอส.วี เท็กซ์ไทล์ จำกัด,100.1985333,1678.5,11219,2019-01-01T00:00:00,100
,80000000,420000000,110-11,"ปั่นด้าย (จำนวนแกนปั่นด้าย 49,920 แกน)",10140,สามพราน,730615,,13131,ตัน/ปี,เพชรเกษม,13.70341667,วัดเทียนดัด,-10730000225383-,185,4,73110,นครปฐม,40000000,1,เลขที่ 92,8674,-02201-,4290596,300000000,1995-11-08T00:00:00,1997-08-11T00:00:00,0,0,บ้านใหม่,3,บริษัท พิพัฒน์ฟอกย้อม จำกัด,2,45, 02201300238นฐ,4,3-22(1)-2/38นฐ,บริษัท พิพัฒน์ฟอกย้อม จำกัด,100.2470167,5624.9,32000,2022-01-01T00:00:00,140
,10000000,140000000,057-01,ฟอกย้อม เส้นด้าย และผ้า,12600,สามพราน,730615,,13131,ตัน/ปี,เพชรเกษม,13.7035,วัดเทียนดัด,-10730000125351-,205,5,73110,นครปฐม,20000000,1,เลขที่ 92,24137.72,-02203-,4202130,100000000,1995-03-28T00:00:00,1992-01-27T00:00:00,0,10000000,บ้านใหม่,3,บริษัท พิพัฒน์ฟอกย้อม จำกัด,2,30, 02203300135นฐ,5,3-22(3)-1/35นฐ,บริษัท พิพัฒน์ฟอกย้อม จำกัด,100.247,18662.13,49600,2020-01-01T00:00:00,175
,6000000,21000000,09-017,คัด แต่งขนสัตว์ปีก,1440,สามพราน,730601,,15110,ตัน/ปี,เพชรเกษม,13.70746667,วัดเทียนดัด,-10730300125242-,15,6,73110,นครปฐม,5000000,5,เลขที่ 45/13,528.05,-03000-,4201903,10000000,1993-09-22T00:00:00,1981-01-09T00:00:00,0,0,ท่าข้าม,3,บริษัท ทักษิณ เฟ็ธเธอ เวอรคส์ จำกัด,2,5, 03000300124นฐ,6,3-30-1/24นฐ,บริษัท ทักษิณ เฟ็ธเธอ เวอคส์ จำกัด,100.2517,530.96,0,2018-01-01T00:00:00,10
,1000000,5000000,05-020,ผลิตยารักษาโรค,2000,สามพราน,730616,,21001,ตัน/ปี,เพชรเกษม,13.70703333,เทศบาล 13,-10730100225291-,35,7,73160,นครปฐม,2500000,4,เลขที่ 18/5,228,-04601-,4203887,1500000,1995-10-01T00:00:00,1986-05-23T00:00:00,0,0,อ้อมใหญ่,3,บริษัท ห้างขายยาตราเจ็ดดาว จำกัด,2,5, 04601300229นฐ,7,3-46(1)-2/29นฐ,บริษัท ห้างขายยาตราเจ็ดดาว จำกัด,100.2643333,0,16000,2020-01-01T00:00:00,30
,100000,2550000,,ทำอิฐซีเมนต์บล๊อค,420,นครชัยศรี,730312,,23953,ลูกบาศก์เมตร/ปี,เพชรเกษม,13.8057,,-10730400225314-,7,8,73120,นครปฐม,300000,3,เลขที่ 19/5,55.5,-05801-,,150000,1993-10-29T00:00:00,1988-10-21T00:00:00,0,2000000,ศรีษะทอง,3,นายปรีชา ลิ้มดำรงนุกูล,2,7, 05801300231นฐ,8,3-58(1)-2/31นฐ,-,100.1559833,55.5,3244,2019-01-01T00:00:00,0
,8000000,8000000,,ทำหินเจียรไนต่างๆ,1520,สามพราน,730616,,23992,ตัน/ปี,เพชรเกษม,13.7034,กังวาล,-10730800125312-,14,9,73160,นครปฐม,0,8,เลขที่ 149/1,219.58,-05805-,420-1116,0,2004-01-27T00:00:00,1988-02-15T00:00:00,0,0,อ้อมใหญ่,3,บริษัท ยู.เอ.ไทย อินตัสทรี จำกัด,2,8, 05805300131นฐ,9,3-58(5)-1/31นฐ,บริษัท ยู.เอ.ไทย อินตัสทรี จำกัด,100.2739,219.58,2630,2024-01-01T00:00:00,6
74(3),100000,600000,09-012,ผลิตชิ้นส่วนรถจักรยานยนต์ และทำชิ้นส่วนอุปกรณ์การไฟฟ้า,760,สามพราน,730616,,30912,ชุด/ปี,เพชรเกษม,13.7044,หมู่บ้านสามพราน,-10730700125222-,30,10,73160,นครปฐม,0,8,เลขที่ 141,142.85,-07802-,,500000,1994-04-29T00:00:00,1979-05-09T00:00:00,0,0,อ้อมใหญ่,3,บริษัท วีก้า ทูพลัส จำกัด,2,30, 07802300122นฐ,10,3-78(2)-1/22นฐ,บริษัท วีก้า ทูพลัส จำกัด,100.2762,142.85,760,2024-01-01T00:00:00,0
