_id,ปี,ช่วงเกิดภัย,หน่วยราย,วงเงินช่วยเหลือ,จำนวนเกษตรกร,หน่วยไร่,อำเภอ,หน่วยบาท,จำนวนอ้อยโรงงาน,ภัย
1,2561,1-ก.ค.-61,ราย,0.00,0,ไร่,ทัพทัน,บาท,0.00,ฝนทิ้งช่วง
2,2561,1-ก.ค.-61,ราย,"2,296.00",1,ไร่,ลานสัก,บาท, 2.00 ,ฝนทิ้งช่วง
3,2561,1-ก.ค.-61,ราย,"68,880.00",8,ไร่,สว่างอารมณ์,บาท, 60.00 ,ฝนทิ้งช่วง
4,2561,15-ก.ย.-61,ราย,0.00,0,ไร่,สว่างอารมณ์,บาท,0.00,ฝนแล้ง
5,2562,15-ก.ค.-62,ราย,"367,934.00",49,ไร่,ทัพทัน,บาท, 320.50 ,ภาวะฝนแล้ง
6,2562,15-ก.ค.-62,ราย,"2,759,792.00",270,ไร่,บ้านไร่,บาท," 2,404.00 ",ภาวะฝนแล้ง
7,2562,15-ก.ค.-62,ราย,0.00,0,ไร่,เมือง,บาท,0.00,ภาวะฝนแล้ง
8,2562,15-ก.ค.-62,ราย,"2,987,670.00",258,ไร่,ลานสัก,บาท," 2,602.50 ",ภาวะฝนแล้ง
9,2562,15-ก.ค.-62,ราย,"3,683,932.00",286,ไร่,สว่างอารมณ์,บาท," 3,209.00 ",ภาวะฝนแล้ง
10,2562,15-ก.ค.-62,ราย,"48,216.00",5,ไร่,หนองขาหย่าง,บาท, 42.00 ,ภาวะฝนแล้ง
11,2562,15-ก.ค.-62,ราย,"717,500.00",74,ไร่,หนองฉาง,บาท, 625.00 ,ภาวะฝนแล้ง
12,2562,15-ก.ค.-62,ราย,"895,727.00",109,ไร่,ห้วยคต,บาท, 780.25 ,ภาวะฝนแล้ง
13,2562,25-ต.ค.-62,ราย,"776,622.00",76,ไร่,ทัพทัน,บาท, 676.50 ,ภัยแล้ง
14,2562,25-ต.ค.-62,ราย,"1,772,799.00",176,ไร่,บ้านไร่,บาท," 1,544.25 ",ภัยแล้ง
15,2562,25-ต.ค.-62,ราย,0.00,0,ไร่,เมือง,บาท,0.00,ภัยแล้ง
16,2562,25-ต.ค.-62,ราย,"4,398,562.00",328,ไร่,ลานสัก,บาท," 3,831.50 ",ภัยแล้ง
17,2562,25-ต.ค.-62,ราย,0.00,0,ไร่,สว่างอารมณ์,บาท,0.00,ภัยแล้ง
18,2562,25-ต.ค.-62,ราย,0.00,0,ไร่,หนองขาหย่าง,บาท,0.00,ภัยแล้ง
19,2562,25-ต.ค.-62,ราย,0.00,0,ไร่,หนองฉาง,บาท,0.00,ภัยแล้ง
20,2562,25-ต.ค.-62,ราย,0.00,0,ไร่,ห้วยคต,บาท,0.00,ภัยแล้ง
21,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"421,316.00",52,ไร่,ทัพทัน,บาท, 367.00 ,ภาวะฝนแล้ง
22,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"3,566,836.00",269,ไร่,สว่างอารมณ์,บาท," 3,107.00 ",ภาวะฝนแล้ง
23,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,"300,776.00",34,ไร่,หนองฉาง,บาท, 262.00 ,ภาวะฝนแล้ง
24,2563,24 ส.ค. - 5 ต.ค. 2563,ราย,0.00,0,ไร่,หนองขาหย่าง,บาท,0.00,ภาวะฝนแล้ง
25,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"915,750.00",47,ไร่,ทัพทัน,บาท, 462.50 ,ภาวะฝนแล้ง
26,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"10,292,040.00",347,ไร่,สว่างอารมณ์,บาท," 5,198.00 ",ภาวะฝนแล้ง
27,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"4,040,685.00",228,ไร่,บ้านไร่,บาท," 2,040.75 ",ภาวะฝนแล้ง
28,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"2,152,260.00",136,ไร่,ลานสัก,บาท," 1,087.00 ",ภาวะฝนแล้ง
29,2566, 22 พ.ค. - 1 ก.ย. 2566,ราย,"136,620.00",15,ไร่,ห้วยคต,บาท, 69.00 ,ภาวะฝนแล้ง
30,2567,3 ก.ย. 2566 - 15 มี.ค. 2567,ราย,"470,250.00",23,ไร่,ทัพทัน,บาท, 237.50 ,ภาวะฝนแล้ง
31,2567,20 เม.ย. - 22 พ.ค. 2567,ราย,"1,381,050.00",121,ไร่,บ้านไร่,บาท, 697.50 ,กรณีภัยแล้ง
32,2567,20 เม.ย. - 22 พ.ค. 2567,ราย,"241,560.00",28,ไร่,ห้วยคต,บาท, 122.00 ,กรณีภัยแล้ง
