ประเภท,ที่มา,_id,ปี,ประเภทของพืชไร่,งบประมาณ,รายการข้อมูล,หน่วย
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,1,2564,ข้าวโพดเลี้ยงสัตว์,44266.5,พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,2,2564,มันสำปะหลังโรงงาน,605512,พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,3,2564,อ้อยโรงงาน,18522.75,พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,4,2564,มันเทศ,1273,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,5,2564,ข้าวโพดเลี้ยงสัตว์,44252,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,6,2564,มันสำปะหลังโรงงาน,605512,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,7,2564,อ้อยโรงงาน,18522.75,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,8,2564,มันเทศ,857,พืชไร่,ไร่
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,9,2564,ข้าวโพดเลี้ยงสัตว์,36463.65,พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,10,2564,มันสำปะหลังโรงงาน,2325771.59,พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,11,2564,อ้อยโรงงาน,163000.2,พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,12,2564,มันเทศ,2205.9,พืชไร่,ตัน
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,13,2564,ข้าวโพดเลี้ยงสัตว์,824,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,14,2564,มันสำปะหลังโรงงาน,3841,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,15,2564,อ้อยโรงงาน,8800,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,16,2564,มันเทศ,2573.98,พืชไร่,กิโลกรัม
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,17,2565,ข้าวโพดเลี้ยงสัตว์,44993.25,พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,18,2565,มันสำปะหลังโรงงาน,542235,พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,19,2565,อ้อยโรงงาน,3997,พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,20,2565,มันเทศ,2536,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,21,2565,ข้าวโพดเลี้ยงสัตว์,44646.25,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,22,2565,มันสำปะหลังโรงงาน,529497,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,23,2565,อ้อยโรงงาน,3916,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,24,2565,มันเทศ,2489.75,พืชไร่,ไร่
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,25,2565,ข้าวโพดเลี้ยงสัตว์,45843.22,พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,26,2565,มันสำปะหลังโรงงาน,1911219.42,พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,27,2565,อ้อยโรงงาน,38254.03,พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,28,2565,มันเทศ,4660.96,พืชไร่,ตัน
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,29,2565,ข้าวโพดเลี้ยงสัตว์,1026.81,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,30,2565,มันสำปะหลังโรงงาน,3609.5,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,31,2565,อ้อยโรงงาน,9768.65,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,32,2565,มันเทศ,1872.06,พืชไร่,กิโลกรัม
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,33,2566,ข้าวโพดเลี้ยงสัตว์,85374,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,34,2566,มันสำปะหลังโรงงาน,545023,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,35,2566,ข้าวโพดเลี้ยงสัตว์,84942,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,36,2566,มันสำปะหลังโรงงาน,469241,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,37,2566,อ้อยโรงงาน,3499,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,38,2566,ข้าวโพดเลี้ยงสัตว์,68587,พืชไร่,ตัน
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,39,2566,มันสำปะหลังโรงงาน,1606811,พืชไร่,ตัน
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,40,2566,อ้อยโรงงาน,34291,พืชไร่,ตัน
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,41,2566,ข้าวโพดเลี้ยงสัตว์,807,พืชไร่,กิโลกรัม
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,42,2566,มันสำปะหลังโรงงาน,3424,พืชไร่,กิโลกรัม
เนื้อที่เก็บเกี่ยว ,สำนักงานเกษตรจังหวัดอุบลราชธานี,43,2566,อ้อยโรงงาน,9800,พืชไร่,กิโลกรัม
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,44,2567,มันสำปะหลังโรงงาน,496966,พืชไร่,ไร่
เนื้อที่เพาะปลูก,สำนักงานเกษตรจังหวัดอุบลราชธานี,45,2567,อ้อยโรงงาน,3597,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,46,2567,มันสำปะหลังโรงงาน,476711,พืชไร่,ไร่
เนื้อที่เก็บเกี่ยว,สำนักงานเกษตรจังหวัดอุบลราชธานี,47,2567,อ้อยโรงงาน,3597,พืชไร่,ไร่
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,48,2567,มันสำปะหลังโรงงาน,1582681,พืชไร่,ตัน
ผลผลิต,สำนักงานเกษตรจังหวัดอุบลราชธานี,49,2567,อ้อยโรงงาน,35252,พืชไร่,ตัน
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,50,2567,มันสำปะหลังโรงงาน,3320,พืชไร่,กิโลกรัม
ผลผลิตเฉลี่ยต่อไร่,สำนักงานเกษตรจังหวัดอุบลราชธานี,51,2567,อ้อยโรงงาน,9800,พืชไร่,กิโลกรัม
