แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
388,ท่าหลวง,ทำมันเส้น,จ3-9(6)-68/52ลบ,วังม่วง-ลำนารายณ์,,906,ลพบุรี,,3720000,7,20160006825523,นางสาวอัจฉรา ปานทอง,,อัจฉราการเกษตร,15230,10621,1,ท่าหลวง,3
331,ท่าหลวง,ผลิตและผสมอาหารสัตว์,จ3-15(2)-1/60ลบ,,335,1502,ลพบุรี,0859111917,10000000,5,20160100125606,บริษัท วิสคอม ฟีดมิลล์ จำกัด,,บริษัท วิสดอม ฟีดมิลล์ จำกัด,40280,10294,2,ท่าหลวง,5
79.85,ท่าหลวง,ซ่อมชิ้นส่วนอุปกรณ์เครื่องยนต์,3-65-3/26ลบ,สายท่าหลวง-ด่านขุนทด,336,6500,ลพบุรี,,152000,3,10160000325266,นายสมบัติ คำภูมี,,อู่สมบัติเจริญยนต์,15230,28110,3,ท่าหลวง,3
149679.4,แก่งผักกูด,"ผลิตน้ำตาลทรายดิบ น้ำตาลทรายขาวและน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 11,801 ตันอ้อยต่อวัน",3-11(3)-1/33ลบ,บ้านท่าหลวง-แก่งผักกูด,11,1103,ลพบุรี,,1770000000,2,10160000125336,บริษัท อุตสาหกรรมน้ำตาล ที.เอ็น จำกัด,-,บริษัท อุตสาหกรรมน้ำตาล ที.เอ็น จำกัด,15230,10721,4,ท่าหลวง,357
14323.67,แก่งผักกูด,ผลิตแผ่นอัดจากกากอ้อย ได้ 60000 ลูกบาศก์เมตรต่อปี,3-37-1/36ลบ,,35,3700,ลพบุรี,036-497106,25000000,2,10160200125367,บริษัท จีซีบีซี จำกัด,,บริษัท จีซีบีซี จำกัด,15230,31001,5,ท่าหลวง,69
7180,แก่งผักกูด,ผลิตกระดาษอนามัย กระดาษย่น กระดาษห่อของ,3-38(2)-1/41ลบ,บ้านท่าหลวง-แก่งผักกูด,99,3802,ลพบุรี,036-497076,167000000,2,10160200125417,บริษัท กระดาษ วัง เอ็น ที จำกัด,,บริษัท วังเปเปอร์ จำกัด,15230,17012,6,ท่าหลวง,88
151.12,แก่งผักกูด,ผลิตปุ๋ยอินทรีย์,จ3-43(1)-62/52ลบ,,11,4301,ลพบุรี,,5836493,2,20160006225526,บริษัท ดินทอง คอร์ปอเรชั่น จำกัด,,บริษัท ดินทอง คอร์ปอเรชั่น จำกัด,10120,20121,7,ท่าหลวง,18
304.5,ซับจำปา,ทำมันเส้น,จ3-9(6)-3/43ลบ,-,3/1,906,ลพบุรี,497117,7200000,5,20160000325439,นายธนยศ กุลตาธนาศิริ,-,-,15230,10621,8,ท่าหลวง,6
120,ซับจำปา,ทำมันเส้น,จ3-9(6)-4/43ลบ,-,33,906,ลพบุรี,01-9142659,570000,5,20160000425437,นายลออง มะณี,-,,15230,10621,9,ท่าหลวง,3
365,ซับจำปา,ผลิตมันเส้น,จ3-9(6)-8/43ลบ,ชัยบาดาล-ด่านขุนทด,78/2,906,ลพบุรี,,14000000,7,20160000825438,บริษัท ลพบุรี เอนเนอจี จำกัด,-,บริษัท ลพบุรี เอนเนอจี จำกัด,15230,10621,10,ท่าหลวง,10
260,ซับจำปา,ทำลานมัน,จ3-9(6)-12/52ลบ,,90/1,906,ลพบุรี,,4100000,2,20160001225521,นายเมธาพันธ์ กุลตา,,ฐิติวัฒน์ พืชผล,15230,10621,11,ท่าหลวง,5
311,หนองผักแว่น,ทำปุ๋ยชีวภาพ,จ3-43(1)-24/53ลบ,,91,4301,ลพบุรี,,5100000,7,20160002425534,ห้างหุ้นส่วนจำกัด จักรภพการเกษตร,,ห้างหุ้นส่วนจำกัด จักรภพการเกษตร,15230,20121,12,ท่าหลวง,8
352.5,หนองผักแว่น,ผลิตปุ๋ยอินทรีย์,จ3-43(1)-67/55ลบ,,9/2,4301,ลพบุรี,,1200000,7,20160006725558,นายผาไทย เข็มทอง,,นายผาำำไทย เข็มทอง,15230,20121,13,ท่าหลวง,3
388.36,หัวลำ,อบพืชไร่และทำมันเส้น,จ3-2(1)-12/55ลบ,-,36/3,201,ลพบุรี,,78400000,4,20160001225554,บริษัท ส.วิริยะ อินเตอร์เทรด จำกัด,-,บริษัท ส.วิริยะ อินเตอร์เทรด จำกัด,15230,1630,14,ท่าหลวง,12
280,หัวลำ,ทำมันเส้น,จ3-9(3)-1/50ลบ,,133,903,ลพบุรี,,3103000,2,20160000125508,นายโอฬาร หวังศุภกิจโกศล,,ชาญชัยพืชผล,15230,10615,15,ท่าหลวง,3
175,หัวลำ,ทำ มันเส้น,จ3-9(6)-1/43ลบ,-,148,906,ลพบุรี,01-6639900,905000,5,20160200125431,นางผ่องพรรณ ศิริโรจนกุล,-,สมบูรณ์พานิช,15230,10621,16,ท่าหลวง,3
175,หัวลำ,ทำมันเส้น,จ3-9(6)-2/43ลบ,-,,906,ลพบุรี,-,800000,5,20160000225431,นางพิมพ์วดี ปี่ทอง,-,วุฒิชัยพืชผล,15230,10621,17,ท่าหลวง,3
,,,,,,,,,,,,,,,,,18,,
,,,,,,,,,,,ข้อมูลเมื่อวันที่,,,7/2/2024,,,19,,
