ถนน,เลขที่,ซอย,FID,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,เลขที่ โฉนดที่ดินเลขที่ 20100,,10100064925627,180,20890000,1,3-105-17/62,14,นายสหสีห์ ชิตานนท์,063-895-4641,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10240,ทับช้าง,สะพานสูง,กรุงเทพมหานคร,
,เลขที่ 114/3,,10100032525624,264,20000000,2,3-105-8/62,44,นายสิทธิชัย เอื้อโภศิณธ์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,50,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,11
สุขสวัสดิ์ ,เลขที่ 28/11,วัดใหญ่บางปลากด,10110001425565,0,1500000,3,3-105-14/56สป,91,นางวัฒนา สมสอน,869851278,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,4
สุขุมวิท,เลขที่ 322/1,เทศบาลบางปู 88,10110001725550,360,22000000,4,3-105-17/55สป,100,นายไชยพงศ์ ศรีเปรมอนันต์,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,7,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,6
,เลขที่ 73,,10110002325616,498,21000000,5,3-105-23/61สป,110,นางเรณู ศรีบุญ,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,12,10280,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
,เลขที่ 88/105,,10110090525622,367,17000000,6,3-105-24/62สป,113,นางอรัญญา สุวรรณบุตร,02-7036126-34,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20,10540,บางปลา,บางพลี,สมุทรปราการ,15
,เลขที่ 88/104,,10110095625625,367,17000000,7,3-105-26/62สป,117,นางอรัญญา สุวรรณบุตร,02-7036126-34,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20,10280,บางปลา,บางพลี,สมุทรปราการ,15
,เลขที่ 88/106,,10110095825621,367,17000000,8,3-105-27/62สป,120,นางอรัญญา สุวรรณบุตร,02-7036126-34,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20,10540,บางปลา,บางพลี,สมุทรปราการ,15
สุขสวัสดิ์,เลขที่ 174,สุขสวัสดิ์ 72 ย่อย 2/4,10110100425557,45,2100000,9,3-105-4/55สป,134,นางสาวเนาวรัตน์ วริวงศ์,,ัคัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษกระดาษ เศษยาง เศษโลหะต่างๆ,28,10130,บางครุ,พระประแดง,สมุทรปราการ,8
สุขสวัสดิ์,เลขที่ 63,สุขสวัสดิ์ 74,10110231725628,167.5,1200000,10,3-105-76/62สป,178,นายสมชาย บุณยลักษิตานนท์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10130,บางครุ,พระประแดง,สมุทรปราการ,3
