GPS_lng,ตำบล,ประกอบกิจการ,พื้นที่อาคาร,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,รายการข้อมูล,หมู่,พื้นที่โรงงาน,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,คนงานหญิง,_id,ที่มา,อำเภอ,GPS_lat
99.76265,อุโลกสี่หมื่น,"น้ำตาลทรายแดง กำลังการผลิต 1,378 ตันอ้อยต่อวัน",40000,,เลขที่ 1,39,กาญจนบุรี,034-693333,โรงงานแปรรูปทางการเกษตร,2,94400,,บริษัท น้ำตาลทรายแดงไทยท่าเรือ จำกัด,71130,10721,2,1,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,14.05341
99.809142,ดอนขมิ้น,"ทำน้ำตาลทราย (กำลังผลิต 11,890 ต้นอ้อย/วัน)",128000,แสงชูโต,เลขที่ 93/1,676,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,9,208000,,บริษัท อุตสาหกรรมมิตรเกษตร จำกัด,71120,10721,0,2,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,13.872553
99.72417,วังศาลา,ทำน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังการผลิต 9635 ตัน,12783,แสงชูโต,เลขที่ 84,295,กาญจนบุรี,561178,โรงงานแปรรูปทางการเกษตร,3,66080,,บริษัท ไทยเพิ่มพูนอุตสาหกรรม จำกัด,71130,10721,34,3,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่าม่วง,13.95229
99.76521,ตะคร้ำเอน,ทำน้ำตาลทราย,16500,พระแท่นดงรัง,เลขที่ 99,410,กาญจนบุรี, ,โรงงานแปรรูปทางการเกษตร,9,918300, ,บริษัท ไทยอุตสาหกรรมน้ำตาล จำกัด,,10721,10,4,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,14.00262
99.497363,หลุมรัง,"ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว และน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 20,400 ตันอ้อย/วัน",123409,หลุมรัง-หนองกร่าง,เลขที่ 99,550,กาญจนบุรี,02-6426169-9,โรงงานแปรรูปทางการเกษตร,6,1031232,-,บริษัท โรงงานน้ำตาลนิวกรุงไทย จำกัด,71160,10721,188,5,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,บ่อพลอย,14.43597
99.80757773,ท่าไม้,"น้ำตาลทรายดิบ และน้ำตาลทรายขาว กำลังผลิต 11,764 ตันอ้อย/วัน",40560,แสงชูโต,เลขที่ 1,262,กาญจนบุรี,541085,โรงงานแปรรูปทางการเกษตร,8,160000,,บริษัท น้ำตาลไทยกาญจนบุรี จำกัด,71120,10721,8,6,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,13.87567343
99.75597,ท่ามะกา,"ทำน้ำตาลทรายดิบ, น้ำตาลทรายขาว และน้ำตาลทรายขาวบริสุทธิ์",25000,แสงชูโต,เลขที่ 14/2,230,กาญจนบุรี,541050,โรงงานแปรรูปทางการเกษตร,10,416000, ,บริษัท ประจวบอุตสาหกรรม จำกัด,71120,10721,25,7,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,13.93817
99.75636,ท่ามะกา,"ทำการผลิตน้ำตาลทราย โดยมีกำลังการหีบอ้อยได้วันละ 10,113 ตัน ผลิต ส่ง หรือจำห่ายพลังงานไฟฟ้า กำลังการผลิต 23 เมกกะวัตต์",80000,แสงชูโต,เลขที่ 14/1,701,กาญจนบุรี,542536-8,โรงงานแปรรูปทางการเกษตร,10,288000,-,บริษัท น้ำตาลท่ามะกา จำกัด,71120,10721,190,8,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,13.9368
,บ้านเก่า,ผลิตน้ำตาลทรายดิบหรือน้ำตาลทรายขาวและทำน้ำตาลทรายดิบหรือน้ำตาลทรายขาวให้บริสุทธิ์,38920,,เลขที่ 98,200,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,1,6782176,,บริษัท น้ำตาลราชบุรี จำกัด,10500,10721,90,9,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,
99.491,แก่งเสี้ยน,บดใบกระถิน,1925,เกาะกร่าง-ทุ่งมะสัง,เลขที่ -,5,กาญจนบุรี,511028,โรงงานแปรรูปทางการเกษตร,3,7272,-,โรงงานโม่กระถินยินดีการเกษตร,71190,10294,0,10,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.06196
,วังด้ง,อบพืชผลทางการเกษตร กะเทาะเมล็ดพืชหรือเปลือกเมล็ดพืช,3000,,เลขที่ 169/1,16,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,9,202751,,บริษัท ชนม์เจริญฟาร์ม จำกัด,71190,1630,5,11,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,
,หนองโรง,นึ่ง และอบข้าวเปลือก การเก็บรักษา ลำเลียงในไซโล และโกดัง,0,,เลขที่ 94,8,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,2,21756,,บริษัท กิจเจริญชัย รุ่งเรือง จำกัด,71140,1630,2,12,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,
99.47384,แก่งเสี้ยน,ดำเนินธุรกิจด้านอุตสาหกรรมอาหารประเภทข้าวโพดหวานบรรจุกระป๋องและบรรจุถุงสูญญากาศเพื่อการส่งออก,1623,ท่าน้ำตื้น-เขาปูน,เลขที่ 99,245,กาญจนบุรี,034-653323-4,โรงงานแปรรูปทางการเกษตร,1,73600,-,บริษัท ริเวอร์แคว อินเตอร์เนชั่นแนล อุตสาหกรรมอาหาร จำกัด,71190,10302,322,13,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.05232
99.50366,บ่อพลอย,ผลิตผลไม้กระป๋องตามฤดูกาล ผักกระป๋องและอาหารทะเลบรรจุกระป๋อง,7372,ลาดหญ้า-บ่อพลอย,เลขที่ 30,3,กาญจนบุรี,628503,โรงงานแปรรูปทางการเกษตร,5,38085,-,บริษัท เอ บี ดี กาญจน์ จำกัด,71160,10302,25,14,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,บ่อพลอย,14.27461
99.4617,แก่งเสี้ยน,หน่อไม้บรรจุปี๊ป บรรจุกระป๋อง หน่ไม้ดอง และผักกาด กระป๋อง,1804,,เลขที่ 69,12,กาญจนบุรี,095-8264155,โรงงานแปรรูปทางการเกษตร,2,0,,บริษัท วี.เอ.เอส.โอเรียนเชี่ยล ไทยแลนด์ 1999 จำกัด,71190,10302,19,15,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.04304
,ตะคร้ำเอน,ผลิตผัก พืช ผลไม้บรรจุกระป๋อง ,1260,-,เลขที่ 333,11,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,1,16870,-,บริษัท ธนาศักดิ์สยาม เบสท์ฟูดส์ จำกัด,71130,10302,23,16,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,
,บ้านเก่า,แปรรูปผลผลิตทางการเกษตร ผลิตผลิตภัณฑ์พืชผลทางการเกษตรบรรจุ กล่อง กระป๋องและขวดแก้ว,7920,,เลขที่ 109/2,25,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,4,36000,,บริษัท มัลติเพิลฟู้ดส์ จำกัด,11120,10302,80,17,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,
99.48213,หลุมรัง,ผัก ผลไม้ น้ำผลไม้บรรจุกระป๋อง และผลไม้อบแห้ง,20000,-,เลขที่ 44/2,130,กาญจนบุรี,034-615300,โรงงานแปรรูปทางการเกษตร,13,100000,-,บริษัท บ่อพลอยฟู้ด อินดัสทรี จำกัด,71160,10302,410,18,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,บ่อพลอย,14.46965
99.34662,วังด้ง,ทำผักและผลไม้บรรจุกระป๋อง เช่น ข้าวโพด,3000,-,เลขที่ 175,16,กาญจนบุรี,034-531330,โรงงานแปรรูปทางการเกษตร,10,31207,-,บริษัท เรารักอาหาร จำกัด,71190,10302,27,19,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เมืองกาญจนบุรี,14.21524
99.72098,แสนตอ,ผลิตผลไม้อบแห้ง,6000,  -,เลขที่ 57,460,กาญจนบุรี,034-542634-7,โรงงานแปรรูปทางการเกษตร,7,17600,  -,บริษัท แวนด้าพรีเสิร์ฟฟู้ด จำกัด,71130,10304,301,20,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,13.93819
,หนองสาหร่าย,สีข้าวนึ่ง,0,,เลขที่ 66,23,กาญจนบุรี,081-3788331,โรงงานแปรรูปทางการเกษตร,6,0,,บริษัท สินไชยศรี จำกัด,71140,10611,0,21,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,พนมทวน,
99.66959,บ้านใหม่,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 70 เกวียน/วัน,1388,,เลขที่ 95/1,6,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,3,1600,,บริษัท โรงสีแสงศักดิ์ จำกัด,71110,10611,0,22,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่าม่วง,13.91701
,ตะคร้ำเอน,สีข้าว กำลังการสีสูงสุดของร้านสีข้าว 350 ตัน/วัน และอบข้าวเปลือก,9000,-,เลขที่ 9,10,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,9,0,-,บริษัท ข้าวนครกาญจน์ จำกัด,71130,10611,5,23,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,
99.69707,วังศาลา,ทำแป้งมันสำปะหลังและอัดมันเม็ด,6400,แสงชูโต,เลขที่ 236,11,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,9,182400,,บริษัท แป้งมันเอเซียบูรพา จำกัด,71130,10612,0,24,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่าม่วง,13.95448
99.73433,สระลงเรือ,ผลิตแป้งมันสำปะหลัง และผลิตภัณฑ์จากมันสำปะหลัง กำลังการผลิต 200 ตันแป้ง/วัน,14688,บ่อพลอย-ห้วยกระเจา,เลขที่ 312,50,กาญจนบุรี,09-1367931,โรงงานแปรรูปทางการเกษตร,2,404800,,บริษัท คาสซาวา กรีน จำกัด,71170,10612,30,25,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ห้วยกระเจา,14.33206
99.76437,อุโลกสี่หมื่น,ผลิตแป้งถั่วเขียวและวุ้นเส้น,2000,พนมทวน-กำแพงแสน,เลขที่ 25/29,17,กาญจนบุรี,034-561720,โรงงานแปรรูปทางการเกษตร,5,130692,-,บริษัท วุ้นเส้นท่าเรือพระแท่น จำกัด,71130,10612,22,26,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,14.06847
99.74225,ท่าเรือ,ทำวุ้นเส้น และแป้งสลิ่ม,800,แสงชูโต,เลขที่ 657,21,กาญจนบุรี,034-561531-2,โรงงานแปรรูปทางการเกษตร,,1600,,บริษัท โรงงานวุ้นเส้นท่าเรือ ฟู้ด โปรดัคท์ จำกัด,71130,10612,17,27,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,ท่ามะกา,13.96312
,หนองประดู่,ผลิตแป้งมันสำปะหลังธรรมดา และดัดแปลง,4800,,เลขที่ 109,50,กาญจนบุรี,032-201510,โรงงานแปรรูปทางการเกษตร,9,480000,,บริษัท ไทย ควอลิตี้ สตาร์ช จำกัด,71210,10612,40,28,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,
99.71008,หนองประดู่,ทำมันเส้น,7656,เลาขวัญ-ไผ่สี,เลขที่ 65/1,10,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,2,40000,-,-,71210,10621,3,29,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.47995
99.52388,หนองปลิง,ทำมันเส้น,1210,,เลขที่ 21/1,8,กาญจนบุรี,,โรงงานแปรรูปทางการเกษตร,11,56000,,-,71210,10621,0,30,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,เลาขวัญ,14.03093
