แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
250,หนองม่วง,ผลิตเมล็ดพันธุ์ข้าวโพด ผลิตอาหารสัตว์,จ3-2(1)-30/61ลบ,,50/27,201,ลพบุรี,,31500000,7,20160003025614,ห้างหุ้นส่วนจำกัด โชคชัย คอปเปอร์เรชั่นเทรดดิ้ง,,ห้างหุ้นส่วนจำกัด โชคชัย คอปเปอร์เรชั่นเทรดดิ้ง,15170,1630,1,หนองม่วง,7
240,หนองม่วง,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-31/61ลบ,,โฉนดที่ดินเลขที่ 12077 เลขที่ดิน 19,302,ลพบุรี,,2500000,6,20160003125612,นายองอาจ เสืออินทร์,,-,15170,8103,2,หนองม่วง,2
240,หนองม่วง,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-238/57ลบ,,น.ส.3ก.เลขที่ 1137 เลขที่ดิน 1,302,ลพบุรี,,4000000,3,20160023825571,นายองอาจ เสืออินทร์,,,15170,8103,3,หนองม่วง,2
240,หนองม่วง,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-239/57ลบ,,โฉนดที่ดินเลขที่ 12076 เลขที่ดิน 20,302,ลพบุรี,,2500000,6,20160023925579,นายองอาจ เสืออินทร์,,,15170,8103,4,หนองม่วง,2
240,หนองม่วง,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-311/57ลบ,,น.ส.3ก.เลขที่ 1734เลขที่ 35,302,ลพบุรี,,2100000,7,20160031125576,นายตรีเนตร จูเปีย,,,15170,8103,5,หนองม่วง,2
240,หนองม่วง,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-325/57ลบ,,น.ส.3กเลขที่ 1103 เลขที่ดิน 103,302,ลพบุรี,086-0253787,1900000,3,20160032525576,นางสาวพรศิริพันธ์ พรหมติ๊บ,,กฤติญาพรรณ ก่อสร้าง,15170,8103,6,หนองม่วง,3
240,หนองม่วง,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-326/57ลบ,,น.ส.3กเลขที่ 1834 เลขที่ดิน 10,302,ลพบุรี,086-0253787,1550000,3,20160032625574,นางสาวพรศิริพันธ์ พรหมติ๊บ,,กฤติญาพรรณ ก่อสร้าง,15170,8103,7,หนองม่วง,3
485,หนองม่วง,ลานมัน และการเก็บรักษาหรือลำเลียงพืช เมล็ดพืชในไซโล โกดัง หรือคลังสินค้า,จ3-9(6)-19/52ลบ,,88/1,906,ลพบุรี,,42500000,6,20160001925526,บริษัท รัตนศิริเทรดดิ้ง จำกัด,,บริษัท รัตนศิริเทรดดิ้ง จำกัด,15170,10621,8,หนองม่วง,10
428,หนองม่วง,ผลิตน้ำแข็งหลอด,จ3-14-16/57ลบ,,590,1400,ลพบุรี,081-5546652,12000000,8,20160001625571,บริษัท ธาราทิพย์หนองม่วง จำกัด,,บริษัท ธาราทิพย์หนองม่วง จำกัด,15170,10795,9,หนองม่วง,7
422.5,หนองม่วง,ผลิตและผสมอาหารสัตว์,จ3-15(1)-13/65ลบ,,228,1501,ลพบุรี,,62400000,3,20160171325655,บริษัท นิพพาน อินเตอร์คร็อพ จำกัด,,บริษัท นิพพาน อินเตอร์คร็อพ จำกัด,15170,10801,10,หนองม่วง,30
459.43,หนองม่วง,ผลิตและจำหน่ายปลีก-ส่ง เครื่องดื่มทุกชนิด,จ3-20(2)-2/58ลบ,,59,2002,ลพบุรี,,18000000,6,20160000225589,บริษัท ไทยซุปเปอร์ดริ้งค์ จำกัด,,บริษัท ไทยซุปเปอร์ดริ้งค์ จำกัด,15170,11049,11,หนองม่วง,6
396.22,หนองม่วง,ทำชิ้นส่วนรองเท้า,3-33-1/40ลบ,หนองม่วง-บ้านชอนสารเดช,17/20,3300,ลพบุรี,,18000000,7,10160100125400,บริษัท นารายณ์บางกอกรับเบอร์ จำกัด,,บริษัท นารายณ์บางกอกรับเบอร์ จำกัด,15170,15202,12,หนองม่วง,465
4578.61,หนองม่วง,ทำพื้นรองเท้า,3-33-2/40ลบ,หนองม่วง-บ้านซอนสารเดช,17/22,3300,ลพบุรี,,44465842,7,10160000225409,บริษัท เพอร์ฟอร์แมนซ์ รับเบอร์ จำกัด,สุขาภิบาล 6,บริษัท เพอร์ฟอร์แมนซ์ รับเบอร์ จำกัด,15170,15202,13,หนองม่วง,135
403,หนองม่วง,รับจ้างฉีดและเป่างานพลาสติกทุกชนิด,จ3-53(4)-1/61ลบ,,59,5304,ลพบุรี,,66000000,6,20160200125613,บริษัท พรอสเพอริตี้ แพค จำกัด,,บริษัท พรอสเพอริตี้ แพค จำกัด,15170,22220,14,หนองม่วง,34
70.29,หนองม่วง,ทำท่อคอนกรีตอัดแรง,จ2-58(1)-143/64ลบ,-,191/1,5801,ลพบุรี,,35000000,3,20160234025649,นายวินัย อินทร์เสวก,-,เป็นหนึ่ง,15170,23953,15,หนองม่วง,12
212.42,หนองม่วง,ทำผลิตภัณฑ์คอนกรีต เช่น คอนกรีตผสมเสร็จ ท่อคอนกรีต เสาคอนกรีต ท่อคอนกรีตอัดแรง แผ่นพื้นคอนกรีต,จ3-58(1)-2/61ลบ,,112,5801,ลพบุรี,,8000000,6,20160000225613,ห้างหุ้นส่วนจำกัด จิ้น โฮมคอนกรีต,,ห้างหุ้นส่วนจำกัด จิ้น โฮมคอนกรีต,15170,23953,16,หนองม่วง,4
151,หนองม่วง,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,จ3-58(1)-39/54ลบ,,191/1,5801,ลพบุรี,,3200000,4,20160003925540,นายวินัย อินทร์เสวก,,เป็นหนึ่ง,15170,23953,17,หนองม่วง,5
128.42,หนองม่วง,ผลิตคอนกรีตผสมเสร็จ,จ3-58(1)-144/64ลบ,,112,5801,ลพบุรี,,8000000,6,20160365525649,ห้างหุ้นส่วนจำกัด จิ้นโฮมคอนกรีต,,ห้างหุ้นส่วนจำกัด จิ้นโฮมคอนกรีต,15170,23953,18,หนองม่วง,4
