ทะเบียนโรงงาน,_id,ลำดับ,ชื่อโรงงาน
ข3-42(1)-1/41รย,1,1,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-42(1)-2/41รย,2,2,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-42(1)-3/41รย,3,3,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-42(1)-4/41รย,4,4,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-42(1)-4/55รย,5,5,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-44-1/25รย,6,6,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-44-1/34รย,7,7,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-44-1/59รย,8,8,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-44-2/59รย,9,9,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-44-4/59รย,10,10,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-48(2)-3/59รย,11,11,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-48(6)-1/45รย,12,12,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-49-1/41รย,13,13,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-49-1/43รย,14,14,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-49-1/58รย,15,15,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-49-2/41รย,16,16,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-50(4)-1/41รย,17,17,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-53(5)-55/51รย,18,18,บริษัท ไออาร์พีซี จำกัด (มหาชน) (CD1)
ข3-53(5)-56/59รย,19,19,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-53(5)-58/59รย,20,20,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-88-1/36รย,21,21,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-101-1/35รย,22,22,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-101-2/53รย,23,23,บริษัท ไออาร์พีซ๊ จำกัด (มหาชน)
ข3-44-1/39รย,24,24,บริษัท อูเบะ เคมิคอลส์ (เอเซีย) จำกัด (มหาชน)
ข3-90-4/50รย,25,25,บริษัท ไออาร์พีซี จำกัด (มหาชน)
ข3-59-10/57รย,26,26,บริษัท โคเบลโก้ มิลล์คอน สตีล จำกัด
      ข3-42(1)-1/39รย,27,27,บริษัท ไนเตรทไทย จำกัด
