แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
435,สระโบสถ์,ลานมัน,จ3-9(6)-5/62ลบ,,โฉนดที่ดินเลขที่ 2979,906,ลพบุรี,,9920000,11,20160076025624,นายวีระธนา มุขแจ้ง,,,15000,10621,1,สระโบสถ์,7
263,สระโบสถ์,ทำมันเส้น,จ3-9(6)-21/52ลบ,วังเพลิง-หนองม่วง,199,906,ลพบุรี,,9000000,1,20160002125522,นางนภาพร วงศ์เลิศอารักษ์,,ท่าข้าวเจ๊ลั้ง,15240,10621,2,สระโบสถ์,2
185,สระโบสถ์,ทำมันเส้น,จ3-9(6)-36/58ลบ,,"โฉนดที่ดินเลขที่ 3391,3392",906,ลพบุรี,,31250000,11,20160003625587,นางสาวณัชชา มังกรทอง,,ลานมันมังกรทอง,15240,10621,3,สระโบสถ์,6
463534.53,สระโบสถ์,"ผลิตน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์กำลังการผลิต 28,000 ตันอ้อย/วัน",3-11(3)-2/58ลบ,,99/9,1103,ลพบุรี,022822022,5800000000,4,10160000225581,บริษัท น้ำตาลสระบุรี จำกัด,,บริษัท น้ำตาลสระบุรี จำกัด,10100,10721,4,สระโบสถ์,390
414.65,สระโบสถ์,ทำแผ่น พีวีซี และแผ่นยางฉนวนกันเสียง ฉนวนกันเสียงและกันความร้อน ด้วยเส้นใยโพลีเอสเทอร์,จ3-53(6)-1/59ลบ,,207/1,5306,ลพบุรี,062-5506221,8400000,2,20160000125599,บริษัท พี.วี.อุตสาหกรรม จำกัด,,บริษัท พี.วี.อุตสาหกรรม จำกัด,15240,22299,5,สระโบสถ์,85
353,สระโบสถ์,ผลิตคอนกรีตผสมเสร็จ,จ3-58(1)-70/66ลบ,-,โฉนดเลขที่ 7394 7064,5801,ลพบุรี,,90000000,2,20160067525665,ห้างหุ้นส่วนจำกัด ฟาร์มอำนวยสุข,-,ห้างหุ้นส่วนจำกัด ฟาร์มอำนวยสุข,15240,23951,6,สระโบสถ์,6
438813.53,สระโบสถ์,ผลิตและจำหน่ายกระแสไฟฟ้าและผลิตและจำหน่ายไอน้ำ,3-88(2)-37/59ลบ,,99/9,8802,ลพบุรี,036-77664759,5800000000,4,40160003725599,บริษัท ร่วมกำลาภพาวเวอร์ จำกัด,,บริษัท ร่วมกำลาภพาวเวอร์ จำกัด,10100,35101,7,สระโบสถ์,76
150,มหาโพธิ,สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 6 เกวียน/วัน),3-9(1)-1/18ลบ,,13/1,901,ลพบุรี,036-426555,280000,10,10160000125187,นายสุขสันต์ สุวรรณศรี,,โรงสีบ้านคลอง,15240,10611,8,สระโบสถ์,4
485,มหาโพธิ,ลานมัน และการเก็บรักษาหรือลำเลียงพืช เมล็ดพืชในไซโล โกดัง หรือคลังสินค้า,จ3-9(6)-52/52ลบ,,15,906,ลพบุรี,,10000000,1,20160005225527,นางสาวพิมพ์นารา ศิริเลิศหิรัญ,,ท่าข้าว ส.วงษ์-มหาโพธิ,15240,10621,9,สระโบสถ์,10
50,นิยมชัย,ทำมันเส้น,จ2-9(6)-4/55ลบ,-,93,906,ลพบุรี,081-1359695,7500000,2,20160000425551,นายโอฬาร หวังศุภกิจโกศล,-,ทรัพย ณ ภา,15240,10621,10,สระโบสถ์,11
50,นิยมชัย,ทำมันเส้น,จ2-9(6)-5/55ลบ,-,123/1,906,ลพบุรี,,3075000,7,20160200525556,นายบน มหาโยธี,-,มหาโยธีธัญญากิจ,15240,10621,11,สระโบสถ์,3
215,นิยมชัย,ทำมันเส้น,จ3-9(6)-9/59ลบ,,93,906,ลพบุรี,,8000000,2,20160000925592,นายอธิวัฒน์ หวังศุภกิจโกศล,,ทรัพย์ ณ ภา,15240,10621,12,สระโบสถ์,11
240,นิยมชัย,ทำมันเส้น,จ3-9(6)-147/55ลบ,,123/1,906,ลพบุรี,,2300000,7,20160014725558,นายชุมเมฆ มหาโยธี,,ลานมันมหาโยธีธัญญกิจ,15240,10621,13,สระโบสถ์,2
360,นิยมชัย,ผลิตน้ำแข็งก้อนเล็ก,จ3-14-18/62ลบ,,109/9,1400,ลพบุรี,,4500000,10,20160158925626,พันโท กิตติ์ กิจสำเร็จ,,กิจรุ่งเรืองน้ำแข็งหลอด,15240,10795,14,สระโบสถ์,5
173,นิยมชัย,"น้ำดื่มบรรจุขวด , ถัง",จ3-20(1)-1/62ลบ,,194,2001,ลพบุรี,,2100000,7,20160002025623,บริษัท น้ำไทย เอนเตอร์ไพรส์ จำกัด,,บริษัท น้ำไทย เอนเตอร์ไพรส์ จำกัด,15240,11041,15,สระโบสถ์,8
,,,,,,,,,,,,,,,,,16,,
,,,,,,,,,,,ข้อมูลเมื่อวันที่,,,7/2/2024,,,17,,
