ประกอบกิจการ,คนงานหญิง,หมู่,ถนน,TSIC,เงินทุนรวม,เลขทะเบียนเดิม,โทรศัพท์,FID,factype,GPS_lng,_id,ลำดับ,แรงม้า,อนุญาต,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,สิ้นอายุ,จังหวัด,คนงานรวม,ไปรษณีย์
ตัดเย็บเสื้อผ้าสำเร็จรูป,38,2,งามวงศ์วาน,14111,2810000,2-28(1)-2/30นบ,5880034,-10120300225301-,2,100.5382333,1,1,56.3,01/10/1450,บริษัท เอ็น เอ แอพพาเรล จำกัด,บางเขน,13.86341667,ธนาคารอาคารสงเคราะห์ 10,เมืองนนทบุรี,เลขที่ 500,1,,นนทบุรี,39,11000
ผลิตพื้นคอนกรีตสำเร็จรูป,20,2,บางบัวทอง-ตลิ่งชัน,23953,4000000,2-58(1)-8/33นบ, ,-10120000825335-,2,,2,2,33,02/11/1447,บริษัท คอนกรีตบางบัวทอง จำกัด,บางคูเวียง,, ,บางกรวย,เลขที่ 68/2,40,,นนทบุรี,60,11130
ผลิตอาหารจากแป้ง เช่น ซาลาเปา,170,2,บางเลน-ปทุมธานี,10743,192350000,3-10(3)-3/63นบ,02-2815694,-10120058125638-,3,100.429832,3,3,6759.28,24/03/1477,บริษัท วราภรณ์ สมพงษ์ ฟู้ดส์ จำกัด,ไทรน้อย,13.954526,,ไทรน้อย,เลขที่ ,110,,นนทบุรี,280,11150
ทำเส้นหมี่ขาวและเส้นก๋วยเตี่ยว,35,9,ปทุมธานี-บางเลน,10743,80000000,3-10(3)-5/55นบ,02-1506697,-10120000525554-,3,,4,4,2999,27/06/1469,บริษัท สหปั้นข้าว จำกัด,ไทรใหญ่,100.272084,วัดสโมสร,ไทรน้อย,เลขที่ 45,35,14.045418,นนทบุรี,70,11150
ทำเส้นก๋วยเตี๋ยว,3700000,4,,126000000000,,3-10(3)-5/64นบ,,-10120310625649-,,29/09/1482,5,5,8,11200,ก๋วยเตี๋ยวธนาสิน,ราษฎร์นิยม,27/05/1478,,ไทรน้อย,เลขที่ 15/6,3500000,1,นนทบุรี,200000,
แกะสลักลวดลายกระจก,2000000,,,126000000000,,3-100(4)-1/35นบ,,-10120700125358-,,08/09/1449,6,6,28,800,บริษัท กระจกศิริรัตน์ จำกัด,บางกระสอ,31/01/1452,งามวงศ์วาน 9 แยก 13,เมืองนนทบุรี,เลขที่ 8,15000000,1,นนทบุรี,2000000,
ชุบโลหะ,70000,,สามัคคี,3100000000000,,3-100(5)-1/20นบ,,-10120300125204-,,01/12/1434,7,7,12,185,บริษัท ด.บุนนาค นนทบุรี จำกัด,ท่าทราย,18/04/1452,สามัคคี 49 แยก 3,เมืองนนทบุรี,เลขที่ 16,140000,1,นนทบุรี,30000,
ชุบโลหะ,800000,4,รุ่งประชา,3191015822,,3-100(5)-2/33นบ,,-10120200225336-,,21/06/1447,8,8,18,800,บริษัท 3 เอสเพลท จำกัด,วัดชลอ,08/03/1450,,บางกรวย,เลขที่ 7/12,800000,1,นนทบุรี,100000,
ผลิตไอน้ำ,100000000,4,ฤชุพันธ์,103000000000,,3-102-1/60นบ,,-10120000125603-,,27/09/1474,9,9,9,64000,บริษัท เมโทร พาเนล จำกัด,ไทรใหญ่,14/07/1474,,ไทรน้อย,เลขที่ ,2000000,1,นนทบุรี,5000000,
"ทำการตัด, อัด, กรีดผ่า, บดแยกชิ้นส่วนเศษสายไฟฟ้า",600000,8,วัดโบสถ์-ท่าน้ำ,124000000000,,3-105-1/45นบ,,-10120400125450-,,25/09/1459,10,10,5,4800,ห้างหุ้นส่วนจำกัด จิตรเกษมโลหะ,บางกร่าง,27/08/1459,,เมืองนนทบุรี,เลขที่ 59/28,15000000,1,นนทบุรี,6000000,
