พื้นที่อาคาร(ตร.ม.),ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,ลำดับ,หญิง,ชาย,จังหวัด,หมู่,ค่าอาคาร,เลขที่,เงินทุนหมุนเวียน,เลขทะเบียนโรงงาน,โทรศัพท์,ค่าเครื่องจักร,แรงม้ารวม,ค่าที่ดิน,ตำบล,เงินลงทุนรวม,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
0,ขุดดิน ขุดทราย ล้างและคัดขนาดทรายบก,21,บ้านฉาง,8103,302,,,5,4547,0,5,ระยอง,7,0,622,1000000,จ3-3(2)-30/66รย,,10000000,345,15000000,บ้านฉาง,26000000,1,20200000000000,บริษัท ไตรมิตร ธุรกิจ (2021) จำกัด,บริษัท ไตรมิตร ธุรกิจ (2021) จำกัด,3,66,21130,46400
0,ขุด กรวด ดิน ทราย คัดขนาดทราย และล้างทราย,21,บ้านฉาง,8103,302,,,5,4548,0,5,ระยอง,3,0,น.ส.3ก. เลขที่ 684,1000000,จ3-3(2)-97/63รย,,1000000,490,0,สำนักท้อน,2000000,2,20200000000000,-,นายพฤหัส คุ้มเดช,3,63,21130,48480
0,ขุด ล้างทราย,21,บ้านฉาง,8103,302,,,20,4549,0,20,ระยอง,,0,โฉนดที่ดินเลขที่ 5928 5929 5930 5931 5932 5933 5934 5935 5936 5937,1000000,จ3-3(2)-132/63รย,,10000000,495,0,บ้านฉาง,11000000,3,20200000000000,บริษัท นำ อีควิปเม็นท์ จำกัด,บริษัท นำ อีควิปเม็นท์ จำกัด,3,63,21130,28692
0,ขุด ร่อน และคัดขนาดทราย,21,บ้านฉาง,8103,302,,,5,4550,0,5,ระยอง,5,0,น.ส.3ก เลขที่ 705,1000000,จ3-3(2)-293/58รย,081-8655272,4100100,480,300000,สำนักท้อน,5400100,4,20200000000000,นายสินธ์ กีรตยาคม,นายสินธ์ กีรตยาคม,3,58,21130,66724
23400,ขุด หรือลอกกรวดทราย หรือดิน,21,บ้านฉาง,8103,302,,,6,4551,0,6,ระยอง,3,0,น.ส.3ก เลขที่ 753,300000,จ3-3(2)-124/51รย,,700000,230,6000000,สำนักท้อน,7000000,5,20200000000000,,นายเสริมชัย ศักดิ์สาลากุล,3,51,21130,23400
0,ขุด ร่อน และคัดขนาดทราย,21,บ้านฉาง,8103,302,,,5,4552,0,5,ระยอง,6,0,"นส.3ก เลขที่ 3667, 3668, 3670",1000000,จ3-3(2)-46/58รย,,4100000,400,500000,สำนักท้อน,5600000,6,20200000000000,บริษัท ดรากอน ไอออนเวิรคส์ จำกัด,บริษัท ดรากอน ไอออนเวิรคส์ จำกัด,3,58,21130,175636
0,ร่อน หรือคัดกรวดทราย และล้างทราย,21,บ้านฉาง,8103,303,,,7,4553,0,7,ระยอง,6,0,โฉนดที่ดินเลขที่ 3635 3636 3640 3638,500000,จ3-3(3)-7/62รย,,2500000,490,0,สำนักท้อน,3000000,7,20200000000000,นายกำธร คมกล้า,นายกำธร คมกล้า,3,62,21130,0
573,"ฆ่า ชำแหละสัตว์ปีก กำลังการผลิตวันละ 2,000 ตัว",21,บ้านฉาง,10120,401,,,29,4554,7,22,ระยอง,3,2000000,-,6000000,จ3-4(1)-12/53รย,818634588,4000000,373.7,8000000,สำนักท้อน,20000000,8,20200000000000,บริษัท โรงไก่กายาสิทธิ์ จำกัด,บริษัท โรงไก่กายาสิทธิ์ จำกัด,3,53,21130,15680
800,ต้มและรมควันปลา,21,บ้านฉาง,10291,602,-,-,26,4555,23,3,ระยอง,3,2000000,120,3000000,จ3-6(2)-4/48รย,,2000000,547.5,0,บ้านฉาง,7000000,9,20200000000000,บริษัท ฮาลา ฟู้ด (ไทยแลนด์) จำกัด,บริษัท ฮาลา ฟู้ด (ไทยแลนด์) จำกัด,3,48,21130,3488
16796,ทำแป้งมัสำปะหลัง แป้งมันสำปะหลังดัดแปร ()โมดิไฟด์ สจาร์ช ผลิตอาหารจากแป้งมันสำปะหลัง,21,บ้านฉาง,10612,902,สุขุมวิท,,200,4556,0,200,ระยอง,6,30120000,77,10000000,3-9(2)-3/64รย,,105000000,22720.75,0,บ้านฉาง,145120000,10,10200000000000,บริษัท สำปะหลังพัฒนา จำกัด,บริษัท สำปะหลังพัฒนา จำกัด,3,64,21130,142400
735,ทำเส้นก๋วยเตี๋ยว,21,บ้านฉาง,10743,1003,,,7,4557,6,1,ระยอง,3,200000,18/29,100000,จ3-10(3)-2/26รย,601044,800000,546.98,160000,บ้านฉาง,1260000,11,20200000000000,ศรีวัฒนา,ศรีวัฒนา,3,26,21130,1600
630,ผลิตน้ำแข็งซอง,21,บ้านฉาง,10795,1400,,,6,4558,0,6,ระยอง,4,1500000,51/99,500000,จ3-14-33/53รย,,1250000,497.5,4000000,สำนักท้อน,7250000,12,20200000000000,โรงน้ำแข็งประภาพันธ์,โรงน้ำแข็งประภาพันธ์,3,53,21130,33600
972,เลื่อยไม้,21,บ้านฉาง,16101,3401,สุขุมวิท,    -,3,4559,0,3,ระยอง,1,500000,70/5,1000000,จ3-34(1)-1/45รย,038-601463,1500000,365,400000,บ้านฉาง,3400000,13,20200000000000,โรงเลื่อยจักรบ้านฉางพนากิจ,โรงเลื่อยจักรบ้านฉางพนากิจ,3,45,21130,6400
1762,ผลิตลังไม้หรือประกอบพาเลทและชิ้นส่วนในการบรรจุหีบห่อจากไม้ทุกชนิด,21,บ้านฉาง,16230,3601,,เทศบาล 23,31,4560,12,19,ระยอง,1,9000000,19-ก.ย.,5000000,จ3-36(1)-30/61รย,038-963083,5100000,319,8000000,สำนักท้อน,27100000,14,20200000000000,ห้างหุ้นส่วนจำกัด พี.เอ็ม.แพคเกจจิ้ง เอ็นเตอร์ไพร์ส,ห้างหุ้นส่วนจำกัด พี.เอ็ม.แพคเกจจิ้ง เอ็นเตอร์ไพร์ส,3,61,21130,3200
900,ผลิตขี้ผึ้ง,21,บ้านฉาง,20231,4801,,,15,4561,5,10,ระยอง,5,2000000,169/1,1000000,จ3-48(1)-1/48รย,,1000000,72.8,2000000,สำนักท้อน,6000000,15,20200000000000,บริษัท ฟอร์มูล่า แวกซ์ จำกัด,บริษัท ฟอร์มูล่า แวกซ์ จำกัด,3,48,21130,1733
400,ขี้ผึ้งและเทียนไข,21,บ้านฉาง,20231,4801,-,เทศบาล 11,7,4562,4,3,ระยอง,5,1200000,169,500000,จ3-48(1)-1/55รย,,1000000,233.72,1400000,สำนักท้อน,4100000,16,20200000000000,บริษัท บีโพลีน จำกัด,บริษัท บีโพลีน จำกัด,3,55,21130,6400
1872,ผลิตและส่งออกยางรถจักรยาน และอุปกรณ์เสริมสำหรับรถจักรยาน,21,บ้านฉาง,22112,5100,,,68,4563,34,34,ระยอง,1,15447031,16/63,4500000,จ3-51-2/65รย,,17478119,362.35,6827222,บ้านฉาง,44252372,17,20200000000000,บริษัท ชาเร้นจ์ เท็ค จำกัด,บริษัท ชาเร้นจ์ เท็ค จำกัด,3,65,21130,5423
3816,ผลิตถุงและกระสอบพลาสติกสาน,21,บ้านฉาง,22220,5304,สุขุมวิท,-,106,4564,52,54,ระยอง,6,40000000,62/1,15000000,3-53(4)-1/44รย,038-601975,49000000,908.24,11000000,บ้านฉาง,115000000,18,10200000000000,บริษัท เสียงเฉิน แพ็คกิ้ง โปรดักท์ (ประเทศไทย) จำกัด,บริษัท เสียงเฉิน แพ็คกิ้ง โปรดักท์ (ประเทศไทย) จำกัด,3,44,21130,6584
