_id,ก.พ.,เม.ย.,พ.ค.,มิ.ย.,พ.ย.,ม.ค.,ต.ค.,รวม,ก.ย.,ธ.ค.,ประเภทรถ,ส.ค.,ก.ค.,มี.ค.
1,49558,55671,61678,76938,56652,62934,57407,716703,57014,61432,    รวมทั้งหมด,57072,59041,61306
2,46238,52568,58630,74206,53867,58196,54578,680586,54611,59098,ก. รวมรถตามกฎหมายว่าด้วยรถยนตร์และล้อเลื่อน,54643,55880,58071
3,1157,1131,1054,1104,1274,1678,1426,15299,1463,1455,    รย.1  รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,1302,1055,1200
4,1354,1274,1231,1255,756,1705,863,13633,812,978,    รย.2  รถยนต์นั่งส่วนบุคคลเกิน 7 คน ,814,1150,1441
5,8064,9066,9204,8866,7427,10714,7591,101343,7697,8115,    รย.3  รถยนต์บรรทุกส่วนบุคคล,6997,7885,9717
6,1,,1,,12,5,2,33,7,,    รย.4  รถยนต์สามล้อส่วนบุคคล,2,1,2
7,,,,,,,,0,,,    รย.5  รถยนต์รับจ้างระหว่างจังหวัด,,,
8,1,,,,,,,1,,,    รย.6  รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,,,
9,,,,,,,,0,,,    รย.7  รถยนต์สี่ล้อเล็กรับจ้าง,,,
10,,,,,,,2,2,,,    รย.8  รถยนต์รับจ้างสามล้อ,,,
11,,,,,,,,0,,,    รย.9  รถยนต์บริการธุรกิจ,,,
12,,,,,,,1,1,,,    รย.10 รถยนต์บริการทัศนาจร,,,
13,,,,,,,,0,,,    รย.11 รถยนต์บริการให้เช่า,,,
14,34386,40506,46545,62325,43773,43380,44063,541551,44159,47720,    รย.12 รถจักรยานยนต์,45123,44784,44787
15,181,217,249,310,261,217,287,3137,272,344,    รย.13 รถแทรกเตอร์,234,230,335
16,583,4,4,5,13,2,10,665,6,7,    รย.14 รถบดถนน,16,3,12
17,509,370,331,341,347,495,333,4904,195,479,    รย.15 รถใช้งานเกษตรกรรม,155,772,577
18,2,,11,,4,,,17,,,    รย.16 รถพ่วง,,,
19,,,,,,,,0,,,    ล้อเลื่อน,,,
20,3320,3103,3048,2732,2785,4738,2829,36117,2403,2334,ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก,2429,3161,3235
21,362,318,293,296,373,369,319,3726,289,227,    รวมรถโดยสาร,246,322,312
22,274,255,221,237,215,261,203,2722,230,156,    แยกเป็น - ประจำทาง,178,245,247
23,70,52,40,46,148,82,83,799,55,52,               - ไม่ประจำทาง,58,63,50
24,18,11,32,13,10,26,33,205,4,19,               - ส่วนบุคคล,10,14,15
25,2801,2644,2578,2227,2240,4149,2322,30218,1920,1948,    รวมรถบรรทุก,2014,2652,2723
26,177,162,236,110,151,221,203,2165,206,126,    แยกเป็น - ไม่ประจำทาง,153,243,177
27,2624,2482,2342,2117,2089,3928,2119,28053,1714,1822,               - ส่วนบุคคล,1861,2409,2546
28,157,141,177,209,172,220,188,2173,194,159,    โดยรถขนาดเล็ก,169,187,200
29,,,,,,,,,,,ฝ่ายสถิติการขนส่ง   กองวิชาการและวางแผน   กรมการขนส่งทางบก,,,
