ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
รามคำแหง,เลขที่ 348,,270.68,20000000,1,5,3-101-1/38,1,บริษัท โอสถสภา จำกัด,"บำบัดน้ำทิ้งรวมได้4,800ลูกบาศก์เมตร/วัน",3511123-24,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 48,-,356,43100000,2,10,3-101-1/40,2,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),โรงงานปรับคุณภาพของเสียรวม,989-4050-62,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,9
เชื่อมสัมพันธ์,เลขที่ 67/16,-,109.4,0,3,6,3-101-1/45,3,บริษัท มหาจักรออโตพาร์ท จำกัด,ปรับคุณภาพน้ำเสียรวม,02-543-1212,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,5
พระรามที่ 2,เลขที่ 68/39,แสมดำ 17,862.2,127500000,4,23,3-101-1/47,4,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
พระรามที่ 2,เลขที่ 68/39,วัดแสมดำ,439,5000000,5,82,3-101-2/38,5,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),4153728,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,3
นิมิตใหม่,เลขที่ 9,,83.05,8035000,6,1,3-101-4/41,6,บริษัท อาหารยอดคุณ จำกัด,บำบัดน้ำเสียอันเกิดจากกระบวนการผลิตรวมทั้งน้ำเสียอื่นๆของริษัทอาหารยอดคุณจำกัดและบริษัทยูนิแชมป์จำกัด,02-181-0036-45,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,
มาเจริญ,เลขที่ 286,,167.25,6000000,7,25,3-105-11/59,7,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,818031474,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,
-,เลขที่ 51,แสนสบาย,130,13200000,8,20,3-105-119/48,8,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ  อัดเศษพลาสติก  และตัดเศษโลหะ,,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,
เลียบคลองมอญ,เลขที่ 98,,187.22,53000000,9,20,3-105-13/49,9,บริษัท บูมเจริญกิจ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม  เรื่อง  การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว  พ.ศ.2548,,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,
พระราม2,เลขที่ 547,,1053,78000000,10,8,3-105-14/59,10,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,0 2452 2824,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
,เลขที่ 518/29,รามคำแหง 39(เทพลีลา1),815,16500000,11,14,3-105-20/59,11,นายสิทธิพงศ์  อนันต์หล่อพันธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29348025,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,
เอกชัย,เลขที่ 88/71-72,กำนันแม้น,585,5000000,12,14,3-105-22/59,12,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,3
บางขุนเทียน-ชายทะเล,เลขที่ 12/239,เทียนทะเล 24,129,8500000,13,7,3-105-32/54,13,ศรีนคร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,7
พระรามที่ 2,เลขที่ 549,,91,29000000,14,6,3-105-39/59,14,บริษัท เอ็มบอส กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-0489980,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
รัชดาภิเษก,เลขที่ 743/7,เสือใหญ่อุทิศ,228.5,12900000,15,10,3-105-48/59,15,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,29300668,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,
บางขุนเทียน-ชายทะเล,เลขที่ 19,เทียนทะเล 30,295,27000000,16,21,3-105-49/59,16,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,28972394,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
ฉลองกรุง,เลขที่ 92/78-79,,1247,120000000,17,33,3-105-51/59,17,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,892029400,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
เพชรเกษม,เลขที่ 26/5,เพชรเกษม114,766.34,13000000,18,14,3-105-52/59,18,นางวรรณา กนกทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10150,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
แสมดำ,เลขที่ 4,-,485,2000000,19,2,3-105-53/54,19,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
พระราม 2,เลขที่ 597,,426.5,12300000,20,9,3-105-54/59,20,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,24155642,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,
ประชาสำราญ 2,เลขที่ 29/6,-,2,515000,21,9,3-105-6/48,21,มิตรไพบูลย์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,3
ประชาชื่น,เลขที่ 3,โชติวัฒน์ ซอย 14,255,13000000,22,10,3-105-81/48,22,ซั่งเฮงจั่น,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม  ฉบับที่ 1 (พ.ศ.2541)  เช่น  เศษโลหะ  เศษกระดาษ  อัดกระป๋องและตัดโลหะ,02-5852521,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
เพชรเกษม 81,เลขที่ 13/16, -,33,1800000,23,7,3-105-98/50,23,หนองแขมของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,7
-,เลขที่ 40,เพชรเกษม 110 แยก 14-1-1,335.5,0,24,0,3-106-1/46,24,นางกิมเอ็ง ยิ่งแจ่มจันทร์,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
ประชาอุทิศ,เลขที่ 71/5,วิเชียร,56.6,22000000,25,12,3-106-2/46,25,บริษัท นิ้วเจริญ จำกัด,ซ่อมแซมถังน้ำมัน,,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
สุวินทวงศ์,เลขที่ 3/356-357,-,73.86,0,26,9,ข3-106-18/48,26,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,02-5435436-7,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,9
ฉลองกรุง,เลขที่ 115,-,1265,10000000,27,15,น.105-1/2553-นนล.,27,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,02-326-1256,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
