คนงานหญิง,_id,แรงม้าตรวจพบ,แรงม้า,ประกอบกิจการ,จังหวัด,คนงานรวม,ผู้ประกอบการ,ชื่อโรงงาน,ชื่อชุดข้อมูล,เงินทุนรวม,เจ้าของข้อมูล,ตำบล,อำเภอ,โทรศัพท์,คนงานชาย,ไปรษณีย์
2,1,1305.4,1305.4,ผลิตเส้นก๋วยเตี๋ยว,สุพรรณบุรี,7,นายสุนทร ธนะประเสริฐกุล,โรงงานก๋วยเตี๋ยวอนามัยสุพรรณบุรี,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,3900000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สนามคลี,เมืองสุพรรณบุรี,597490,5,72230
0,2,4999,4999,บำบัดน้ำเสียรวม และผลิตน้ำเพื่อใช้ในอุตสาหกรรม,สุพรรณบุรี,8,บริษัท พัฒนาสิ่งแวดล้อมและพลังงานไทย จำกัด,บริษัท พัฒนาสิ่งแวดล้อมและพลังงานไทย จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,493064000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,29444001,8,72180
4,3,185,185,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เศษพลาสติก,สุพรรณบุรี,17,บริษัท บีเอสอาร์ โพลิเมอร์ เทรดดิ้ง จำกัด,บริษัท บีเอสอาร์ โพลิเมอร์ เทรดดิ้ง จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,22000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระกระโจม,ดอนเจดีย์,924665262,13,72250
10,4,287,287,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษเหล็ก และบดขวดแก้ว เศษแก้ว,สุพรรณบุรี,20,นายวรพงษ์ ทิพอาสน์,ก้อย รีไซเคิล,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,12500000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านโพธิ์,เมืองสุพรรณบุรี,646549828,10,72000
9,5,846,846,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย สกัดโลหะมีค่าจากแผงวงจรอิเล็กทรอนิกส์และตะกอนน้ำเสียของโรงงานอิเล็กทรอนิกส์ สกัดคอปเปอร์ซัลเฟตจากน้ำยาล้างแผงวงจรอิเล็กทรอนิกส์,สุพรรณบุรี,19,บริษัท เอส.เอ สยามรีคัฟเวอรี่ จำกัด,บริษัท เอส. เอ. สยามรีคัฟเวอรี่ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,4100002,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านกร่าง,ศรีประจันต์,08 6304 2952,10,72140
4,6,373,373,นำกากตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นอันตราย และอินทรีย์วัตถุที่ไม่ใช้แล้วจากโรงงานมาทำเป็นผลิตภัณฑ์ใหม่ เช่น ปุ๋ยอินทรีย์ ปุ๋ยหมัก ,สุพรรณบุรี,9,บริษัท เอ.เอ.บี. ไบโอ เฟอร์ทิไลเซอร์ จำกัด,บริษัท เอ.เอ.บี. ไบโอ เฟอร์ทิไลเซอร์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,6600000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ทัพหลวง,หนองหญ้าไซ,,5,72240
9,7,303,303,เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ ทำเม็ดพลาสติกเกรด บี คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยเครื่องใช้ไฟฟ้าและชิ้นส่วนอิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะ คัดแยกเศษผ้า เศษยาง ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว ทำสีกันสนิมเกรดบีจากฝุ่่นและกากสี สกัดโลหะมีค่าจากกากตะกอนที่มีองค์ประกอบของโลหะมีค่าจากอุตสาหกรรมชุบโลหะและอิเล็กทรอนิกส์,สุพรรณบุรี,30,บริษัท ไอรอน กรุ๊ป จำกัด,บริษัท ไอรอน กรุ๊ป จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,8000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สนามชัย,เมืองสุพรรณบุรี,034-546050,21,72000
0,8,260,260,นำผลิตภัณฑ์จากอุตสาหกรรมที่ไม่ใช้แล้วที่ไม่เป็นอันตราย จำพวกเศษยางมาบดย่อย,สุพรรณบุรี,0,บริษัท วังน้ำทรัพย์ จำกัด,บริษัท วังน้ำทรัพย์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,4200000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังน้ำซับ,ศรีประจันต์,081-8261666,0,72140
3,9,150.5,515.5,ผลิตสารปรับปรุงดิน ผลิตอิฐบล๊อกประสาน จากสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่เป็นของเสียอันตราย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สุพรรณบุรี,10,บริษัท ริณทร์ณฑี จำกัด,บริษัท ริณทร์ณฑี จำกัด ,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,24700000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,แจงงาม,หนองหญ้าไซ,972896955,7,72240
1,10,632.45,650.7,นำวัสดุไม่ใช้แล้วที่ไม่อันตรายจากโรงงานอุตสาหกรรม มาผลิตดินปลูก / วัสดุปรับปรุงดิน และเป็นส่วนผสมในการผลิตอิฐปูพื้นทางเดิน,สุพรรณบุรี,8,บริษัท เพิ่มผลผลิต จำกัด,บริษัท เพิ่มผลผลิต จำกัด   ,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,42090000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,035-969912-3,7,72180
0,11,0,377.42,ผลิตเชื้อเพลิงทดแทนจากพลาสติก,สุพรรณบุรี,10,บริษัท พีเอสแอล ไพโรออยล์ จำกัด ,บริษัท พีเอสแอล ไพโรออยล์ จำกัด ,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,30000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,อู่ทอง,20227777,10,72160
5,12,,207,ผลิตน้ำมันทดแทนจากยางรถยนต์เก่าใช้แล้ว,สุพรรณบุรี,20,บริษัท สยาม กรีน เวสท์ จำกัด,บริษัท สยาม กรีน เวสท์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,58000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระกระโจม,ดอนเจดีย์,,15,10160
9,13,2117.9,2117.9,ทำน้ำหวาน ทำกาแฟปรุงสำเร็จรูป อาหารกระป๋อง,สุพรรณบุรี,11,บริษัท โรงงานสโนว์เฮาส์โปรดักส์ จำกัด,บริษัท โรงงานสโนว์เฮาส์โปรดักส์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,670000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ศรีประจันต์,ศรีประจันต์,581099,2,72140
35,14,178648.58,180953.2,ทำน้ำตาลทราย,สุพรรณบุรี,347,บริษัท อุตสาหกรรมน้ำตาลสุพรรณบุรี จำกัด,บริษัท อุตสาหกรรมน้ำตาลสุพรรณบุรี จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,480500000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ย่านยาว,สามชุก,571030,312,72130
26,15,273801.7,273801.7,ทำน้ำตาลทรายดิบ น้ำตาลทรายขาวและน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 17731 ตันอ้อยต่อวัน,สุพรรณบุรี,269,บริษัท น้ำตาลรีไฟน์ชัยมงคล จำกัด,โรงงานน้ำตาลอุตสาหกรรมอู่ทอง,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1770000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,อู่ทอง,551377,243,72160
0,16,435131.96,435131.96,"ทำน้ำตาลทรายขาว น้ำตาลทรายดิบ และน้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 35,000 ตันอ้อยต่อวัน ทำน้ำเชื่อมชนิดต่าง ๆ",สุพรรณบุรี,66,บริษัท น้ำตาลมิตรผล จำกัด,บริษัท น้ำตาลมิตรผล จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2545000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,035-418103-6,66,72180
78,17,1322,1322,ผลิตเครื่องดื่มสำหรับชง เช่น เกลือแร่ผง ขิงผงฯ,สุพรรณบุรี,145,บริษัท แฟนซีเวิลด์ จำกัด,บริษัท แฟนซีเวิลด์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,25508680,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พิหารแดง,เมืองสุพรรณบุรี,035-450550,67,72000
76,18,6509.26,6509.26,ทำเครื่องแกง เครื่องเทศอบแห้ง และเกล็ดขนมปังอบแห้ง,สุพรรณบุรี,97,บริษัท โกลโบ ฟู้ดส์ จำกัด,บริษัท โกลโบ ฟู้ดส์ จำกัด (สาขาสุพรรณบุรี),สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,141512195,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,กระเสียว,สามชุก,02-3840036,21,72130
0,19,1727.5,1727.5,ทำน้ำแข็งซองได้วันละ 792 ซอง และน้ำแข็งก้อนเล็กได้วันละ 25 ตัน ขยายโดยเพิ่มการทำน้ำแข็งซองอีกวันละ 382 ซอง และน้ำแข็งก้อนเล็กอีกวันละ 13 ตัน,สุพรรณบุรี,26,บริษัท พรเจริญไอซ์ จำกัด,บริษัท พรเจริญ ไอซ์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,4200000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สองพี่น้อง,สองพี่น้อง,035-531086,26,72110
1,20,538.68,538.68,ผลิตน้ำแข็งวันละ 234 ซอง และน้ำแข็งก้อนเล็กวันละ 8 ตัน,สุพรรณบุรี,7,บริษัท บุญวรรณ ด่านช้าง 2024 จำกัด,บริษัท บุญวรรณ ด่านช้าง 2024 จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,12100000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ด่านช้าง,ด่านช้าง,0 3559 5209,6,72180
4,21,1148,1148,ผลิตน้ำแข็งซอง 1408 ซองน้ำแข็งหลอดขนาด 90 ตัน/วัน,สุพรรณบุรี,10,บริษัท น้ำแข็งมหาราช จำกัด,บริษัท น้ำแข็งมหาราช จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,23000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,เนินพระปรางค์,สองพี่น้อง,087-1709292,6,72110
5,22,1914,1914,ผลิตน้ำแข็งและน้ำแช็งหลอด,สุพรรณบุรี,13,นางดุษฏี รวมเมฆ,โรงน้ำแข็งพูนทรัพย์,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,36000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,อู่ทอง,035-565665,8,72160
10,23,1500,1500,"ผลิตและจำหน่ายน้ำแข็งซอง และน้ำแข็งหลอด (น้ำแข็งซอง 700 ซอง, น้ำแข็งหลอด 180 ตัน",สุพรรณบุรี,24,บริษัท ทรัพย์อุดมธารา จำกัด,บริษัท ทรัพย์อุดมธารา จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,5000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บางปลาม้า,บางปลาม้า,035-588792,14,72150
13,24,2890,2890,"ผลิตน้ำแข็งซอง กำลังการผลิต 1,520 ซอง/วัน และผลิตน้ำแข็งหลอด กำลังการผลิต 250 ตัน/วัน",สุพรรณบุรี,29,บริษัท เค.วี.พี.ไอซ์ จำกัด,บริษัท เค.วี.พี.ไอซ์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,5000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองบ่อ,สองพี่น้อง,035-481-292,16,72110
8,25,1686.6,1686.6,"ทำน้ำแข็งซอง เดิม 646 ซองต่อวัน ขอเพิ่ม 900 ซองต่อวัน รวมเป็น 1,546 ซองต่อวัน และทำน้ำแข็งก้อนเล็ก เดิม 26.2 ตัน ขอเพิ่ม 160 ตัน รวมเป็น 186.2 ตัน",สุพรรณบุรี,9,บริษัท อู่ทอง ไอซ์ จำกัด,บริษัท อู่ทอง ไอซ์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,14000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,อู่ทอง,035-551556,1,72160
4,26,1294,1294,ทำน้ำแข็งซองได้วันละ 1560 ซอง และน้ำแข็งก้อนเล็กได้วันละ 50 ตัน,สุพรรณบุรี,10,บริษัท น้ำแข็งรักษ์สุพรรณ จำกัด,บริษัท น้ำแข็งรักษ์สุพรรณ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,15800000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,รั้วใหญ่,เมืองสุพรรณบุรี,,6,72000
5,27,2783,2783,ผลิตน้ำแข็งซองและน้ำแข็งหลอด,สุพรรณบุรี,17,ห้างหุ้นส่วนจำกัด ไอยรา (1990),ห้างหุ้นส่วนจำกัด ไอยรา (1990),สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,45000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังยาง,ศรีประจันต์,,12,72140
2,28,945.5,945.5,ผลิตน้ำแข็งก้อนเล็ก ขนาดกำลังการผลิต 210 ตันต่อวัน,สุพรรณบุรี,13,บริษัท โรงน้ำแข็ง ก (อู่ทอง) จำกัด,บริษัท โรงน้ำแข็ง ก (อู่ทอง) จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,19500000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,จรเข้สามพัน,อู่ทอง,081-7556780,11,72170
2,29,255,1341.47,"ทำน้ำแข็งซอง วันละ 1,850 ซอง และทำน้ำแข็งก้อนเล็ก 180 ตัน",สุพรรณบุรี,7,นาง สาวรรณ รักษาชาติ,โรงน้ำแข็งสุวรรณประดิษฐ์,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,15000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สามชุก,สามชุก,,5,72130
6,30,0,1736,ผลิตน้ำแข็งเพื่อการบริโภค เช่น น้ำแข็งหลอดเล็ก น้ำแข็งหลอดใหญ่,สุพรรณบุรี,26,บริษัท โรงน้ำแข็ง โนเบล ไอซ์ จำกัด,บริษัท โรงน้ำแข็ง โนเบล ไอซ์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,47600000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,กฤษณา,บางปลาม้า,098-9554424,20,72150
0,31,930,930,โรงงานผสมอาหารสัตว์,สุพรรณบุรี,8,นางกมลวรรณ กิติเรียงลาภ,กิจรุ่งเรืองไพศาล,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,6200000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,เขาดิน,เดิมบางนางบวช,01-9471909,8,72120
6,32,6026.6,12025,ผลิตอาหารสัตว์,สุพรรณบุรี,35,บริษัท ไพรัชกรุ๊ป ฟู้ดส์ จำกัด,บริษัท ไพรัชกรุ๊ป ฟู้ดส์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,402000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,จรเข้สามพัน,อู่ทอง,092 705 5998,29,72160
76,33,26220.27,21617.55,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,สุพรรณบุรี,211,บริษัท ไทยฟู้ดส์อาหารสัตว์ จำกัด,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1021000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระพังลาน,อู่ทอง,035-559499,135,72220
15,34,0,2437,ผลิตอาหารสัตว์,สุพรรณบุรี,50,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์ ,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,32000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ทุ่งคอก,สองพี่น้อง,081-8578535,35,72110
10,35,,15533.08,ทำอาหารผสม หรืออาหารสำเร็จรูปสำหรับสัตว์,สุพรรณบุรี,90,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด,บริษัท ไทย ฟู้ดส์ อาหารสัตว์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,2089656191,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระพังลาน,อู่ทอง,035-559499,80,72220
12,36,,1264.5,ผลิตอาหารผสมสำหรับเลี้ยงสัตว์และอาหารเสริมสำหรับพืชและผลิตปุ๋ยอินทรีย์และปุ๋ยชีวภาพ,สุพรรณบุรี,24,บริษัท โวชองฟาร์ม จำกัด,บริษัท โวชองฟาร์ม จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,26550000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ่อสุพรรณ,สองพี่น้อง,035-402261,12,72110
5,37,1740.27,1740.27,ผลิตอาหารสัตว์,สุพรรณบุรี,12,บริษัท แกรนด์ เพ็ท โปรดักท์ จำกัด,บริษัท แกรนด์ เพ็ท โปรดักท์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,24000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ทะเลบก,ดอนเจดีย์,093-3979556,7,72170
0,38,75200.94,75200.94,"ผลิตเอทานอลเพื่อใช้เป็นเชื้อเพลิง ขนาดกำลังการผลิตรวมเป็น 350,000 ลิตรต่อวัน โดยการขยายในส่วนของการผลิตก๊าซชีวภาพและการผลิตกระแสไฟฟ้า ขนาด 3.6 เมกะวัตต์ เพื่อใช้ภายในโรงงาน",สุพรรณบุรี,12,บริษัท ไทย อะโกร เอ็นเนอร์ยี่ จำกัด (มหาชน),บริษัท ไทยอะโกร เอ็นเนอร์ยี่ จำกัด (มหาชน),สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,152000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,-,12,72180
5,39,5742.901,9556.901,"ผลิตเอทานอล เพื่อใช้เป็นเชื้อเพลิง ขยายกำลังการผลิต 400,000 ลิตรต่อวัน รวมของเดิมเป็น 600,000 ลิตรต่อวัน",สุพรรณบุรี,30,บริษัท มิตรผลไบโอฟูเอล จำกัด,บริษัท มิตรผล ไบโอฟูเอล จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1310840000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง,035-466651,25,72180
1,40,265.18,265.18,อบพืชหรือเมล็ดพืช,สุพรรณบุรี,3,ห้างหุ้นส่วนจำกัด ศิริลาภธัญญาพานิช,ห้างหุ้นส่วนจำกัด ศิริลาภธัญญาพานิช,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,3800000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,มดแดง,ศรีประจันต์,035-497251-2,2,72140
2,41,2324,2324,นึ่งข้าว,สุพรรณบุรี,5,บริษัท โรงสีข้าวสุพรรณรุ่งโรจน์ จำกัด,บริษัท โรงสีข้าวสุพรรณรุ่งโรจน์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,56800000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สวนแตง,เมืองสุพรรณบุรี,0-3559-9080,3,72210
0,42,1715,1715,ข้าวนึ่ง,สุพรรณบุรี,16,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล โปรเซสซิ่ง จำกัด,บริษัท สุพรรณบุรี อะกริคัลเจอร์รอล โปรเซสซิ่ง จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,49000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,อู่ทอง,0-3555-1039,16,72160
7,43,590.8,590.8,นึ่งและอบข้าวเปลือก,สุพรรณบุรี,14,ห้างหุ้นส่วนจำกัด สุพรรณธัญชาติ,ห้างหุ้นส่วนจำกัด สุพรรณธัญชาติ,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,21000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วัดดาว,บางปลาม้า,093-6979169,7,72150
18,44,,2509.35,ผลิตน้ำดื่มผสมวิตามิน น้ำผลไม้ และน้ำพืชผัก,สุพรรณบุรี,48,บริษัท ยันฮี วิตามิน วอเตอร์ จำกัด,บริษัท ยันฮี วิตามิน วอเตอร์ จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,710000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บางตาเถร,สองพี่น้อง,089-6842227 081-8099689,30,10700
0,45,977,977,ระเบิด โม่ บด ย่อยหิน,สุพรรณบุรี,18,บริษัท โรงโม่หินด่านช้าง จำกัด,บริษัท โรงโม่หินด่านช้าง จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,3000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,ด่านช้าง, ,18,72180
7,46,1231.5,1231.5,"โม่ บด ย่อยหิน กำลังการผลิต 200,000 ลูกบาศก์เมตร/ปี",สุพรรณบุรี,27,ห้างหุ้นส่วนจำกัด เขาตาเก้า,ห้างหุ้นส่วนจำกัด เขาตาเก้า,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,30000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,อู่ทอง, ,20,72160
0,47,1671.5,1717,"โม่ บด ย่อยหิน กำลังการผลิต 800,000 ตัน/ปี",สุพรรณบุรี,15,บริษัท ศิลามาตรศรี จำกัด,บริษัท ศิลามาตรศรี จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,45000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,พลับพลาไชย,อู่ทอง,,15,72160
5,48,2130,2130,"โม่ บด ย่อยหิน กำลังการผลิต 20,000 ลูกบาศก์เมตร/ปี",สุพรรณบุรี,30,บริษัท โรงโม่หินทรัพย์อู่ทอง จำกัด,ห้างหุ้นส่วนจำกัด ศิลาเพชรสุพรรณบุรี,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,20000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,อู่ทอง,อู่ทอง, ,25,72160
3,49,1207,1207,"โม่ บด ย่อยหิน ได้ปีละ 180,000 ลูกบาศก์เมตร",สุพรรณบุรี,23,บริษัท สหพัฒนาศิลา จำกัด,บริษัท สหพัฒนาศิลา จำกัด,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,44000000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองโอ่ง,อู่ทอง,,20,72160
