_id,ปี,เนื้อที่,อำเภอ
1,2568,22.25,เมืองตาก
2,2568,33.29,บ้านตาก
3,2568,55.62,สามเงา
4,2568,185.28,แม่ระมาด
5,2568,42.84,ท่าสองยาง
6,2568,380.60,แม่สอด
7,2568,"2,592.62",พบพระ
8,2568,774.20,อุ้มผาง
9,2568,152.50,วังเจ้า
10,2567,30.25,เมืองตาก
11,2567,81.04,บ้านตาก
12,2567,80.67,สามเงา
13,2567,81.75,แม่ระมาด
14,2567,35.39,ท่าสองยาง
15,2567,289.08,แม่สอด
16,2567,"2,209.19",พบพระ
17,2567,723.02,อุ้มผาง
18,2567,43.00,วังเจ้า
19,2566,53.75,เมืองตาก
20,2566,52.54,บ้านตาก
21,2566,61.02,สามเงา
22,2566,23,แม่ระมาด
23,2566,4,ท่าสองยาง
24,2566,252.08,แม่สอด
25,2566,"1,322.08",พบพระ
26,2566,827.02,อุ้มผาง
27,2566,96.00,วังเจ้า
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
